AFFGEOID,count
1500000US482013209012,146
1500000US482013333013,131
1500000US482019807001,119
1500000US482014336023,111
1500000US482013125011,104
1500000US482014328042,103
1500000US482013318002,98
1500000US482013320002,98
1500000US482011000011,90
1500000US482012209001,88
1500000US482012205001,86
1500000US482013131021,84
1500000US482015205011,80
1500000US482014106011,79
1500000US482014533002,76
1500000US482013341013,76
1500000US482012302001,74
1500000US482012307002,73
1500000US482012214003,70
1500000US482014318041,70
1500000US482014531002,70
1500000US482014522032,69
1500000US482013317001,69
1500000US482012110001,67
1500000US482014228001,64
1500000US482014329013,64
1500000US482013333021,64
1500000US482011000012,63
1500000US482012401022,63
1500000US482012312002,63
1500000US482013143021,63
1500000US482012327032,62
1500000US482015502011,62
1500000US482013136001,60
1500000US482014331001,60
1500000US482012304002,60
1500000US482013143012,59
1500000US482012112001,59
1500000US482012117001,59
1500000US482013322002,59
1500000US482013135002,59
1500000US482013137002,59
1500000US482014212051,59
1500000US482015321013,59
1500000US482013211012,58
1500000US482014313031,57
1500000US482015333011,57
1500000US482015217013,57
1500000US482012111011,57
1500000US482013125012,57
1500000US482014401011,57
1500000US482014222004,56
1500000US482015304002,56
1500000US482014312052,56
1500000US482014534032,55
1500000US482014213021,53
1500000US482013313002,53
1500000US482012208002,53
1500000US482015330001,51
1500000US482012104002,51
1500000US482014330041,51
1500000US482015214022,51
1500000US482012313002,51
1500000US482013311002,51
1500000US482013135003,51
1500000US482015331002,51
1500000US482013312001,51
1500000US482014328052,50
1500000US482012305003,50
1500000US482014327051,50
1500000US482013117021,49
1500000US482015215012,49
1500000US482013138011,48
1500000US482013123002,48
1500000US482014105011,48
1500000US482013122001,48
1500000US482015320043,48
1500000US482014213012,48
1500000US482013143022,48
1500000US482013339032,48
1500000US482013102001,47
1500000US482015501011,47
1500000US482012316002,47
1500000US482014544001,47
1500000US482014106022,47
1500000US482013333022,47
1500000US482012225051,46
1500000US482014216011,46
1500000US482013341011,46
1500000US482012326001,46
1500000US482012401011,46
1500000US482012111012,45
1500000US482012113011,45
1500000US482014325021,45
1500000US482012301001,45
1500000US482014335073,45
1500000US482014214031,44
1500000US482012310001,44
1500000US482013119001,44
1500000US482012112002,44
1500000US482012304001,44
1500000US482014532021,44
1500000US482012303001,44
1500000US482012311003,43
1500000US482014232041,43
1500000US482012327011,43
1500000US482013114001,43
1500000US482015217022,43
1500000US482014218011,43
1500000US482012302003,43
1500000US482014320053,43
1500000US482012214001,42
1500000US482015318001,42
1500000US482012108002,42
1500000US482015307021,42
1500000US482013332032,42
1500000US482012309004,42
1500000US482014331002,42
1500000US482012306001,42
1500000US482012216022,41
1500000US482012327042,41
1500000US482015308001,41
1500000US482012108001,41
1500000US482012306002,41
1500000US482014536031,41
1500000US482012312004,41
1500000US482015116004,41
1500000US482014224061,41
1500000US482013328003,40
1500000US482014335042,40
1500000US482014327062,40
1500000US482014107061,40
1500000US482015334021,40
1500000US482013340022,40
1500000US482014218012,40
1500000US482012405042,40
1500000US482013112002,39
1500000US482014327041,39
1500000US482012225012,39
1500000US482014334002,39
1500000US482015201001,39
1500000US482015432011,39
1500000US482015306001,39
1500000US482013136003,39
1500000US482012333003,38
1500000US482013213011,38
1500000US482015501021,38
1500000US482013320001,38
1500000US482012305002,38
1500000US482013123001,38
1500000US482013332031,38
1500000US482013312002,38
1500000US482014520023,38
1500000US482013316021,38
1500000US482014311014,38
1500000US482014536042,37
1500000US482013505002,37
1500000US482014510042,37
1500000US482015305021,37
1500000US482015313002,37
1500000US482015320032,37
1500000US482012405041,37
1500000US482012113022,36
1500000US482013317003,36
1500000US482015321022,36
1500000US482014323031,36
1500000US482013319001,36
1500000US482014510041,36
1500000US482014335052,36
1500000US482015315003,36
1500000US482013330001,35
1500000US482013140052,35
1500000US482015322002,35
1500000US482013110012,35
1500000US482014330031,35
1500000US482013206021,35
1500000US482013303032,35
1500000US482012415032,35
