,AFFGEOID
1500000US371830501001,77
1500000US371830527073,46
1500000US371830527051,39
1500000US371830545002,31
1500000US371830506002,30
1500000US371830540181,29
1500000US371830509003,29
1500000US371830507003,28
1500000US371830527013,27
1500000US371830520012,25
1500000US371830527043,25
1500000US371830527012,25
1500000US371830540082,25
1500000US371830503002,25
1500000US371830527041,24
1500000US371830519001,22
1500000US371830519002,19
1500000US371830507001,19
1500000US371830509002,18
1500000US371830528033,18
1500000US371830527061,17
1500000US371830520022,16
1500000US371830505002,16
1500000US371830520011,15
1500000US371830541061,15
1500000US371830524082,15
1500000US371830521021,15
1500000US371830540141,15
1500000US371830507002,14
1500000US371830527042,13
1500000US371830528062,13
1500000US371830508003,13
1500000US371830521011,13
1500000US371830528064,12
1500000US371830508002,12
1500000US371830527063,12
1500000US371830540151,12
1500000US371830511012,12
1500000US371830524011,12
1500000US371830524081,11
1500000US371830527052,11
1500000US371830524062,11
1500000US371830520024,10
1500000US371830523012,10
1500000US371830540182,10
1500000US371830521012,9
1500000US371830509001,9
1500000US371830537171,9
1500000US371830540013,9
1500000US371830520023,9
1500000US371830545001,9
1500000US371830540083,9
1500000US371830537261,9
1500000US371830540084,9
1500000US371830506003,9
1500000US371830527071,8
1500000US371830521014,8
1500000US371830527072,8
1500000US371830545003,8
1500000US371830520021,8
1500000US371830521013,8
1500000US371830521022,8
1500000US371830528063,8
1500000US371830512003,7
1500000US371830525052,7
1500000US371830541062,7
1500000US371830504001,7
1500000US371830518001,7
1500000US371830505003,7
1500000US371830528061,7
1500000US371830523021,7
1500000US371830541052,6
1500000US371830523022,6
1500000US371830536101,6
1500000US371830510001,6
1500000US371830541063,6
1500000US371830542071,6
1500000US371830540071,6
1500000US371830541132,6
1500000US371830536102,6
1500000US371830523013,6
1500000US371830524071,6
1500000US371830508001,5
1500000US371830540043,5
1500000US371830545004,5
1500000US371830537072,5
1500000US371830526012,5
1500000US371830541041,5
1500000US371830512002,4
1500000US371830540142,4
1500000US371830525051,4
1500000US371830514004,4
1500000US371830541043,4
1500000US371830517003,4
1500000US371830524063,4
1500000US371830503001,4
1500000US371830523023,4
1500000US371830541054,4
1500000US371830526022,4
1500000US371830525041,4
1500000US371830525062,3
1500000US371830540012,3
1500000US371830525072,3
1500000US371830537141,3
1500000US371830505001,3
1500000US371830537092,3
1500000US371830542091,3
1500000US371830525043,3
1500000US371830528072,3
1500000US371830542081,3
1500000US371830524072,3
1500000US371830527062,3
1500000US371830540072,3
1500000US371830540044,3
1500000US371830504002,3
1500000US371830541042,3
1500000US371830537232,3
1500000US371830540143,3
1500000US371830540061,2
1500000US371830537073,2
1500000US371830514005,2
1500000US371830530082,2
1500000US371830526032,2
1500000US371830541051,2
1500000US371830540081,2
1500000US371830526021,2
1500000US371830541053,2
1500000US371830540112,2
1500000US371830541131,2
1500000US371830541102,2
1500000US371830511022,2
1500000US371830537252,2
1500000US371830540162,2
1500000US371830537132,2
1500000US371830537131,2
1500000US371830524041,2
1500000US371830540122,2
1500000US371830537151,2
1500000US371830530081,2
1500000US371830542102,2
1500000US371830525032,2
1500000US371830524093,2
1500000US371830506001,2
1500000US371830541044,2
1500000US371830515012,2
1500000US371830537231,2
1500000US371830515011,2
1500000US371830518003,2
1500000US371830524043,2
1500000US371830537222,2
1500000US371830537142,2
1500000US371830527011,1
1500000US371830530031,1
1500000US371830540132,1
1500000US371830537191,1
1500000US371830537262,1
1500000US371830523011,1
1500000US371830540062,1
1500000US371830525033,1
1500000US371830524012,1
1500000US371830537113,1
1500000US371830541101,1
1500000US371830511023,1
1500000US371830525071,1
1500000US371830537143,1
1500000US371830537162,1
1500000US371830540111,1
1500000US371839801001,1
1500000US371830528071,1
1500000US371830538082,1
1500000US371830540123,1
1500000US371830512001,1
1500000US371830540121,1
1500000US371830540161,1
1500000US371830537211,1
1500000US371830540011,1
1500000US371830541055,1
1500000US371830518002,1
1500000US371830537152,1
1500000US371830537241,1
1500000US371830514003,1
1500000US371830537071,1
1500000US371830540171,1
1500000US371830514002,1
1500000US371830525042,1
1500000US371830540042,1
1500000US371830540134,1
1500000US371830540131,1
1500000US371830524042,1
