AFFGEOID,count
1500000US060014340003,37
1500000US060014331021,27
1500000US060014358001,26
1500000US060014356011,23
1500000US060014328003,22
1500000US060014310001,20
1500000US060014338002,20
1500000US060014309001,20
1500000US060014339001,18
1500000US060014338003,17
1500000US060014354002,17
1500000US060014309002,16
1500000US060014362002,15
1500000US060014305002,14
1500000US060014337002,14
1500000US060014355001,14
1500000US060014356023,13
1500000US060014340002,13
1500000US060014305001,12
1500000US060014310002,12
1500000US060014340001,12
1500000US060014356012,12
1500000US060014301011,12
1500000US060014358003,12
1500000US060014337001,12
1500000US060014308004,11
1500000US060014338004,11
1500000US060014305003,11
1500000US060014356021,10
1500000US060014301021,10
1500000US060014356024,10
1500000US060014361002,10
1500000US060014339004,10
1500000US060014339002,9
1500000US060014312001,9
1500000US060014363001,9
1500000US060014337003,9
1500000US060014360001,9
1500000US060014362001,8
1500000US060014307002,8
1500000US060014359003,8
1500000US060014311002,7
1500000US060014357001,6
1500000US060014359001,6
1500000US060014302001,5
1500000US060014301013,5
1500000US060014358004,5
1500000US060014338001,5
1500000US060014306003,5
1500000US060014307003,4
1500000US060014356022,4
1500000US060014352001,4
1500000US060014306001,4
1500000US060014364011,4
1500000US060014353001,4
1500000US060014353003,4
1500000US060014302003,4
1500000US060014302005,3
1500000US060014357004,3
1500000US060014364012,3
1500000US060014506011,3
1500000US060014359002,3
1500000US060014364021,3
1500000US060014369004,3
1500000US060014339003,3
1500000US060014308003,3
1500000US060014369001,3
1500000US060014361003,3
1500000US060014351032,3
1500000US060014511013,3
1500000US060014357003,3
1500000US060014360003,3
1500000US060014326005,3
1500000US060014355002,2
1500000US060014303001,2
1500000US060014331022,2
1500000US060014312002,2
1500000US060014353002,2
1500000US060014360002,2
1500000US060014311001,2
1500000US060014506012,2
1500000US060014515012,2
1500000US060014507012,2
1500000US060014099002,2
1500000US060014303002,2
1500000US060014511015,2
1500000US060014363003,1
1500000US060014322002,1
1500000US060014061001,1
1500000US060014364014,1
1500000US060014010001,1
1500000US060014501022,1
1500000US060014302004,1
1500000US060014511011,1
1500000US060014403084,1
1500000US060014336002,1
1500000US060014072003,1
1500000US060014516011,1
1500000US060014506071,1
1500000US060014358002,1
1500000US060014324002,1
1500000US060014364022,1
1500000US060014304001,1
1500000US060014514012,1
1500000US060014366012,1
1500000US060014302002,1
1500000US060014363004,1
1500000US060014331043,1
1500000US060014352002,1
1500000US060014361001,1
1500000US060014306004,1
1500000US060014312003,1
1500000US060014323003,1
1500000US060014331031,1
1500000US060014373001,1
1500000US060014328001,1
1500000US060014354003,1
1500000US060014325013,1
1500000US060014091002,1
1500000US060014054013,1
