AFFGEOID,count
1500000US484530011011,134
1500000US484530011032,39
1500000US484530009024,39
1500000US484530023161,38
1500000US484530407003,37
1500000US484530410002,35
1500000US484530023253,32
1500000US484530021081,31
1500000US484530021054,31
1500000US484530402001,30
1500000US484530434001,30
1500000US484530024411,30
1500000US484530409001,28
1500000US484530433002,24
1500000US484530023152,24
1500000US484530011012,24
1500000US484530407004,23
1500000US484530024191,23
1500000US484530009022,23
1500000US484530023162,23
1500000US484530400001,23
1500000US484530403003,23
1500000US484530454003,22
1500000US484530021111,22
1500000US484530021074,22
1500000US484530022222,22
1500000US484530023074,22
1500000US484530024111,21
1500000US484530009023,20
1500000US484530023132,20
1500000US484530021102,20
1500000US484530021051,20
1500000US484530406003,20
1500000US484530405002,20
1500000US484530020032,19
1500000US484530431001,19
1500000US484530407002,19
1500000US484530021052,19
1500000US484530432002,19
1500000US484530023043,19
1500000US484530023211,18
1500000US484530401001,18
1500000US484530008023,18
1500000US484530021123,18
1500000US484530013122,18
1500000US484910203341,18
1500000US484530023163,17
1500000US484530024222,17
1500000US484530433001,17
1500000US484530003071,17
1500000US484530024483,17
1500000US484530023272,17
1500000US484530400003,17
1500000US484530021082,17
1500000US484530403002,17
1500000US484530023201,16
1500000US484530024511,16
1500000US484530021053,16
1500000US484530011031,16
1500000US484530015034,16
1500000US484530421003,15
1500000US484530401002,15
1500000US484530406001,15
1500000US484530439002,15
1500000US484530422001,15
1500000US484530403004,15
1500000US484530416003,15
1500000US484530410001,15
1500000US484530009012,15
1500000US484530023102,14
1500000US484530009021,14
1500000US484530022012,14
1500000US484530021101,14
1500000US484530024131,14
1500000US484530453002,14
1500000US484530024433,14
1500000US484530023254,14
1500000US484530436003,14
1500000US484530004013,14
1500000US484530008022,14
1500000US484530020031,13
1500000US484530021061,13
1500000US484530408003,13
1500000US484530021092,13
1500000US484530439003,13
1500000US484530011022,13
1500000US484530022201,13
1500000US484530007001,13
1500000US484530308002,12
1500000US484530024112,12
1500000US484530024132,12
1500000US484530021121,12
1500000US484530024031,12
1500000US484530024371,12
1500000US484910203113,12
1500000US484530415001,12
1500000US484530020062,12
1500000US484530023213,12
1500000US484530416002,12
1500000US484530023143,12
1500000US484530023144,12
1500000US484530021093,12
1500000US484530008011,12
1500000US484530318004,12
1500000US484530008042,11
1500000US484530023151,11
1500000US484530403001,11
1500000US484530021122,11
1500000US484530024372,11
1500000US484530023241,11
1500000US484530003093,11
1500000US484530024412,11
1500000US484530015033,11
1500000US484530023222,11
1500000US484910204082,11
1500000US484530412001,11
1500000US484530436002,10
1500000US484530442001,10
1500000US484530024102,10
1500000US484910204061,10
1500000US484530022011,10
1500000US484530303001,10
1500000US484530024101,10
1500000US484530416001,10
1500000US484530405003,10
1500000US484530024193,10
1500000US484530006082,9
1500000US484530022141,9
1500000US484910204054,9
1500000US484910204062,9
1500000US484530024532,9
1500000US484530013103,9
1500000US484530024442,9
1500000US484530023261,9
1500000US484530024391,9
1500000US484530024221,9
1500000US484530454002,9
1500000US484530023071,9
1500000US484530021041,9
1500000US484530422003,9
1500000US484530023243,8
1500000US484530402002,8
1500000US484530023141,8
1500000US484530013073,8
1500000US484530437001,8
1500000US484530410003,8
1500000US484530405001,8
1500000US484530024233,8
1500000US484530024481,8
1500000US484530024491,8
1500000US484530424001,8
1500000US484530319002,8
1500000US484530019103,8
1500000US484530023073,8
1500000US484530321001,8
1500000US484530021131,8
1500000US484530024431,8
1500000US484530418001,8
1500000US484530013111,8
1500000US484530409004,8
1500000US484530008041,8
1500000US484530024072,7
1500000US484530013121,7
1500000US484530021103,7
1500000US484530024113,7
1500000US484530317003,7
1500000US484530400002,7
1500000US484530346002,7
1500000US484530002043,7
1500000US484530321002,7
1500000US484530024443,7
1500000US484530358001,7
1500000US484530003041,7
1500000US484530408001,7
1500000US484530409003,7
1500000US484530025002,7
1500000US484530003021,7
1500000US484910204081,7
1500000US484530024242,7
1500000US484530022132,7
1500000US484530023242,7
1500000US484530024521,7
1500000US484530020072,7
1500000US484530014021,7
1500000US484530023271,7
1500000US484530022221,7
1500000US484530023131,7
1500000US484530019151,7
1500000US484530434002,7
1500000US484530015011,7
1500000US484530321003,7
1500000US484530011021,6
1500000US484530432001,6
1500000US484530440002,6
1500000US484530024471,6
1500000US484530438002,6
1500000US484530435001,6
1500000US484530023142,6
1500000US484530342002,6
1500000US484530020021,6
1500000US484530013082,6
1500000US484530019203,6
1500000US484530435003,6
1500000US484530024383,6
1500000US484530407005,6
1500000US484530021072,6
1500000US484530024232,6
1500000US484530024073,6
1500000US484530324001,6
1500000US484530023233,6
1500000US484530008031,6
1500000US484530021063,6
1500000US484530021132,6
1500000US484530024192,6
1500000US484530024421,6
1500000US484530003052,6
1500000US484530410004,6
1500000US484530431002,6
1500000US484530023041,6
1500000US484530332002,6
1500000US484530021112,6
1500000US484530419002,6
1500000US484530024123,6
1500000US484530449002,5
1500000US484530021091,5
1500000US484530024512,5
1500000US484530409002,5
1500000US484530309002,5
1500000US484530020043,5
1500000US484530451002,5
1500000US484530021113,5
1500000US484530019221,5
1500000US484530320001,5
1500000US484530301002,5
1500000US484530024451,5
1500000US484530341003,5
1500000US484910204052,5
1500000US484910204032,5
1500000US484530304001,5
1500000US484530004022,5
1500000US484530412002,5
1500000US484530325003,5
1500000US484530024422,5
1500000US484530004011,5
1500000US484530006012,5
1500000US484530024093,5
1500000US484530023252,5
1500000US484530453001,5
1500000US484530404002,5
1500000US484530022111,5
1500000US484530003042,5
1500000US484530013083,5
1500000US484530004023,5
1500000US484530305001,5
1500000US484530023221,5
1500000US484530003053,4
1500000US484910205081,4
1500000US484530429002,4
1500000US484530342001,4
1500000US484910204051,4
1500000US484530439001,4
1500000US484530021062,4
1500000US484530024122,4
1500000US484530002031,4
1500000US484530024223,4
1500000US484530010001,4
1500000US484530024121,4
1500000US484530010005,4
1500000US484530002054,4
1500000US484530006081,4
1500000US484530404001,4
1500000US484530024382,4
1500000US484530020061,4
1500000US484530023101,4
1500000US484530452002,4
1500000US484530316002,4
1500000US484530327002,4
1500000US484530023231,4
1500000US484530432003,4
1500000US484530312003,4
1500000US484530022211,4
1500000US484530024441,4
1500000US484530003092,4
1500000US484530015054,4
1500000US484530303002,4
1500000US484530013091,4
1500000US484530024482,4
1500000US484530024472,4
1500000US484530008021,4
1500000US484530325001,4
1500000US484530015031,4
1500000US484530013072,4
1500000US484530406002,4
1500000US484530012002,4
1500000US484530014031,4
1500000US484530454001,4
1500000US484530329003,4
1500000US484530012004,4
1500000US484530424002,4
1500000US484530019201,4
1500000US484530010003,4
1500000US484530441001,4
1500000US484530401003,4
1500000US484910204104,4
1500000US484530014023,4
1500000US484530005001,4
1500000US484530024392,4
1500000US484530013081,4
1500000US484530006064,4
1500000US484530438001,3
1500000US484530014022,3
1500000US484530022131,3
1500000US484530309004,3
1500000US484530419001,3
1500000US484530334001,3
1500000US484530330001,3
1500000US484530024092,3
1500000US484530310001,3
1500000US484530450001,3
1500000US484530014013,3
1500000US484530008032,3
1500000US484530024091,3
1500000US484530335001,3
1500000US484530006011,3
1500000US484530418002,3
1500000US484530346001,3
1500000US484530329001,3
1500000US484530008033,3
1500000US484530012005,3
1500000US484910204053,3
1500000US484530006071,3
1500000US484530002063,3
1500000US484530020042,3
1500000US484530344001,3
1500000US484530325002,3
1500000US484530015052,3
1500000US484530023232,3
1500000US484530024301,3
1500000US484530003081,3
1500000US484530022143,3
1500000US484530003022,3
1500000US484530004012,3
1500000US484530019121,3
1500000US484530306001,3
1500000US484530313001,3
1500000US484530024522,3
1500000US484530023212,3
1500000US484530416004,3
1500000US484530003024,3
1500000US484530024032,3
1500000US484530019145,3
1500000US484530417001,3
1500000US484530014011,3
1500000US484530421004,3
1500000US484530013102,3
1500000US484530011023,3
1500000US484530323001,3
1500000US484530400004,3
1500000US484530452001,3
1500000US484530411002,3
1500000US484530411001,3
1500000US484530013044,3
1500000US484530024402,3
1500000US484530006062,3
1500000US484530006052,3
1500000US484530372001,3
1500000US484530451001,3
1500000US484530021071,3
1500000US484530014032,3
1500000US484530005002,3
1500000US484530016021,3
1500000US484530015041,3
1500000US484910204041,2
1500000US484530001021,2
1500000US484910204042,2
1500000US484530021133,2
1500000US484530002041,2
1500000US484530005004,2
1500000US484530323002,2
1500000US484530019231,2
1500000US484530320004,2
1500000US484530002032,2
1500000US484530024381,2
1500000US484530322002,2
1500000US484530320002,2
1500000US484530320005,2
1500000US484530023145,2
1500000US484530024401,2
1500000US484530019143,2
1500000US484530308003,2
1500000US484530024302,2
1500000US484530013071,2
1500000US484530025005,2
1500000US484530001014,2
1500000US484530022133,2
1500000US484530006051,2
1500000US484530001012,2
1500000US482090109121,2
1500000US484530024321,2
1500000US484530024241,2
1500000US484530306003,2
1500000US484530440001,2
1500000US484530367001,2
1500000US484530344002,2
1500000US484530002061,2
1500000US484530022142,2
1500000US484530015042,2
1500000US484910204102,2
1500000US484530414001,2
1500000US484530304003,2
1500000US484530347002,2
1500000US484530024133,2
1500000US484530421002,2
1500000US484530002052,2
1500000US484530348001,2
1500000US484530310002,2
1500000US484530004021,2
1500000US484910204063,2
1500000US484530300001,2
1500000US484530024432,2
1500000US484530348002,2
1500000US484530312002,2
1500000US484530006072,2
1500000US484530023191,2
1500000US484530003051,2
1500000US484530312004,2
1500000US484530372002,2
1500000US484530023042,2
1500000US484530006073,2
1500000US484530013101,2
1500000US484530341001,2
1500000US484530020071,2
1500000US484530465002,2
1500000US484530310003,2
1500000US484530024303,2
1500000US484530313002,2
1500000US484530317001,2
1500000US484530019113,2
1500000US484530302004,2
1500000US484530022192,2
1500000US484530302001,1
1500000US484530343002,1
1500000US484910205093,1
1500000US484530333005,1
1500000US484530338003,1
1500000US484530308001,1
1500000US484530015051,1
1500000US484530318002,1
1500000US484530367002,1
1500000US484530013123,1
1500000US484530408002,1
1500000US484530015014,1
1500000US484530303003,1
1500000US484530308004,1
1500000US484530350001,1
1500000US484530016053,1
1500000US484530422002,1
1500000US484530347003,1
1500000US484530016052,1
1500000US484530421001,1
1500000US484530462001,1
1500000US484530024231,1
1500000US484910205082,1
1500000US484530015053,1
1500000US484530301001,1
1500000US484530327001,1
1500000US484910203112,1
1500000US484530330003,1
1500000US484530019141,1
1500000US484530435002,1
1500000US484530019171,1
1500000US484530300002,1
1500000US484530413002,1
1500000US484530413003,1
1500000US484530343001,1
1500000US484530307003,1
1500000US484530024531,1
1500000US484530024071,1
1500000US484530335003,1
1500000US484530019102,1
1500000US484530300003,1
1500000US484530019104,1
1500000US484530023251,1
1500000US484530305003,1
1500000US484910204092,1
1500000US484910203111,1
1500000US484530447001,1
1500000US484530021073,1
1500000US484530013092,1
1500000US484530309003,1
1500000US484530024461,1
1500000US484530015044,1
1500000US484530009011,1
1500000US484530341002,1
1500000US484530019131,1
1500000US484530016032,1
1500000US484530317002,1
1500000US484530006063,1
1500000US484530015012,1
1500000US484530320003,1
1500000US484530003091,1
1500000US484530019112,1
1500000US484530335002,1
1500000US484530024452,1
1500000US484530015032,1
1500000US484530337002,1
1500000US484530020041,1
1500000US484530023072,1
1500000US484530013041,1
1500000US484530326001,1
1500000US484530024453,1
1500000US484530301003,1
1500000US484530019232,1
1500000US484530342004,1
1500000US484530019142,1
1500000US484530019122,1
1500000US484530304002,1
1500000US484530367003,1
1500000US484530368001,1
1500000US484530024492,1
1500000US484530001013,1
1500000US484530449001,1
1500000US484530319001,1
1500000US484530415002,1
1500000US484530016034,1
1500000US484530348003,1
1500000US484530001011,1
1500000US484530414002,1
1500000US484530003025,1
1500000US484530019202,1
1500000US484530367004,1
1500000US484530443001,1
1500000US484530330002,1
1500000US484530010002,1
1500000US484530010004,1
1500000US484530014012,1
1500000US484530025004,1
1500000US484530328001,1
1500000US484910204103,1
1500000US484530005003,1
1500000US484910204101,1
1500000US484530338001,1
1500000US484530307001,1
1500000US484539800001,1
1500000US484530006053,1
1500000US484530339001,1
1500000US484530003023,1
1500000US484530404003,1
1500000US484530305002,1
