,AFFGEOID
1500000US220330053003,66
1500000US220330039094,57
1500000US220330017002,41
1500000US220330003001,39
1500000US220330009002,38
1500000US220330005001,35
1500000US220330001001,34
1500000US220330006024,33
1500000US220330005003,32
1500000US220330002004,31
1500000US220330002006,31
1500000US220330016001,30
1500000US220330011031,30
1500000US220330011022,30
1500000US220330011032,30
1500000US220330002002,29
1500000US220330006012,27
1500000US220330007011,27
1500000US220330002005,26
1500000US220330040132,25
1500000US220330040133,25
1500000US220330036043,25
1500000US220330006021,24
1500000US220330034005,23
1500000US220330036045,23
1500000US220330002001,23
1500000US220330004001,23
1500000US220330006013,23
1500000US220330033004,22
1500000US220330010003,22
1500000US220330010002,22
1500000US220330052002,21
1500000US220330011041,21
1500000US220330011043,21
1500000US220330018002,21
1500000US220330039121,21
1500000US220330033005,21
1500000US220330006011,20
1500000US220330024002,20
1500000US220330038091,20
1500000US220330004003,20
1500000US220330005002,19
1500000US220330036042,19
1500000US220330051001,18
1500000US220330030001,18
1500000US220330038062,17
1500000US220330053002,17
1500000US220330006022,17
1500000US220330016002,17
1500000US220330036044,17
1500000US220330039122,16
1500000US220330007021,16
1500000US220330052001,15
1500000US220330033003,15
1500000US220330035064,15
1500000US220330034004,15
1500000US220330038061,15
1500000US220330011042,14
1500000US220330039092,14
1500000US220330036013,14
1500000US220330024001,13
1500000US220330009004,13
1500000US220330006023,13
1500000US220330036011,13
1500000US220330031045,13
1500000US220330051002,12
1500000US220330025004,12
1500000US220330045034,12
1500000US220330048003,12
1500000US220330025002,11
1500000US220330007023,11
1500000US220330042013,11
1500000US220330022002,11
1500000US220330030002,11
1500000US220330007012,11
1500000US220330034003,11
1500000US220330009003,11
1500000US220330020001,11
1500000US220330003002,11
1500000US220330010001,11
1500000US220330004002,11
1500000US220330035054,11
1500000US220330011021,11
1500000US220330018001,10
1500000US220330039074,10
1500000US220330027002,10
1500000US220330040233,10
1500000US220330006025,10
1500000US220330026021,10
1500000US220330036032,10
1500000US220330051003,10
1500000US220330017004,10
1500000US220330031047,10
1500000US220330033001,10
1500000US220330007022,9
1500000US220330031042,9
1500000US220330025003,9
1500000US220330045111,9
1500000US220330033002,9
1500000US220330039123,9
1500000US220330036031,8
1500000US220330040182,8
1500000US220330036012,8
1500000US220330002003,7
1500000US220330036041,7
1500000US220330034002,7
1500000US220330040243,7
1500000US220330040131,7
1500000US220330039102,6
1500000US220330053001,6
1500000US220330037033,6
1500000US220330037011,5
1500000US220330038082,5
1500000US220330031043,5
1500000US220330038111,5
1500000US220330009001,5
1500000US220330037021,5
1500000US220330031044,5
1500000US220330040212,5
1500000US220330040134,5
1500000US220330037032,5
1500000US220330035063,5
1500000US220330039101,5
1500000US220330037023,4
1500000US220330026012,4
1500000US220330039071,4
1500000US220330045031,4
1500000US220330040242,4
1500000US220330022001,4
1500000US220330042016,4
1500000US220330039073,4
1500000US220330037022,4
1500000US220330025001,4
1500000US220330038073,4
1500000US220330016004,3
1500000US220330037014,3
1500000US220330017001,3
1500000US220330037031,3
1500000US220330028022,3
1500000US220330037012,3
1500000US220330034001,3
1500000US220330017003,3
1500000US220330035062,3
1500000US220330020002,3
1500000US220330040311,3
1500000US220330026013,3
1500000US220330035065,3
1500000US220330050003,3
1500000US220330032013,3
1500000US220330019002,3
1500000US220330039091,3
1500000US220330038071,2
1500000US220330035052,2
1500000US220330048001,2
1500000US220330031041,2
1500000US220330040173,2
1500000US220330031046,2
1500000US220330023002,2
1500000US220330039142,2
1500000US220330023003,2
1500000US220330035053,2
1500000US220330026022,2
1500000US220330037034,2
1500000US220330026023,2
1500000US220330038072,1
1500000US220330035061,1
1500000US220330040241,1
1500000US220330037013,1
1500000US220330049003,1
1500000US220330028021,1
1500000US220330028012,1
1500000US220330016003,1
1500000US220330037035,1
1500000US221030404011,1
1500000US220330049001,1
1500000US220330042033,1
1500000US220330046051,1
1500000US220330040172,1
1500000US220330038044,1
1500000US220330039141,1
1500000US220330037015,1
1500000US220330027001,1
1500000US220330040171,1
1500000US220330039093,1
1500000US220330045092,1
