AFFGEOID,count
1500000US250250801001,106
1500000US250250701013,61
1500000US250250711012,46
1500000US250250806013,43
1500000US250250303003,42
1500000US250250701012,40
1500000US250250106001,39
1500000US250251005001,36
1500000US250250813001,35
1500000US250250901001,34
1500000US250250303002,33
1500000US250250804011,31
1500000US250251011022,30
1500000US250250702003,30
1500000US250250107021,30
1500000US250250701018,29
1500000US250251010023,28
1500000US250250203032,28
1500000US250250812001,27
1500000US250250904002,26
1500000US250250920001,25
1500000US250250922004,25
1500000US250250701011,25
1500000US250250803001,24
1500000US250250805002,24
1500000US250250821003,24
1500000US250250701016,24
1500000US250250915002,23
1500000US250259817001,22
1500000US250250702001,21
1500000US250250818003,21
1500000US250250806012,20
1500000US250251010013,20
1500000US250250813002,19
1500000US250250921012,19
1500000US250250821001,19
1500000US250250817003,19
1500000US250251001003,19
1500000US250250901003,19
1500000US250250914001,19
1500000US250251004001,18
1500000US250250904003,18
1500000US250250102034,18
1500000US250250819001,18
1500000US250251010014,18
1500000US250250922001,17
1500000US250250404012,17
1500000US250250918003,17
1500000US250250923002,16
1500000US250250917002,16
1500000US250250907004,16
1500000US250250606001,16
1500000US250250804012,15
1500000US250250903002,15
1500000US250250105001,15
1500000US250250703001,15
1500000US250251005004,15
1500000US250250008022,15
1500000US250250924003,14
1500000US250250102032,14
1500000US250250711011,14
1500000US250250612003,14
1500000US250251001006,14
1500000US250251005003,14
1500000US250251005005,14
1500000US250250709001,14
1500000US250250901002,14
1500000US250250701015,14
1500000US250250919003,13
1500000US250251011023,13
1500000US250250502001,13
1500000US250250501012,13
1500000US250250818001,13
1500000US250251011012,13
1500000US250251001005,13
1500000US250251011024,13
1500000US250250403001,12
1500000US250251001007,12
1500000US250250820001,12
1500000US250250611012,12
1500000US250250001001,12
1500000US250250706001,12
1500000US250251011021,12
1500000US250250921013,12
1500000US250250903003,12
1500000US250250918001,12
1500000US250250916003,12
1500000US250250712011,12
1500000US250251402022,12
1500000US250250912001,12
1500000US250250817005,12
1500000US250251205001,12
1500000US250251003004,11
1500000US250250610002,11
1500000US250250902003,11
1500000US250250506001,11
1500000US250250906002,11
