AFFGEOID,count
1500000US360290165001,51
1500000US360290034002,16
1500000US360290035004,16
1500000US360290171005,15
1500000US360290168004,15
1500000US360290041001,15
1500000US360290029001,14
1500000US360290040013,13
1500000US360290036003,13
1500000US360290033013,13
1500000US360290058021,13
1500000US360290044021,13
1500000US360290044022,13
1500000US360290027023,12
1500000US360290016002,12
1500000US360290170002,12
1500000US360290061003,12
1500000US360290037001,12
1500000US360290057001,12
1500000US360290041004,12
1500000US360290034004,11
1500000US360290039011,11
1500000US360290016004,11
1500000US360290164001,10
1500000US360290163003,10
1500000US360290071021,10
1500000US360290070001,10
1500000US360290014023,9
1500000US360290168002,9
1500000US360290015002,9
1500000US360290058024,9
1500000US360290042005,9
1500000US360290047001,9
1500000US360290033022,9
1500000US360290031004,9
1500000US360290042003,9
1500000US360290028002,9
1500000US360290033012,8
1500000US360290061002,8
1500000US360290024001,8
1500000US360290058022,8
1500000US360290017001,8
1500000US360290027022,8
1500000US360290040015,8
1500000US360290040012,8
1500000US360290024002,8
1500000US360290171002,8
1500000US360290050001,8
1500000US360290059003,8
1500000US360290047005,8
1500000US360290069013,8
1500000US360290044012,8
1500000US360290052022,8
1500000US360290037002,8
1500000US360290027024,8
1500000US360290163001,8
1500000US360290168003,7
1500000US360290042002,7
1500000US360290030002,7
1500000US360290034001,7
1500000US360290068002,7
1500000US360290044013,7
1500000US360290019001,7
1500000US360290035003,7
1500000US360290047004,7
1500000US360290038002,7
1500000US360290068001,7
1500000US360290052014,6
1500000US360290052013,6
1500000US360290069022,6
1500000US360290069021,6
1500000US360290037004,6
1500000US360290031001,6
1500000US360290061004,6
1500000US360290028003,6
1500000US360290025022,6
1500000US360290041003,6
1500000US360290038001,6
1500000US360290043006,6
1500000US360290024003,6
1500000US360290071013,6
1500000US360290047003,6
1500000US360290002003,6
1500000US360290068004,6
1500000US360290068003,6
1500000US360290167003,6
1500000US360290028001,6
1500000US360290016003,6
1500000US360290043002,6
1500000US360290056004,6
1500000US360290069014,6
1500000US360290164004,5
1500000US360290070002,5
1500000US360290035002,5
1500000US360290057003,5
1500000US360290042004,5
1500000US360290034003,5
1500000US360290056003,5
1500000US360290010005,5
1500000US360290059002,5
1500000US360290033024,5
1500000US360290033023,5
1500000US360290069023,5
1500000US360290002002,5
1500000US360290034005,5
1500000US360290035001,5
1500000US360290008003,5
1500000US360290056005,5
1500000US360290010003,5
