AFFGEOID,count
1500000US470650004001,69
1500000US470650016001,54
1500000US470650031001,45
1500000US470650124003,42
1500000US470650019001,40
1500000US470650019003,38
1500000US470650012003,38
1500000US470650122003,36
1500000US470650013001,36
1500000US470650004002,35
1500000US470650025003,33
1500000US470650025002,32
1500000US470650023001,31
1500000US470650114452,31
1500000US470650026001,28
1500000US470650123002,28
1500000US470650114432,28
1500000US470650019002,27
1500000US470650030002,26
1500000US470650024004,26
1500000US470650032003,25
1500000US470650026002,25
1500000US470650122001,25
1500000US470650020001,24
1500000US470650011001,24
1500000US470650029001,24
1500000US470650114431,23
1500000US470650024002,22
1500000US470650104314,21
1500000US470650012002,20
1500000US470650026003,20
1500000US470650121004,19
1500000US470650113214,19
1500000US470650114441,19
1500000US470650123003,18
1500000US470650114113,17
1500000US470650008001,17
1500000US470650114462,17
1500000US470650123001,16
1500000US470650030001,15
1500000US470650029002,15
1500000US470650020002,14
1500000US470650114442,14
1500000US470650024003,13
1500000US470650114453,12
1500000US470650123004,12
1500000US470650034001,12
1500000US470650014001,12
1500000US470650028003,12
1500000US470650032001,11
1500000US470650104321,10
1500000US470650114433,10
1500000US470650114024,10
1500000US470650012001,10
1500000US470650109021,10
1500000US470650113261,9
1500000US470650033004,9
1500000US470650013002,9
1500000US470650113231,9
1500000US470650032002,9
1500000US470650109011,8
1500000US470650014002,8
1500000US470650114021,8
1500000US470650114023,8
1500000US470650011002,8
1500000US470650033003,7
1500000US470650121003,7
1500000US470650114111,7
1500000US470650113212,7
1500000US470650033002,7
1500000US470650034003,7
1500000US470650114112,7
1500000US470650104332,7
1500000US470650114451,7
1500000US470650109034,7
1500000US470650033005,6
1500000US470650114022,6
1500000US470650033006,6
1500000US470650025001,6
1500000US470650114434,6
1500000US470650033001,6
1500000US470650028002,6
1500000US470650113211,6
1500000US470650024001,6
1500000US470650122002,6
1500000US470650006001,6
1500000US470650113263,5
1500000US470650104351,5
1500000US470650104352,5
1500000US470650104353,5
1500000US470650109031,5
1500000US470650034002,5
1500000US470650007004,4
1500000US470650105021,4
1500000US470650114461,4
1500000US470659802001,4
1500000US470650105016,4
1500000US470650104333,4
1500000US470650121002,4
1500000US470650105012,4
1500000US470650018002,3
1500000US470650109033,3
1500000US470650113114,3
1500000US470650121001,3
1500000US470650104313,3
1500000US470650105015,3
1500000US470650104334,3
1500000US470650104324,3
1500000US470650121005,3
1500000US470650028001,3
1500000US470650109032,2
1500000US470650114135,2
1500000US470650006002,2
1500000US470650018001,2
1500000US470650124002,2
1500000US470650104322,2
1500000US470650112014,2
1500000US470650104331,1
1500000US470650105023,1
1500000US470650113111,1
1500000US470650113251,1
1500000US470650113252,1
1500000US470650114134,1
1500000US470650124001,1
1500000US470650006003,1
1500000US470650104311,1
1500000US470650113232,1
1500000US470650113213,1
1500000US470650105013,1
1500000US470650113112,1
1500000US470650104312,1
1500000US470650113233,1
1500000US470650104323,1
1500000US470650007003,1
1500000US470650105022,1
1500000US470650104111,1
