AFFGEOID,count
1500000US170318391001,22
1500000US170313301021,12
1500000US170313204001,11
1500000US170318370001,9
1500000US170318434001,8
1500000US170318415001,8
1500000US170318391002,8
1500000US170318313001,7
1500000US170315401022,7
1500000US170318387001,7
1500000US170318424001,7
1500000US170312705001,6
1500000US170313201021,6
1500000US170318419002,6
1500000US170318422001,6
1500000US170314402022,6
1500000US170312315004,6
1500000US170316806001,6
1500000US170314402011,6
1500000US170318314001,6
1500000US170318432002,5
1500000US170314313021,5
1500000US170310817002,5
1500000US170312515004,5
1500000US170310611001,5
1500000US170314401014,5
1500000US170314207003,5
1500000US170318419001,5
1500000US170318307003,5
1500000US170314914003,5
1500000US170318340001,5
1500000US170312304002,5
1500000US170313602001,5
1500000US170311105022,5
1500000US170312608001,5
1500000US170318314002,5
1500000US170316912001,5
1500000US170318410001,5
1500000US170318430002,5
1500000US170311911002,5
1500000US170315302002,5
1500000US170313201022,5
1500000US170315305032,5
1500000US170315305011,5
1500000US170318378001,5
1500000US170313008002,5
1500000US170312516001,5
1500000US170312522025,5
1500000US170310314005,4
1500000US170316113003,4
1500000US170316905001,4
1500000US170310621003,4
1500000US170314608004,4
1500000US170314401011,4
1500000US170317305004,4
1500000US170314803001,4
1500000US170317105001,4
1500000US170318367002,4
1500000US170318311001,4
1500000US170310812012,4
1500000US170312518004,4
1500000US170312522022,4
1500000US170313406001,4
1500000US170318429001,4
1500000US170314305003,4
1500000US170316913002,4
1500000US170314314003,4
1500000US170314906001,4
1500000US170314605006,4
1500000US170314313023,4
1500000US170313012001,4
1500000US170312925003,4
1500000US170312519004,4
1500000US170312827002,4
1500000US170318320001,4
1500000US170312909001,4
1500000US170312606001,4
1500000US170318343002,4
1500000US170315807002,4
1500000US170314305001,4
1500000US170312306002,4
1500000US170312605001,4
1500000US170312315001,4
1500000US170318346001,4
1500000US170310815002,4
1500000US170318355002,4
1500000US170318426002,4
1500000US170318390002,4
1500000US170318346002,4
1500000US170312607001,4
1500000US170312713001,4
1500000US170312608002,4
1500000US170315305012,4
1500000US170314207005,4
1500000US170316116001,4
1500000US170312409001,4
1500000US170312518002,4
1500000US170318388002,4
1500000US170312912001,4
1500000US170310816001,4
1500000US170312503003,3
1500000US170312607002,3
1500000US170313814001,3
1500000US170312507004,3
1500000US170316606003,3
1500000US170314608002,3
1500000US170318424002,3
1500000US170317113001,3
1500000US170318374002,3
1500000US170312801001,3
1500000US170312922002,3
1500000US170318387002,3
1500000US170318397002,3
1500000US170314909012,3
1500000US170316505003,3
1500000US170312521011,3
1500000US170312513001,3
1500000US170313206001,3
1500000US170318373001,3
1500000US170318446001,3
1500000US170312518001,3
1500000US170312435001,3
1500000US170312414001,3
1500000US170312516003,3
1500000US170318421002,3
1500000US170310312003,3
1500000US170315808001,3
1500000US170312520002,3
1500000US170316115002,3
1500000US170318411002,3
1500000US170314401012,3
1500000US170317101001,3
1500000US170314910003,3
1500000US170314101001,3
1500000US170316912002,3
1500000US170310815003,3
1500000US170317115002,3
1500000US170314914002,3
1500000US170316810002,3
1500000US170315301002,3
1500000US170318368002,3
1500000US170318366001,3
1500000US170312519002,3
1500000US170312922003,3
1500000US170311506001,3
1500000US170310321005,3
1500000US170314909022,3
1500000US170310816002,3
1500000US170316713001,3
1500000US170316308004,3
1500000US170318317001,3
1500000US170310312002,3
1500000US170312312004,3
1500000US170314503001,3
1500000US170318415002,3
1500000US170316603011,3
1500000US170318438001,3
1500000US170310311001,3
1500000US170310631001,3
1500000US170315306003,3
1500000US170318367001,3
1500000US170316809004,3
1500000US170313806004,3
1500000US170316911001,3
1500000US170313108002,3
1500000US170314107001,3
1500000US170310810006,3
1500000US170312502002,3
1500000US170316911003,3
1500000US170311912001,3
1500000US170316610003,3
1500000US170310802021,3
1500000US170316607001,3
1500000US170318431001,3
1500000US170312604001,3
1500000US170318390003,3
1500000US170317104005,3
1500000US170315101001,3
1500000US170316809001,3
1500000US170318412002,3
1500000US170318402001,3
1500000US170313819002,3
1500000US170316702001,3
1500000US170314301012,3
1500000US170314312001,3
1500000US170315305013,3
1500000US170318387004,3
1500000US170312925001,3
1500000US170314408002,3
1500000US170318425001,3
1500000US170316606005,3
1500000US170316712001,3
1500000US170314604001,3
1500000US170318371002,3
1500000US170318366002,3
1500000US170311901001,3
1500000US170318347001,3
1500000US170318339002,2
1500000US170310315021,2
1500000US170315303004,2
1500000US170310315013,2
1500000US170318309002,2
1500000US170317505003,2
1500000US170312502001,2
1500000US170312108001,2
1500000US170314805002,2
1500000US170315401011,2
1500000US170310615001,2
1500000US170318333001,2
1500000US170318364002,2
1500000US170314801001,2
1500000US170316708001,2
1500000US170313504001,2
1500000US170316303002,2
1500000US170310311002,2
1500000US170312610002,2
1500000US170317302011,2
1500000US170312609001,2
1500000US170314908003,2
1500000US170314308001,2
1500000US170312107001,2
1500000US170316813002,2
1500000US170316813003,2
1500000US170311904022,2
1500000US170318407003,2
1500000US170311703003,2
1500000US170318305001,2
1500000US170313806001,2
1500000US170310402012,2
1500000US170313510002,2
1500000US170315302005,2
1500000US170312312003,2
1500000US170316814002,2
1500000US170314301013,2
1500000US170310207011,2
1500000US170313806003,2
1500000US170316910004,2
1500000US170310208014,2
1500000US170310208022,2
1500000US170312213001,2
1500000US170317005021,2
1500000US170313018012,2
1500000US170318347003,2
1500000US170313301033,2
1500000US170313903002,2
1500000US170312302001,2
1500000US170316810003,2
1500000US170311408005,2
1500000US170310811003,2
1500000US170310402022,2
1500000US170314601003,2
1500000US170310104001,2
1500000US170315502002,2
1500000US170316809003,2
1500000US170312521022,2
1500000US170310105022,2
1500000US170312610001,2
1500000US170318420002,2
1500000US170316714002,2
1500000US170315103003,2
1500000US170314302001,2
1500000US170314503003,2
1500000US170316606002,2
1500000US170318395001,2
1500000US170311508005,2
1500000US170310208024,2
1500000US170318330002,2
1500000US170318351003,2
1500000US170316121001,2
1500000US170314610001,2
1500000US170316610001,2
1500000US170314313012,2
1500000US170314207004,2
1500000US170312521023,2
1500000US170317102003,2
1500000US170314910001,2
1500000US170317103001,2
1500000US170318439001,2
1500000US170316119002,2
1500000US170318356002,2
1500000US170310104003,2
1500000US170318382002,2
1500000US170310804001,2
1500000US170312522023,2
1500000US170318390004,2
1500000US170312521024,2
1500000US170317201003,2
1500000US170312205003,2
1500000US170316503021,2
1500000US170312511001,2
1500000US170310206023,2
1500000US170316701001,2
1500000US170313405001,2
1500000US170313103001,2
1500000US170314402014,2
1500000US170318439005,2
1500000US170315305033,2
1500000US170317114002,2
1500000US170317112001,2
1500000US170315301001,2
1500000US170314313013,2
1500000US170312002003,2
1500000US170310711002,2
1500000US170316201001,2
1500000US170318411001,2
1500000US170310205003,2
1500000US170318447001,2
1500000US170314207002,2
1500000US170313017013,2
1500000US170315003001,2
1500000US170310209011,2
1500000US170311913022,2
1500000US170311610001,2
1500000US170314914001,2
1500000US170317114001,2
1500000US170314401023,2
1500000US170318435001,2
1500000US170312609002,2
1500000US170312909003,2
1500000US170317304001,2
1500000US170310306031,2
1500000US170314308002,2
1500000US170310803003,2
1500000US170312513004,2
1500000US170310102021,2
1500000US170312104001,2
1500000US170317104001,2
1500000US170312522021,2
1500000US170311511004,2
1500000US170316810001,2
1500000US170315303002,2
1500000US170315202001,2
1500000US170314701001,2
