AFFGEOID,count
1500000US390610080001,82
1500000US390610094001,75
1500000US390610017001,49
1500000US390610060001,49
1500000US390610077002,47
1500000US390610110002,47
1500000US390610092003,36
1500000US390610098001,36
1500000US390610270001,35
1500000US390610023001,32
1500000US390610077001,32
1500000US390610097003,30
1500000US390610038002,30
1500000US390610082012,30
1500000US390610007003,29
1500000US390610019001,29
1500000US390610033002,28
1500000US390610061002,25
1500000US390610069003,25
1500000US390610265001,24
1500000US390610095002,24
1500000US390610061001,24
1500000US390610055004,24
1500000US390610026001,23
1500000US390610095003,22
1500000US390610101002,22
1500000US390610085021,22
1500000US390610025001,22
1500000US390610038003,21
1500000US390610039003,21
1500000US390610010002,21
1500000US390610100024,21
1500000US390610033001,21
1500000US390610039001,20
1500000US390610267001,20
1500000US390610010001,20
1500000US390610095001,19
1500000US390610271002,19
1500000US390610103002,19
1500000US390610066001,19
1500000US390610093003,19
1500000US390610007002,19
1500000US390610068003,19
1500000US390610065001,19
1500000US390610069001,19
1500000US390610040002,18
1500000US390610272003,18
1500000US390610016001,18
1500000US390610100022,18
1500000US390610092002,18
1500000US390610093002,17
1500000US390610016002,17
1500000US390610066002,17
1500000US390610068002,16
1500000US390610272002,16
1500000US390610269002,16
1500000US390610101003,15
1500000US390610265002,15
1500000US390610068001,15
1500000US390610109002,15
1500000US390610088002,15
1500000US390610046022,14
1500000US390610263002,14
1500000US390610097004,14
1500000US390610110001,14
1500000US390610088001,14
1500000US390610069002,14
1500000US390610070002,14
1500000US390610073002,12
1500000US390610009002,12
1500000US390610270002,12
1500000US390610093004,12
1500000US390610099022,12
1500000US390610082021,12
1500000US390610022001,12
1500000US390610002001,11
1500000US390610046021,11
1500000US390610100021,11
1500000US390610097005,11
1500000US390610100025,11
1500000US390610096003,11
1500000US390610270003,11
1500000US390610271004,10
1500000US390610102011,10
1500000US390610107001,10
1500000US390610267002,10
1500000US390610064001,10
1500000US390610096002,10
1500000US390610055002,10
1500000US390610037002,10
1500000US390610064003,10
1500000US390610041002,10
1500000US390610064002,10
1500000US390610264001,9
1500000US390610058002,9
1500000US390610208114,9
1500000US390610082013,9
1500000US390610271001,9
1500000US390610026002,9
1500000US390610009001,9
1500000US390610109001,9
1500000US390610084001,8
1500000US390610086013,8
1500000US390610266002,8
1500000US390610102013,8
1500000US390610099011,8
1500000US390610097001,8
1500000US390610263001,8
1500000US390610093001,8
1500000US390610011001,8
1500000US390610074002,8
1500000US390610083003,8
1500000US390610269003,8
1500000US390610100041,8
1500000US390610083001,8
1500000US390610100023,8
1500000US390610101001,8
1500000US390610028002,8
1500000US390610065004,8
1500000US390610039002,8
1500000US390610057023,8
1500000US390610060005,7
1500000US390610270004,7
1500000US390610007001,7
1500000US390610037001,7
1500000US390610102014,7
1500000US390610022002,7
1500000US390610056001,7
1500000US390610032001,7
1500000US390610041001,6
1500000US390610028001,6
1500000US390610058001,6
1500000US390610086011,6
1500000US390610038001,6
1500000US390610072001,6
1500000US390610025002,6
1500000US390610100051,6
1500000US390610111001,6
1500000US390610056004,6
1500000US390610057024,6
1500000US390610097002,6
1500000US390610269001,6
1500000US390610036001,6
1500000US390610264003,6
1500000US390610054001,6
1500000US390610271003,5
1500000US390610073001,5
1500000US390610100031,5
1500000US390610055001,5
1500000US390610103001,5
1500000US390610070001,5
1500000US390610102022,5
1500000US390610059001,5
1500000US390610063004,5
1500000US390610099012,5
1500000US390610080002,5
1500000US390610030001,5
1500000US390610063005,4
1500000US390610058004,4
1500000US390610079002,4
1500000US390610063001,4
1500000US390610018002,4
1500000US390610074003,4
1500000US390610111002,4
1500000US390610053013,4
1500000US390610086012,4
1500000US390610272001,4
1500000US390610100033,4
1500000US390610029002,4
1500000US390610022003,4
1500000US390610027001,4
1500000US390610048002,4
1500000US390610209022,4
1500000US390610085011,3
1500000US390610074001,3
1500000US390610065005,3
1500000US390610107002,3
1500000US390610274003,3
1500000US390610102023,3
1500000US390610102012,3
1500000US390610086014,3
1500000US390610018001,3
1500000US390610064004,3
1500000US390610060004,3
1500000US390610092001,3
1500000US390610046041,3
1500000US390610036002,3
1500000US390610242001,3
1500000US390610029003,3
1500000US390610081002,3
1500000US390610100042,3
1500000US390610102015,3
1500000US390610104001,3
1500000US390610072002,3
1500000US390610030003,3
1500000US390610234002,2
1500000US390610057013,2
1500000US390610029001,2
1500000US390610047021,2
1500000US390610099021,2
1500000US390610222002,2
1500000US390610099013,2
1500000US390610049002,2
1500000US390610106001,2
1500000US390610083002,2
1500000US390610046051,2
1500000US390610096001,2
1500000US390610081001,2
1500000US390610085012,2
1500000US390610232012,2
1500000US390610100032,2
1500000US390610057012,2
1500000US390610060002,2
1500000US390610096004,2
1500000US390610063002,2
1500000US390610078003,2
1500000US390610104002,2
1500000US390610053012,2
1500000US390610047011,2
1500000US390610053011,2
1500000US390610209024,2
1500000US390610266003,2
1500000US390610049001,2
1500000US390610268001,2
1500000US390610078002,2
1500000US390610264002,2
1500000US390610030002,2
1500000US390610055003,2
1500000US390610065003,1
1500000US390610052003,1
1500000US390610058003,1
1500000US390610105002,1
1500000US390610053022,1
1500000US390610042002,1
1500000US390610019002,1
1500000US390610102021,1
1500000US390610218011,1
1500000US390610046052,1
1500000US390610209021,1
1500000US390610057011,1
1500000US390610063003,1
1500000US390610085013,1
1500000US390610046023,1
1500000US390610056003,1
1500000US390610057022,1
1500000US390610079001,1
1500000US390610052002,1
1500000US390610051002,1
1500000US390610071003,1
1500000US390610082022,1
1500000US390610020002,1
