AFFGEOID,count
1500000US110010106002,55
1500000US110010044002,53
1500000US110010104001,47
1500000US110010073041,47
1500000US110010096011,45
1500000US110010089031,44
1500000US110010075041,44
1500000US110010101001,43
1500000US110010096021,41
1500000US110010088031,41
1500000US110010107001,38
1500000US110010031001,37
1500000US110010091022,37
1500000US110010058001,36
1500000US110010075031,36
1500000US110010046001,35
1500000US110010098111,35
1500000US110010078031,35
1500000US110010104002,35
1500000US110010077071,35
1500000US110010074081,35
1500000US110010044001,34
1500000US110010096033,34
1500000US110010089041,33
1500000US110010074031,32
1500000US110010078042,30
1500000US110010099072,30
1500000US110010088042,30
1500000US110010111001,28
1500000US110010099042,28
1500000US110010028022,27
1500000US110010074062,27
1500000US110010074011,26
1500000US110010035001,26
1500000US110010107002,26
1500000US110010075021,25
1500000US110010098071,25
1500000US110010076013,24
1500000US110010079011,24
1500000US110010099061,23
1500000US110010097001,23
1500000US110010092011,23
1500000US110010018042,23
1500000US110010077082,23
1500000US110010079031,22
1500000US110010083021,22
1500000US110010077033,22
1500000US110010028021,22
1500000US110010037002,21
1500000US110010079014,21
1500000US110010098112,21
1500000US110010111003,21
1500000US110010048011,20
1500000US110010076052,20
1500000US110010078081,20
1500000US110010059001,20
1500000US110010078082,20
1500000US110010102002,20
1500000US110010076011,19
1500000US110010027021,19
1500000US110010096031,19
1500000US110010047021,19
1500000US110010075022,19
1500000US110010087021,19
1500000US110010078092,19
1500000US110010098041,19
1500000US110010098101,18
1500000US110010084021,18
1500000US110010068041,18
1500000US110010077072,18
1500000US110010075032,18
1500000US110010098072,17
1500000US110010058002,17
1500000US110010025011,17
1500000US110010096032,17
1500000US110010088022,16
1500000US110010020022,16
1500000US110010055001,16
1500000US110010078062,16
1500000US110010034001,16
1500000US110010001004,16
1500000US110010076014,16
1500000US110010098011,16
1500000US110010074041,16
1500000US110010111002,16
1500000US110010028012,15
1500000US110010030002,15
1500000US110010074092,15
1500000US110010025021,15
1500000US110010035002,15
1500000US110010099022,15
1500000US110010078091,15
1500000US110010038001,14
1500000US110010074012,14
1500000US110010078071,14
1500000US110010078033,14
1500000US110010078041,14
1500000US110010097002,14
1500000US110010089042,14
1500000US110010064001,14
1500000US110010073042,13
1500000US110010084101,13
1500000US110010090002,13
1500000US110010099053,13
1500000US110010043001,13
1500000US110010098033,13
1500000US110010077081,12
1500000US110010020023,12
1500000US110010025024,12
1500000US110010055003,12
1500000US110010068011,12
1500000US110010095081,12
1500000US110010070002,12
1500000US110010091023,12
1500000US110010052014,12
1500000US110010036001,12
1500000US110010074072,12
1500000US110010036003,12
1500000US110010078072,12
1500000US110010109001,12
1500000US110010071002,12
1500000US110010078061,11
1500000US110010109002,11
1500000US110010099051,11
1500000US110010076012,11
1500000US110010076042,11
1500000US110010074043,11
1500000US110010049022,11
1500000US110010095013,11
1500000US110010099031,11
1500000US110010017021,11
1500000US110010072001,11
1500000US110010034002,11
1500000US110010050011,11
1500000US110010072002,11
1500000US110010099032,11
1500000US110010095011,11
1500000US110010068022,11
1500000US110010049011,11
1500000US110010093021,10
1500000US110010106001,10
1500000US110010077031,10
1500000US110010076015,10
1500000US110010030001,10
1500000US110010093012,10
1500000US110010078043,10
1500000US110010021015,10
1500000US110010011004,10
1500000US110010049012,10
1500000US110010017022,10
1500000US110010029002,10
1500000US110010046002,10
1500000US110010033022,10
1500000US110010064002,10
1500000US110010076053,10
1500000US110010074061,10
1500000US110010098042,10
1500000US110010069001,10
1500000US110010088023,9
1500000US110010092032,9
1500000US110010047012,9
1500000US110010105001,9
1500000US110010077034,9
1500000US110010016002,9
1500000US110010027012,9
1500000US110010077091,9
1500000US110010025023,9
1500000US110010043002,9
1500000US110010088021,9
1500000US110010020021,9
1500000US110010074093,9
1500000US110010079013,9
1500000US110010025012,9
1500000US110010052013,9
1500000US110010020012,9
1500000US110010029001,9
1500000US110010022012,9
1500000US110010098022,9
1500000US110010087011,9
1500000US110010078083,9
1500000US110010099071,9
1500000US110010078034,8
1500000US110010076031,8
1500000US110010047011,8
1500000US110010073043,8
1500000US110010078032,8
1500000US110010002023,8
1500000US110010042012,8
1500000US110010074042,8
1500000US110010025022,8
1500000US110010077032,8
1500000US110010088024,8
1500000US110010018032,8
1500000US110010021012,8
1500000US110010019014,7
1500000US110010033012,7
1500000US110010069002,7
1500000US110010053012,7
1500000US110010087012,7
1500000US110010080013,7
1500000US110010074071,7
1500000US110010020011,7
1500000US110010076043,7
1500000US110010077092,7
1500000US110010084022,7
1500000US110010048022,7
1500000US110010076041,7
1500000US110010022021,6
1500000US110010049021,6
1500000US110010033021,6
1500000US110010032004,6
1500000US110010023012,6
1500000US110010010012,6
1500000US110010068021,6
1500000US110010050024,6
1500000US110010032002,6
1500000US110010021022,6
1500000US110010090001,6
1500000US110010052012,6
1500000US110010002024,6
1500000US110010038003,6
1500000US110010066001,6
1500000US110010092041,6
1500000US110010095053,6
1500000US110010028011,6
1500000US110010067003,6
1500000US110010019013,6
1500000US110010087022,6
1500000US110010041001,6
1500000US110010039003,6
1500000US110010101002,6
1500000US110010040011,6
1500000US110010099052,6
1500000US110010067001,6
1500000US110010099041,6
1500000US110010092031,6
1500000US110010062021,6
1500000US110010022022,5
1500000US110010056001,5
1500000US110010056004,5
1500000US110010088041,5
1500000US110010032003,5
1500000US110010042011,5
1500000US110010099012,5
1500000US110010095071,5
1500000US110010089032,5
1500000US110010095041,5
1500000US110010098031,5
1500000US110010080022,5
1500000US110010091021,5
1500000US110010071001,5
1500000US110010076034,5
1500000US110010024001,5
1500000US110010108002,5
1500000US110010065001,5
1500000US110010092042,5
1500000US110010094001,5
1500000US110010095031,5
1500000US110010037003,5
1500000US110010099021,5
1500000US110010102001,5
1500000US110010038002,4
1500000US110010079012,4
1500000US110010093013,4
1500000US110010095042,4
1500000US110010005012,4
1500000US110010080021,4
1500000US110010106003,4
1500000US110010095012,4
1500000US110010055004,4
1500000US110010076051,4
1500000US110010076033,4
1500000US110010012001,4
1500000US110010024002,4
1500000US110010080011,4
1500000US110010048021,4
1500000US110010042022,4
1500000US110010076032,4
1500000US110010001001,4
1500000US110010021013,4
1500000US110010021011,4
1500000US110010074091,4
1500000US110010024004,4
1500000US110010027013,4
1500000US110010013023,4
1500000US110010027022,4
1500000US110010053013,4
1500000US110010040021,4
1500000US110010050012,4
1500000US110010011002,4
1500000US110010095093,4
1500000US110010096041,4
1500000US110010040023,3
1500000US110010095033,3
1500000US110010098021,3
1500000US110010096022,3
1500000US110010022013,3
1500000US110010022023,3
1500000US110010022011,3
1500000US110010032001,3
1500000US110010070001,3
1500000US110010053014,3
1500000US110010083012,3
1500000US110010067002,3
1500000US110010096042,3
1500000US110010050021,3
1500000US110010055002,3
1500000US110010080012,3
1500000US110010021026,3
1500000US110010068012,3
1500000US110010110004,3
1500000US110010052011,3
1500000US110010023011,3
1500000US110010103002,3
1500000US110010019021,3
1500000US110010094003,3
1500000US110010082002,3
1500000US110010095052,3
1500000US110010013021,2
1500000US110010039004,2
1500000US110010095051,2
1500000US110010103001,2
1500000US110010006001,2
1500000US110010021024,2
1500000US110010042021,2
1500000US110010108003,2
1500000US110010098032,2
1500000US110010011003,2
1500000US110010094002,2
1500000US110010019022,2
1500000US110010024003,2
1500000US110010098102,2
1500000US110010001003,2
1500000US110010010023,2
