AFFGEOID,count
1500000US261635172001,79
1500000US261635189001,52
1500000US261635410003,46
1500000US261635007003,44
1500000US261635062001,42
1500000US261635034002,41
1500000US261635418001,40
1500000US261635351002,40
1500000US261635383001,39
1500000US261635395002,38
1500000US261635050002,38
1500000US261635207001,37
1500000US261635219002,37
1500000US261635353005,37
1500000US261635008001,36
1500000US261635016001,36
1500000US261635114002,35
1500000US261635383002,34
1500000US261635344002,34
1500000US261635397002,34
1500000US261635014003,33
1500000US261635392006,33
1500000US261635410001,33
1500000US261635350002,33
1500000US261635414002,33
1500000US261635175002,33
1500000US261635055001,33
1500000US261635207002,33
1500000US261635166001,33
1500000US261635031001,32
1500000US261635006001,32
1500000US261635402006,32
1500000US261635339003,31
1500000US261635015005,31
1500000US261635454001,31
1500000US261635467002,31
1500000US261635387001,31
1500000US261635453001,31
1500000US261635159001,31
1500000US261635377003,31
1500000US261635421001,30
1500000US261635007001,30
1500000US261635032001,30
1500000US261635225001,30
1500000US261635317001,29
1500000US261635009002,29
1500000US261635080001,29
1500000US261635461002,29
1500000US261635265002,29
1500000US261635049003,28
1500000US261635033003,28
1500000US261635035005,28
1500000US261635240001,28
1500000US261635033001,28
1500000US261635175003,28
1500000US261635007004,28
1500000US261635417002,28
1500000US261635467001,27
1500000US261635173001,27
1500000US261635007002,27
1500000US261635352003,27
1500000US261635369002,27
1500000US261635393002,27
1500000US261635016002,27
1500000US261635440002,27
1500000US261635043001,27
1500000US261635466003,27
1500000US261635052002,27
1500000US261635468003,27
1500000US261635008002,27
1500000US261635123001,27
1500000US261635003002,26
1500000US261635051001,26
1500000US261635316002,26
1500000US261635317002,26
1500000US261635172002,26
1500000US261635451003,26
1500000US261635415002,26
1500000US261635121005,26
1500000US261635122001,26
1500000US261635042002,25
1500000US261635330001,25
1500000US261635311002,25
1500000US261635370001,25
1500000US261635370003,25
1500000US261635372001,25
1500000US261635377001,25
1500000US261635137002,25
1500000US261635407003,24
1500000US261635208001,24
1500000US261635258002,24
1500000US261635377002,24
1500000US261635156001,24
1500000US261635180002,24
1500000US261635350001,24
1500000US261635354002,24
1500000US261635068003,24
1500000US261635423001,24
1500000US261635080002,24
1500000US261635396002,24
1500000US261635070001,24
1500000US261635013003,24
1500000US261635423002,23
1500000US261635075001,23
1500000US261635371003,23
1500000US261635062002,23
1500000US261635054001,23
1500000US261635394001,23
1500000US261635443003,23
1500000US261635459001,23
1500000US261635405001,23
1500000US261635055002,23
1500000US261635311001,23
1500000US261635384004,23
1500000US261635457002,23
1500000US261635043002,23
1500000US261635413002,23
1500000US261635404004,23
1500000US261635376002,23
1500000US261635457001,23
1500000US261635220001,22
1500000US261635013005,22
1500000US261635152002,22
1500000US261635403005,22
1500000US261635342005,22
1500000US261635464001,22
1500000US261635067001,22
1500000US261635074002,22
1500000US261635032003,22
1500000US261635369003,22
1500000US261635166002,22
1500000US261635453002,22
1500000US261635394002,22
1500000US261635070002,22
1500000US261635469001,22
1500000US261635036003,22
1500000US261635387002,22
1500000US261635042001,22
1500000US261635069005,21
1500000US261635041003,21
1500000US261635035004,21
1500000US261635044002,21
1500000US261635452002,21
1500000US261635375005,21
1500000US261635368002,21
1500000US261635122002,21
1500000US261635442001,21
1500000US261635302004,21
1500000US261635373001,21
1500000US261635136002,21
1500000US261635143001,21
1500000US261635357001,21
1500000US261635035001,21
1500000US261635376003,20
1500000US261635112001,20
1500000US261635204001,20
1500000US261635066002,20
1500000US261635033002,20
1500000US261635238004,20
1500000US261635351001,20
1500000US261635378001,20
1500000US261635263003,20
1500000US261635223002,20
1500000US261635020001,20
1500000US261635009001,20
1500000US261635422002,20
1500000US261635010003,20
1500000US261635355001,20
1500000US261635161002,20
1500000US261635010001,20
1500000US261635438002,20
1500000US261635435001,20
1500000US261635395004,20
1500000US261635402002,19
1500000US261635002003,19
1500000US261635347004,19
1500000US261635423003,19
1500000US261635370002,19
1500000US261635333002,19
1500000US261635234002,19
1500000US261635342004,19
1500000US261635006005,19
1500000US261635354001,19
1500000US261635455006,19
1500000US261635152001,19
1500000US261635231001,19
1500000US261635031003,19
1500000US261635143003,19
1500000US261635467004,19
1500000US261635315004,19
1500000US261635455003,19
1500000US261635069001,19
1500000US261635032002,19
1500000US261635352001,19
1500000US261635169001,19
1500000US261635459002,19
1500000US261635073003,19
1500000US261635363004,19
1500000US261635402001,19
1500000US261635442003,19
1500000US261635012001,19
1500000US261635043003,18
1500000US261635406002,18
1500000US261635255002,18
1500000US261635460001,18
1500000US261635232001,18
1500000US261635391002,18
1500000US261635012002,18
1500000US261635350003,18
1500000US261635141001,18
1500000US261635392002,18
1500000US261635017001,18
1500000US261635054004,18
1500000US261635247006,18
1500000US261635167001,18
1500000US261635343002,18
1500000US261635368001,18
1500000US261635468002,18
1500000US261635424001,18
1500000US261635157001,18
1500000US261635064002,18
1500000US261635468001,18
1500000US261635432001,18
1500000US261635369004,18
1500000US261635465002,17
1500000US261635224001,17
1500000US261635074004,17
1500000US261635393004,17
1500000US261635461004,17
1500000US261635375002,17
1500000US261635203001,17
1500000US261635459005,17
1500000US261635305003,17
1500000US261635014004,17
1500000US261635081001,17
1500000US261635145002,17
1500000US261635250002,17
1500000US261635063003,17
1500000US261635139001,17
1500000US261635020002,17
1500000US261635452003,17
1500000US261635254003,17
1500000US261635273002,17
1500000US261635005001,16
1500000US261635390003,16
1500000US261635241003,16
1500000US261635391001,16
1500000US261635347003,16
1500000US261635451001,16
1500000US261635356004,16
1500000US261635411001,16
1500000US261635319002,16
1500000US261635049004,16
1500000US261635407002,16
1500000US261635336003,16
1500000US261635413001,16
1500000US261635381001,16
1500000US261635418002,16
1500000US261635001001,16
1500000US261635434001,16
1500000US261635003001,16
1500000US261635464002,16
1500000US261635036001,16
1500000US261635361004,16
1500000US261635361001,16
1500000US261635401001,16
1500000US261635010002,16
1500000US261635458002,16
1500000US261635408002,16
1500000US261635458003,16
1500000US261635313001,16
1500000US261635412003,16
1500000US261635048001,16
1500000US261635369001,16
1500000US261635308003,16
1500000US261635442002,15
1500000US261635456005,15
1500000US261635459004,15
1500000US261635243001,15
1500000US261635002002,15
1500000US261635344001,15
1500000US260992589003,15
1500000US261635463002,15
1500000US261635408001,15
1500000US261635362002,15
1500000US261635188002,15
1500000US261635396003,15
1500000US261635165001,15
1500000US261635318003,15
1500000US261635273001,15
1500000US261635041002,15
1500000US261635001004,15
1500000US261635355003,15
1500000US261635129001,15
1500000US261635143002,15
1500000US261635452004,15
1500000US261635004003,15
1500000US261635240002,15
1500000US261635054002,15
1500000US261635002001,15
1500000US261635455005,15
1500000US261635366001,15
1500000US261635342002,15
1500000US261635173002,15
