AFFGEOID,count
1500000US120010005001,20
1500000US120010006001,15
1500000US120010003012,15
1500000US120010018033,14
1500000US120010015191,14
1500000US120010006002,12
1500000US120010010003,11
1500000US120010006003,10
1500000US120010007003,10
1500000US120010005004,9
1500000US120010003023,9
1500000US120010007002,9
1500000US120010016044,8
1500000US120010015151,8
1500000US120010008091,8
1500000US120010007001,8
1500000US120010002004,7
1500000US120010004004,7
1500000US120010019021,7
1500000US120010014003,7
1500000US120010015213,7
1500000US120010016041,6
1500000US120010008082,6
1500000US120010004001,6
1500000US120010015201,6
1500000US120010012023,6
1500000US120010004003,4
1500000US120010015153,4
1500000US120010015212,4
1500000US120010005002,4
1500000US120010017023,4
1500000US120010003011,4
1500000US120010015161,4
1500000US120010015211,4
1500000US120010002003,4
1500000US120010019022,4
1500000US120010004002,3
1500000US120010002002,3
1500000US120010018131,3
1500000US120010011003,3
1500000US120010003022,3
1500000US120010008061,3
1500000US120010002006,3
1500000US120010012031,3
1500000US120010015172,3
1500000US120010015171,2
1500000US120010008083,2
1500000US120010002005,2
1500000US120010017011,2
1500000US120010002001,2
1500000US120010018023,1
1500000US120010022201,1
1500000US120010011004,1
1500000US120010005003,1
1500000US120010018113,1
1500000US120010015141,1
1500000US120010018034,1
1500000US120010012024,1
1500000US120010010001,1
1500000US120010009022,1
1500000US121050141054,1
1500000US120010022193,1
1500000US120010011002,1
1500000US120010015152,1
1500000US120010012022,1
1500000US120010019082,1
1500000US120010009021,1
1500000US120010012032,1
1500000US120010018032,1
1500000US120011108001,1
1500000US120010016043,1
1500000US120010012011,1
1500000US120010003021,1
