AFFGEOID,count
1500000US482013125001,171
1500000US482013341002,126
1500000US482011000003,119
1500000US482013333002,116
1500000US482014336003,113
1500000US482012205001,108
1500000US482013318001,101
1500000US482012302001,101
1500000US482014533001,97
1500000US482013320003,87
1500000US482011000002,83
1500000US482014106001,82
1500000US482012307003,80
1500000US482014531001,77
1500000US482012401002,76
1500000US482013125002,75
1500000US482011000001,73
1500000US482012327021,70
1500000US482015304002,69
1500000US482014328011,69
1500000US482014313011,69
1500000US482014520003,69
1500000US482013314001,69
1500000US482012405022,68
1500000US482012401001,68
1500000US482013335001,68
1500000US482014335024,66
1500000US482015333001,66
1500000US482013117001,66
1500000US482014213002,65
1500000US482015331002,65
1500000US482014327011,65
1500000US482014522011,64
1500000US482012208002,64
1500000US482012112002,63
1500000US482012205003,63
1500000US482013322002,63
1500000US482013333001,62
1500000US482013209001,62
1500000US482014329011,62
1500000US482014312012,62
1500000US482012111006,62
1500000US482015333002,61
1500000US482012406001,61
1500000US482015501002,60
1500000US482012214003,60
1500000US482013101002,60
1500000US482013312001,59
1500000US482014401001,59
1500000US482014327012,59
1500000US482012226001,59
1500000US482013135003,58
1500000US482015217004,58
1500000US482013136002,58
1500000US482013135002,58
1500000US482013131002,58
1500000US482013312002,57
1500000US482015116004,57
1500000US482012104003,56
1500000US482015205001,56
1500000US482012327023,55
1500000US482014106002,55
1500000US482014532001,54
1500000US482013134002,54
1500000US482014318022,54
1500000US482014222002,54
1500000US482013138001,54
1500000US482012212003,53
1500000US482014328024,53
1500000US482013143001,52
1500000US482014222001,51
1500000US482012215002,51
1500000US482012117001,50
1500000US482012405012,50
1500000US482013309001,50
1500000US482013137002,49
1500000US482013316012,49
1500000US482015502002,49
1500000US482013319001,49
1500000US482012301001,48
1500000US482012312003,48
1500000US482014232021,48
1500000US482012226002,48
1500000US482015307001,48
1500000US482015322002,47
1500000US482014214031,47
1500000US482013136001,47
1500000US482013119001,47
1500000US482014521002,47
1500000US482014517001,47
1500000US482012313002,46
1500000US482013311004,46
1500000US482015308001,46
1500000US482012225031,46
1500000US482014327022,46
1500000US482015217003,45
1500000US482014330032,45
1500000US482014311012,44
1500000US482015514003,44
1500000US482013143002,44
1500000US482014228001,44
1500000US482015301002,44
1500000US482015306002,43
1500000US482014201001,43
1500000US482012325001,43
1500000US482015321001,42
1500000US482012305003,42
1500000US482015501001,42
1500000US482014330022,42
1500000US482014534023,41
1500000US482013122001,41
1500000US482015330001,41
1500000US482015502001,41
1500000US482014224023,41
1500000US482013102001,41
1500000US482013122003,41
1500000US482014534032,41
1500000US482012306001,40
1500000US482014536011,40
1500000US482013123001,40
1500000US482012111001,40
1500000US482012306002,39
1500000US482014120002,39
1500000US482014330031,39
1500000US482012303001,39
1500000US482014530003,39
1500000US482013129001,39
1500000US482013339021,38
1500000US482012209001,38
1500000US482014331002,38
1500000US482012310001,38
1500000US482015307003,38
1500000US482014212021,38
1500000US482014335011,38
1500000US482014335012,38
1500000US482012114002,38
1500000US482014330013,38
1500000US482014532002,38
1500000US482013138002,38
1500000US482014321001,37
1500000US482014536022,37
1500000US482015102002,37
1500000US482013315006,37
1500000US482014107021,37
1500000US482015321002,36
1500000US482013317003,36
1500000US482013308001,36
1500000US482014334002,36
1500000US482014510023,36
1500000US482013303011,36
1500000US482015323004,36
1500000US482012220001,36
1500000US482013124003,36
1500000US482013206011,36
1500000US482013340011,36
1500000US482012314001,35
1500000US482014320021,35
1500000US482015337011,35
1500000US482012415003,35
1500000US482012302003,35
1500000US482014231001,35
1500000US482014214032,35
1500000US482012108002,35
1500000US482013303023,35
1500000US482014521001,35
1500000US482015304001,34
1500000US482014234011,34
1500000US482014101001,34
1500000US482013123002,34
1500000US482015515001,34
1500000US482014224013,34
1500000US482013211001,34
1500000US482012116002,34
1500000US482014532003,34
1500000US482014324003,34
1500000US482013328003,34
1500000US482013132003,34
1500000US482012227001,34
1500000US482012113003,34
1500000US482012225011,34
1500000US482014331001,34
1500000US482012210001,34
1500000US482014525002,34
1500000US482014513002,34
1500000US482012316002,34
1500000US482014107011,33
1500000US482015418001,33
1500000US482012225032,33
1500000US482012315001,33
1500000US482014213001,33
1500000US482013118003,33
1500000US482014321002,33
1500000US482012110002,33
1500000US482013112003,33
1500000US482014323004,33
1500000US482013134001,32
1500000US482015320014,32
1500000US482012108001,32
1500000US482014216001,32
1500000US482015315003,32
1500000US482012225012,32
1500000US482013303031,32
1500000US482012208001,32
1500000US482013138003,32
1500000US482014229001,32
1500000US482012213004,32
1500000US482014514021,32
1500000US482013302001,32
1500000US482012311001,32
1500000US482012225033,31
1500000US482014211021,31
1500000US482012319003,31
1500000US482013139001,31
1500000US482012333003,31
1500000US482012105003,31
1500000US482014329021,31
1500000US482014335023,31
1500000US482013111004,31
1500000US482012332003,31
1500000US482014544001,31
1500000US482015318001,31
1500000US482015214004,31
1500000US482014232023,30
1500000US482012113005,30
1500000US482012215001,30
1500000US482012117003,30
1500000US482014228004,30
1500000US482015217001,30
1500000US482015323003,30
1500000US482014536023,30
1500000US482015308002,30
1500000US482014336002,30
1500000US482014223011,30
1500000US482014133001,30
1500000US482014320011,30
1500000US482013322001,30
1500000US482013335002,30
1500000US482013332022,30
1500000US482012313001,30
1500000US482012307002,30
1500000US482014335013,30
1500000US482013331002,29
1500000US482013136003,29
1500000US482014510012,29
1500000US482013213001,29
1500000US482014212022,29
1500000US482015323001,29
1500000US482013101001,29
1500000US482013311003,29
1500000US482015313003,29
1500000US482012214001,29
1500000US482014519014,29
1500000US482013138004,29
1500000US482014513003,29
1500000US482012327012,29
1500000US482014524004,29
1500000US482015204001,29
1500000US482014534022,29
1500000US482013303032,29
1500000US482014225001,28
