AFFGEOID,count
1500000US131210116203,7
1500000US131210114271,4
1500000US131210116222,4
1500000US131210116261,4
1500000US131210116201,3
1500000US131210116253,3
1500000US131210114242,3
1500000US131210116221,3
1500000US131210116173,3
1500000US131210116231,2
1500000US131210116131,2
1500000US131210116232,2
1500000US131210114272,2
1500000US131210114143,1
1500000US131210116172,1
1500000US131210116121,1
1500000US131210114273,1
1500000US131210114253,1
1500000US131210116234,1
1500000US131210114241,1
1500000US131210116223,1
1500000US131210116122,1
1500000US131171306082,1
