,AFFGEOID,count_x,count_y,count_1,count_2,count
0,1500000US060372077101,231,220,180,179,99
1,1500000US060372260021,182,184,195,163,131
2,1500000US060372063003,162,159,148,169,54
3,1500000US060371907001,156,126,140,104,81
4,1500000US060372063001,148,170,144,154,160
5,1500000US060372073012,140,129,155,140,75
6,1500000US060372088011,134,162,154,143,104
7,1500000US060372063002,130,145,151,131,58
8,1500000US060371901002,114,119,58,63,46
9,1500000US060372325001,106,95,73,64,85
10,1500000US060372062002,89,90,95,73,55
11,1500000US060372075021,78,61,31,62,28
12,1500000US060372094022,77,71,76,82,35
13,1500000US060372079001,72,80,56,61,62
14,1500000US060371902011,70,74,72,61,52
15,1500000US060372073022,69,91,68,92,54
16,1500000US060372327001,69,88,59,80,47
17,1500000US060372060312,66,78,72,74,56
18,1500000US060372062001,61,95,80,73,43
19,1500000US060372312202,60,50,39,50,58
20,1500000US060372111202,59,51,45,42,44
21,1500000US060372313003,58,53,63,51,61
22,1500000US060372735022,58,37,50,58,42
23,1500000US060372383203,58,48,40,37,29
24,1500000US060371901003,57,74,54,60,31
25,1500000US060372317202,55,45,58,41,29
26,1500000US060372402002,53,46,35,41,40
27,1500000US060372326001,52,48,46,60,60
28,1500000US060372197003,50,60,65,56,32
29,1500000US060371910001,50,39,32,28,36
30,1500000US060372423001,48,46,38,32,23
31,1500000US060372240201,47,39,33,29,44
32,1500000US060371912011,47,51,29,27,31
33,1500000US060372240101,46,51,38,39,24
34,1500000US060372966001,46,35,38,36,32
35,1500000US060372260011,46,40,37,50,30
36,1500000US060372406003,45,53,40,36,23
37,1500000US060372402003,45,20,32,24,20
38,1500000US060372227001,44,31,34,18,22
39,1500000US060372403001,44,52,62,49,22
40,1500000US060372371011,44,55,51,28,52
41,1500000US060372361001,44,42,41,52,34
42,1500000US060372071021,44,55,54,37,25
43,1500000US060372073021,44,48,44,44,34
44,1500000US060372324001,44,42,47,48,44
45,1500000US060372397021,43,39,42,54,22
46,1500000US060372051202,43,28,30,26,18
47,1500000US060372060201,43,33,20,16,10
48,1500000US060372347003,43,49,59,48,25
49,1500000US060372092001,42,36,31,36,32
50,1500000US060372400203,42,30,20,28,16
51,1500000US060372361004,42,38,42,69,38
52,1500000US060372088022,41,42,39,35,29
53,1500000US060379800281,41,46,45,31,33
54,1500000US060372260012,41,36,26,25,23
55,1500000US060372383101,41,34,30,22,32
56,1500000US060372352021,40,49,58,62,46
57,1500000US060372393101,40,59,43,48,27
58,1500000US060372405004,40,34,25,30,37
59,1500000US060372384002,40,37,52,35,20
60,1500000US060372079002,40,35,30,35,25
61,1500000US060372319001,40,61,51,30,35
62,1500000US060372383202,40,39,39,24,17
63,1500000US060372376004,39,42,48,30,34
64,1500000US060372220012,39,30,21,24,13
65,1500000US060372311002,39,41,29,30,19
66,1500000US060372405002,39,50,34,42,31
67,1500000US060372181101,38,19,14,16,9
68,1500000US060372294101,38,24,20,26,27
69,1500000US060372427005,38,56,35,32,49
70,1500000US060371201041,38,47,54,39,47
71,1500000US060372383102,38,47,32,51,34
72,1500000US060372397024,37,28,34,39,41
73,1500000US060371278061,37,32,31,21,17
74,1500000US060372412022,37,28,30,46,42
75,1500000US060372426002,37,43,27,48,50
76,1500000US060372372024,37,23,32,24,20
77,1500000US060371909012,36,38,34,31,36
78,1500000US060372411202,36,45,30,29,22
79,1500000US060372412021,36,34,21,24,15
80,1500000US060372321203,36,47,41,40,30
81,1500000US060372219001,36,17,14,11,3
82,1500000US060372346002,35,37,20,24,23
83,1500000US060372315001,35,22,23,30,41
84,1500000US060372317103,35,35,31,42,40
85,1500000US060372294102,34,21,29,26,27
86,1500000US060371175201,34,35,39,18,19
87,1500000US060372286001,34,36,43,40,47
88,1500000US060372314001,34,32,31,16,12
89,1500000US060372360001,34,16,17,22,23
90,1500000US060372410011,34,36,26,40,31
91,1500000US060371172011,34,32,28,27,15
92,1500000US060371905101,34,30,48,29,28
93,1500000US060372406002,34,35,36,22,49
94,1500000US060372381002,34,28,25,32,27
95,1500000US060371945002,34,32,25,23,16
96,1500000US060372033001,33,41,37,28,16
97,1500000US060372409004,33,44,33,38,35
98,1500000US060372094031,33,30,16,37,24
99,1500000US060372362031,33,34,36,27,54
100,1500000US060372089022,33,43,33,52,30
101,1500000US060372345012,33,45,47,24,13
102,1500000US060372403002,33,29,40,34,33
103,1500000US060371345202,33,22,29,23,21
104,1500000US060372292002,33,41,34,32,23
105,1500000US060371174081,33,27,24,22,11
106,1500000US060372260022,32,31,30,29,28
107,1500000US060379800241,32,22,18,15,11
108,1500000US060372246002,32,40,30,23,25
109,1500000US060372376001,32,33,33,28,25
110,1500000US060372392013,32,60,40,41,44
111,1500000US060371436041,32,11,9,14,1
112,1500000US060372317101,32,23,15,24,36
113,1500000US060372326003,32,50,50,29,32
114,1500000US060371908022,31,20,25,24,13
115,1500000US060372396011,31,39,31,25,13
116,1500000US060372374012,31,23,20,17,19
117,1500000US060372087202,31,27,20,16,10
118,1500000US060372074001,31,33,35,43,24
119,1500000US060372398023,30,33,48,22,15
120,1500000US060371174071,30,24,27,14,20
121,1500000US060372371022,30,42,48,32,48
122,1500000US060372383201,30,45,40,46,57
123,1500000US060372317201,30,28,31,21,18
124,1500000US060372404021,30,32,29,32,14
125,1500000US060372408003,30,25,22,20,26
126,1500000US060372321101,30,15,17,16,17
127,1500000US060372240202,30,37,30,30,17
128,1500000US060372373003,30,37,33,35,36
129,1500000US060372409003,29,36,20,15,35
130,1500000US060372091022,29,25,29,25,15
131,1500000US060372426001,29,23,28,30,34
132,1500000US060371908011,29,20,19,24,23
133,1500000US060372083023,29,24,18,27,22
134,1500000US060372318002,29,21,31,32,14
135,1500000US060371394011,29,21,17,20,11
136,1500000US060372133201,29,24,15,19,16
137,1500000US060371926202,29,16,13,13,22
138,1500000US060372426003,29,36,27,44,20
139,1500000US060372431002,29,55,33,23,27
140,1500000US060372181102,29,13,13,7,8
141,1500000US060372395022,29,34,33,22,22
142,1500000US060372311001,29,26,35,13,20
143,1500000US060372319002,29,50,34,42,22
144,1500000US060372377102,29,44,55,38,27
145,1500000US060372286002,29,33,51,45,28
146,1500000US060371919012,28,29,41,46,28
147,1500000US060372392021,28,60,33,30,34
148,1500000US060371271022,28,17,17,30,18
149,1500000US060372328002,28,40,34,21,16
150,1500000US060372125021,28,24,26,28,30
151,1500000US060372145012,28,23,21,26,17
152,1500000US060372200002,28,28,18,19,21
153,1500000US060372427003,28,30,46,21,21
154,1500000US060371908012,28,30,23,17,20
155,1500000US060372060501,28,23,28,21,10
156,1500000US060372183001,27,16,18,19,28
157,1500000US060372404012,27,35,22,16,13
158,1500000US060371992012,27,19,27,18,8
159,1500000US060372404013,27,29,27,25,29
160,1500000US060371253201,27,41,25,34,21
161,1500000US060372060311,27,30,9,18,18
