AFFGEOID,count
1500000US240317038001,70
1500000US240317025001,34
1500000US240317007132,30
1500000US240317003092,29
1500000US240317025004,24
1500000US240317032011,19
1500000US240317008173,18
1500000US240317015092,18
1500000US240317032151,15
1500000US240317008161,15
1500000US240317007231,14
1500000US240317031001,14
1500000US240317003091,14
1500000US240317011012,14
1500000US240317007191,13
1500000US240317015052,13
1500000US240317021011,13
1500000US240317007193,13
1500000US240317008182,13
1500000US240317014233,12
1500000US240317012191,12
1500000US240317009012,12
1500000US240317015093,11
1500000US240317015083,11
1500000US240317015033,11
1500000US240317019001,11
1500000US240317023021,10
1500000US240317007061,10
1500000US240317006131,10
1500000US240317020003,10
1500000US240317008331,10
1500000US240317024023,9
1500000US240317008103,9
1500000US240317039022,9
1500000US240317007173,9
1500000US240317014211,9
1500000US240317008321,9
1500000US240317017033,9
1500000US240317008134,8
1500000US240317009041,8
1500000US240317003101,8
1500000US240317007241,8
1500000US240317009011,8
1500000US240317014222,8
1500000US240317014221,8
1500000US240317016011,8
1500000US240317007162,8
1500000US240317060122,8
1500000US240317007133,8
1500000US240317032124,8
1500000US240317012111,8
1500000US240317017042,7
1500000US240317002051,7
1500000US240317023011,7
1500000US240317013081,7
1500000US240317032162,7
1500000US240317027001,7
1500000US240317008102,7
1500000US240317007232,7
1500000US240317040003,7
1500000US240317008221,7
1500000US240317001051,7
1500000US240317031004,7
1500000US240317021014,7
1500000US240317033021,7
1500000US240317019002,6
1500000US240317007101,6
1500000US240317008152,6
1500000US240317007152,6
1500000US240317032133,6
1500000US240317032141,6
1500000US240317007042,6
1500000US240317032142,6
1500000US240317014181,6
1500000US240317007221,6
1500000US240317007104,6
1500000US240317003103,6
1500000US240317014172,6
1500000US240317017041,6
1500000US240317007212,6
1500000US240317008191,6
1500000US240317036011,6
1500000US240317006143,6
1500000US240317017031,6
1500000US240317009031,6
1500000US240317007181,6
1500000US240317026014,5
1500000US240317020002,5
1500000US240317012183,5
1500000US240317008132,5
1500000US240317007171,5
1500000US240317014101,5
1500000US240317032071,5
1500000US240317009022,5
1500000US240317032092,5
1500000US240317029004,5
1500000US240317035014,5
1500000US240317008352,5
1500000US240317013152,5
1500000US240317007222,5
1500000US240317015034,5
1500000US240317008301,5
1500000US240317011014,5
1500000US240317007172,5
1500000US240317023012,5
1500000US240317003123,5
1500000US240317009021,5
1500000US240317014093,5
1500000US240317006141,5
1500000US240317024022,5
1500000US240317020001,5
1500000US240317006132,5
1500000US240317017012,4
1500000US240317008131,4
1500000US240317012112,4
1500000US240317008332,4
1500000US240317003084,4
1500000US240317003083,4
1500000US240317007211,4
1500000US240317014203,4
1500000US240317048041,4
1500000US240317003121,4
