AFFGEOID,count
1500000US220710134003,61
1500000US220710017511,56
1500000US220710017204,44
1500000US220710071012,39
1500000US220710134002,35
1500000US220710017463,35
1500000US220710086001,32
1500000US220710134001,30
1500000US220710017363,30
1500000US220710017402,28
1500000US220710135011,28
1500000US220710017512,26
1500000US220710134004,26
1500000US220710006042,26
1500000US220710017523,26
1500000US220710017403,25
1500000US220710017442,24
1500000US220710039002,24
1500000US220710017502,23
1500000US220710017203,23
1500000US220710017471,23
1500000US220710135022,22
1500000US220710049001,22
1500000US220710017472,21
1500000US220710040002,21
1500000US220710029001,21
1500000US220710135021,20
1500000US220710014011,20
1500000US220710028001,19
1500000US220710140002,19
1500000US220710034002,19
1500000US220710023001,18
1500000US220710094001,18
1500000US220710023002,18
1500000US220710015002,17
1500000US220710137021,17
1500000US220710017451,17
1500000US220710017362,16
1500000US220710017202,15
1500000US220710017361,15
1500000US220710028002,15
1500000US220710017431,15
1500000US220710013021,14
1500000US220710022001,14
1500000US220710044012,14
1500000US220710017022,14
1500000US220710017561,13
1500000US220710017551,13
1500000US220710017531,13
1500000US220710139001,13
1500000US220710030002,13
1500000US220710076051,13
1500000US220710072002,13
1500000US220710017571,13
1500000US220710008002,13
1500000US220710009041,13
1500000US220710038002,13
1500000US220710143002,13
1500000US220710021002,12
1500000US220710137011,12
1500000US220710006201,12
1500000US220710069003,12
1500000US220710006152,12
1500000US220710017371,12
1500000US220710140003,12
1500000US220710011002,12
1500000US220710017432,12
1500000US220710009012,12
1500000US220710072001,12
1500000US220710006022,11
1500000US220710091003,11
1500000US220710017483,11
1500000US220710006192,11
1500000US220710017541,11
1500000US220710040001,11
1500000US220710102003,11
1500000US220710048002,11
1500000US220710017411,10
1500000US220710006041,10
1500000US220710143001,10
1500000US220710075023,10
1500000US220710017562,10
1500000US220710017522,10
1500000US220710085002,10
1500000US220710023003,10
1500000US220710015001,10
1500000US220710085001,10
1500000US220710049002,10
1500000US220710017443,10
1500000US220710017441,10
1500000US220710017462,10
1500000US220710004002,10
1500000US220710014023,9
1500000US220710094002,9
1500000US220710075011,9
1500000US220710017542,9
1500000US220710092002,9
1500000US220710006053,9
1500000US220710006043,9
1500000US220710031002,9
1500000US220710017482,9
1500000US220710013011,9
1500000US220710006112,9
1500000US220710007011,9
1500000US220710006023,9
1500000US220710140001,9
1500000US220710017582,9
1500000US220710033032,8
1500000US220710020002,8
1500000US220710033082,8
1500000US220710092001,8
1500000US220710030001,8
1500000US220710019003,8
1500000US220710017492,8
1500000US220710027001,8
1500000US220710017392,8
1500000US220710006012,8
1500000US220710037021,8
1500000US220710137012,8
1500000US220710065001,8
1500000US220710003001,8
1500000US220710006171,8
1500000US220710006021,8
1500000US220710050002,8
1500000US220710011001,8
1500000US220710060002,8
1500000US220710137023,8
1500000US220710017234,8
1500000US220710024022,8
1500000US220710017503,8
1500000US220710006202,8
1500000US220710019001,7
1500000US220710075022,7
1500000US220710036002,7
1500000US220710013012,7
1500000US220710009042,7
1500000US220710006032,7
1500000US220710006151,7
1500000US220710017243,7
1500000US220710044021,7
1500000US220710100001,7
1500000US220710017244,7
1500000US220710138002,7
1500000US220710136001,7
1500000US220710034001,7
1500000US220710017521,7
1500000US220710017461,7
1500000US220710017533,7
1500000US220710138001,7
1500000US220710006051,7
1500000US220710033081,7
1500000US220710035002,7
1500000US220710086002,6
1500000US220710072003,6
1500000US220710026001,6
1500000US220710031001,6
1500000US220710029002,6
1500000US220710009031,6
1500000US220710103002,6
1500000US220710036001,6
1500000US220710017391,6
1500000US220710103001,6
1500000US220710012003,6
1500000US220710006153,6
1500000US220710063003,6
1500000US220710018001,6
1500000US220710017581,6
1500000US220710084001,6
1500000US220710007012,6
1500000US220710050001,6
1500000US220710077003,6
1500000US220710017012,6
1500000US220710006031,6
1500000US220710039001,6
1500000US220710002001,6
1500000US220710024021,6
1500000US220710033072,6
1500000US220710075013,6
1500000US220710063001,6
1500000US220710033021,6
1500000US220710026002,6
1500000US220710044022,5
1500000US220710111001,5
1500000US220710017242,5
1500000US220710041001,5
1500000US220710017552,5
1500000US220710055002,5
1500000US220710017021,5
1500000US220710044011,5
1500000US220710109004,5
1500000US220710017201,5
1500000US220710084002,5
1500000US220710065002,5
1500000US220710142001,5
1500000US220710013013,5
1500000US220710006111,5
1500000US220710069002,5
1500000US220710069001,5
1500000US220710135012,5
1500000US220710025043,5
1500000US220710009021,5
1500000US220710025012,5
1500000US220710139002,5
1500000US220710065003,5
1500000US220710101002,5
1500000US220710024023,5
1500000US220710017231,5
1500000US220710054001,5
1500000US220710045001,5
1500000US220710129001,4
1500000US220710025011,4
1500000US220710141011,4
1500000US220710006172,4
1500000US220710012001,4
1500000US220710014022,4
1500000US220710008001,4
1500000US220710017484,4
1500000US220710132003,4
1500000US220710082002,4
1500000US220710009032,4
1500000US220710137013,4
1500000US220710137022,4
1500000US220710103003,4
1500000US220710025031,4
