AFFGEOID,count
1500000US360471164001,485
1500000US360470363001,320
1500000US360050039003,312
1500000US360810871002,311
1500000US360050424001,310
1500000US360050046001,249
1500000US360810460003,247
1500000US360050425003,240
1500000US360050381003,228
1500000US360850007004,227
1500000US360470824003,227
1500000US360050221013,217
1500000US360810334021,215
1500000US360810560001,204
1500000US360050165001,200
1500000US360050089002,198
1500000US360810465002,187
1500000US360050141003,186
1500000US360470263001,172
1500000US360470307003,168
1500000US360810351001,165
1500000US360470309002,160
1500000US360811010014,157
1500000US360810125001,156
1500000US360470433002,155
1500000US360470354002,151
1500000US360610196002,150
1500000US360470511001,146
1500000US360050296002,139
1500000US360470331003,139
1500000US360470584002,138
1500000US360470397003,133
1500000US360810112002,130
1500000US360470480001,130
1500000US360050093006,128
1500000US360470101003,128
1500000US360610061003,124
1500000US360811227022,121
1500000US360610228003,117
1500000US360610166002,116
1500000US360810711002,115
1500000US360810581001,115
1500000US360050127012,115
1500000US360610271003,110
1500000US360471098002,109
1500000US360610253003,108
1500000US360610012001,105
1500000US360470015001,103
1500000US360810122001,102
1500000US360610029001,99
1500000US360050166001,93
1500000US360610257001,91
1500000US360610064002,90
1500000US360610073001,86
1500000US360470205003,84
1500000US360050287001,79
1500000US360470282002,79
1500000US360610139004,78
1500000US360610031001,77
1500000US360470740001,77
1500000US360470041001,76
1500000US360470233002,75
1500000US360850303012,74
1500000US360610120001,72
1500000US360610111001,71
1500000US360610219004,70
1500000US360470242001,67
1500000US360610182002,67
1500000US360470350002,65
1500000US360610087005,65
1500000US360610038005,65
1500000US360610189006,62
1500000US360810942022,57
1500000US360610235013,56
1500000US360810007004,56
1500000US360470808001,56
1500000US360470063001,56
1500000US360470037001,54
1500000US360470070001,53
1500000US360050229011,52
1500000US360050183021,52
1500000US360470561003,51
1500000US360610033003,50
1500000US360610101001,49
1500000US360610196003,46
1500000US360470129021,45
1500000US360050220001,44
1500000US360610029003,43
1500000US360610169004,42
1500000US360610240001,41
1500000US360610115001,40
1500000US360470011001,39
1500000US360810757011,38
1500000US360610100002,36
1500000US360811471002,35
1500000US360850112021,34
1500000US360471164002,32
1500000US360810713052,32
1500000US360610196001,31
1500000US360050065004,31
1500000US360050071002,30
1500000US360050284001,29
1500000US360050065002,29
1500000US360050420002,26
1500000US360810216001,25
1500000US360470924001,25
1500000US360610066008,24
1500000US360610133005,24
1500000US360050221011,24
1500000US360470285021,23
1500000US360050185001,22
1500000US360810443023,21
1500000US360471134001,21
1500000US360050381006,21
1500000US360610143001,21
1500000US360470326005,21
1500000US360610194004,21
1500000US360850003002,21
1500000US360610092001,21
