AFFGEOID,count
1500000US060014061001,121
1500000US060014031001,116
1500000US060014028002,96
1500000US060014060001,89
1500000US060014030001,87
1500000US060014073002,87
1500000US060014030002,78
1500000US060014089002,72
1500000US060014014003,68
1500000US060014029001,67
1500000US060014090001,59
1500000US060014086001,59
1500000US060014013002,56
1500000US060014089001,55
1500000US060014088004,54
1500000US060014095001,51
1500000US060014014002,49
1500000US060014061004,49
1500000US060014060003,48
1500000US060014093001,47
1500000US060014105001,47
1500000US060014072004,46
1500000US060014101002,45
1500000US060014059011,44
1500000US060014062022,44
1500000US060014028001,43
1500000US060014073001,43
1500000US060014065003,40
1500000US060014016001,40
1500000US060019832001,40
1500000US060014095002,39
1500000US060014088002,38
1500000US060014096004,37
1500000US060014059022,37
1500000US060014018002,36
1500000US060014017001,36
1500000US060014086003,36
1500000US060014061002,35
1500000US060014085002,35
1500000US060014090002,35
1500000US060014027002,35
1500000US060014034001,34
1500000US060014096001,34
1500000US060014037022,34
1500000US060014066021,33
1500000US060014075001,33
1500000US060014097002,33
1500000US060014062023,33
1500000US060014098002,32
1500000US060014057003,32
1500000US060014090003,32
1500000US060014072001,32
1500000US060014025001,31
1500000US060014087002,31
1500000US060014022001,31
1500000US060014088001,30
1500000US060014074002,30
1500000US060014093003,30
1500000US060014094002,30
1500000US060014033001,29
1500000US060014070002,29
1500000US060014075002,29
1500000US060014033002,29
1500000US060014022002,29
1500000US060014083005,29
1500000US060014094001,28
1500000US060014062014,28
1500000US060014087004,28
1500000US060014104003,28
1500000US060014103001,28
1500000US060014075003,28
1500000US060014096005,28
1500000US060014017002,28
1500000US060014094003,27
1500000US060014022003,27
1500000US060014059021,27
1500000US060014074003,26
1500000US060014084001,26
1500000US060014066012,26
1500000US060014053021,25
1500000US060014018001,25
1500000US060014103002,25
1500000US060014072002,25
1500000US060014034002,25
1500000US060014054021,25
1500000US060014014001,24
1500000US060014054013,24
1500000US060014082003,24
1500000US060014015002,24
1500000US060014035012,24
1500000US060014025002,23
1500000US060014015001,23
1500000US060014060002,23
1500000US060014093002,23
1500000US060014013003,22
1500000US060014103003,22
1500000US060014070005,22
1500000US060014013001,22
1500000US060014085005,21
1500000US060014087003,21
1500000US060014054011,20
1500000US060014063001,20
1500000US060014079003,20
1500000US060014072003,20
1500000US060014071011,20
1500000US060014096002,20
1500000US060014056003,19
1500000US060014087006,19
1500000US060014041012,19
1500000US060014080002,19
1500000US060014064002,19
1500000US060014097004,19
1500000US060014091001,18
1500000US060014102001,18
1500000US060014010004,18
1500000US060014076004,18
1500000US060014048001,18
1500000US060014010005,18
1500000US060014081002,17
1500000US060014077004,17
1500000US060014102003,17
1500000US060014085004,17
1500000US060014088003,17
1500000US060014011001,17
1500000US060014069003,17
1500000US060014038003,16
1500000US060014011004,16
1500000US060014055002,16
1500000US060014059012,16
1500000US060014087001,16
1500000US060014016002,16
1500000US060014037011,16
1500000US060014026001,16
1500000US060014071024,16
1500000US060014085003,16
1500000US060014003002,15
1500000US060014035011,15
1500000US060014048002,15
1500000US060014095003,15
1500000US060014097003,15
1500000US060014062012,15
1500000US060014040002,15
1500000US060014074001,15
1500000US060014061003,15
1500000US060014027001,14
1500000US060014007004,14
1500000US060014062021,14
1500000US060014041022,14
1500000US060014063002,14
1500000US060014054012,14
1500000US060014035013,14
1500000US060014024002,14
1500000US060014010002,14
1500000US060014071021,14
1500000US060014045024,14
1500000US060014008001,14
1500000US060014055003,14
1500000US060014039002,14
1500000US060014036001,14
1500000US060014085001,14
1500000US060014084003,13
1500000US060014086002,13
1500000US060014076003,13
1500000US060014062013,13
1500000US060014097001,13
1500000US060014037021,13
1500000US060014057001,13
1500000US060014053022,13
1500000US060014070001,13
1500000US060014087005,13
1500000US060014058003,13
1500000US060014042003,13
1500000US060014054022,12
1500000US060014059013,12
1500000US060014066014,12
1500000US060014063003,12
1500000US060014009002,12
1500000US060014071012,12
1500000US060014082002,12
1500000US060014086004,12
1500000US060014008003,12
1500000US060014010006,11
1500000US060014083004,11
1500000US060014064001,11
1500000US060014010003,11
1500000US060014076001,11
1500000US060014062011,11
1500000US060014101001,11
1500000US060014083001,11
1500000US060014050003,11
1500000US060014007003,10
1500000US060014104001,10
1500000US060014076005,10
1500000US060014053012,10
1500000US060014052004,10
1500000US060014049002,10
1500000US060014070003,10
1500000US060014092001,10
1500000US060014070004,10
1500000US060014077001,10
1500000US060014010001,10
1500000US060014046004,10
1500000US060014058002,10
1500000US060014065002,9
1500000US060014066011,9
1500000US060014091002,9
1500000US060014065001,9
1500000US060014006002,9
1500000US060014053011,9
1500000US060014076002,9
1500000US060014077003,9
1500000US060014024001,9
1500000US060014055004,9
1500000US060014056002,9
1500000US060014007001,9
1500000US060014012003,9
1500000US060014005001,8
1500000US060014037012,8
1500000US060014036003,8
1500000US060014084002,8
1500000US060014067003,8
1500000US060014038004,8
1500000US060014004003,8
1500000US060014100002,8
1500000US060019820001,8
1500000US060014071023,8
1500000US060014002002,8
1500000US060014096003,8
1500000US060014092002,8
1500000US060014104002,8
1500000US060014063004,8
1500000US060014066013,7
1500000US060014093004,7
1500000US060014009001,7
1500000US060014034004,7
1500000US060014039003,7
1500000US060014098001,7
1500000US060014068004,7
1500000US060014066022,7
1500000US060014011003,7
1500000US060014058001,7
1500000US060014003001,7
1500000US060014002001,7
1500000US060014008002,7
1500000US060014011002,7
1500000US060014057002,7
1500000US060014055001,6
1500000US060014078003,6
1500000US060014082001,6
1500000US060014098003,6
1500000US060014052003,6
1500000US060014034003,6
1500000US060014039001,5
1500000US060014081001,5
1500000US060014040001,5
1500000US060014012002,5
1500000US060014003004,5
1500000US060014083002,5
1500000US060014071022,5
1500000US060014043003,5
1500000US060014049003,5
1500000US060014006001,5
1500000US060014049004,5
1500000US060014041011,5
1500000US060014015003,5
1500000US060014058004,5
1500000US060014004002,4
1500000US060014056001,4
1500000US060014052001,4
1500000US060014045011,4
1500000US060014004001,4
1500000US060014007002,4
1500000US060014044002,4
1500000US060014045023,4
1500000US060014102002,4
1500000US060014078002,4
1500000US060014065004,4
1500000US060014052002,4
1500000US060014036002,3
1500000US060014100003,3
1500000US060014050001,3
1500000US060014035021,3
1500000US060019819001,3
1500000US060014077002,3
1500000US060014079001,3
1500000US060014067005,3
1500000US060014041021,3
1500000US060014044003,3
1500000US060014001001,3
1500000US060014080001,3
1500000US060014301021,3
1500000US060014038002,3
1500000US060014251042,2
1500000US060014012001,2
1500000US060014045022,2
1500000US060014005003,2
1500000US060014035022,2
1500000US060014251011,2
1500000US060014238002,2
1500000US060014099003,2
1500000US060014239012,2
1500000US060014099002,2
1500000US060014271001,2
1500000US060014046003,2
1500000US060014043002,2
1500000US060014051001,2
1500000US060014099004,2
1500000US060014047002,2
1500000US061110054031,2
1500000US060014068002,2
1500000US060014017003,2
1500000US060014068003,2
1500000US060014051004,2
1500000US060014351041,2
1500000US060990032023,1
1500000US060014005002,1
1500000US060014284003,1
1500000US060014044001,1
1500000US060014323001,1
1500000US060014043001,1
1500000US060014069002,1
1500000US060014099001,1
1500000US060014067001,1
1500000US060014067002,1
1500000US060014051003,1
1500000US060014042002,1
1500000US060014047001,1
1500000US060014003003,1
1500000US060014069001,1
1500000US060014501023,1
1500000US060014078001,1
1500000US060014067004,1
1500000US060133551101,1
