AFFGEOID,count
1500000US060014356011,19
1500000US060014339004,17
1500000US060014338002,17
1500000US060014339001,13
1500000US060014340003,12
1500000US060014328003,12
1500000US060014309002,12
1500000US060014358001,11
1500000US060014311002,11
1500000US060014305002,11
1500000US060014340001,11
1500000US060014354002,10
1500000US060014338003,10
1500000US060014340002,9
1500000US060014355001,9
1500000US060014359003,9
1500000US060014306002,8
1500000US060014310002,8
1500000US060014356021,8
1500000US060014364013,8
1500000US060014305001,8
1500000US060014361002,8
1500000US060014357001,7
1500000US060014356012,7
1500000US060014306003,7
1500000US060014331021,7
1500000US060014362002,6
1500000US060014337001,6
1500000US060014359002,6
1500000US060014352002,6
1500000US060014308003,6
1500000US060014360002,6
1500000US060014304002,6
1500000US060014353003,6
1500000US060014363001,5
1500000US060014364012,5
1500000US060014360003,5
1500000US060014358003,5
1500000US060014337002,5
1500000US060014301021,5
1500000US060014310001,5
1500000US060014306004,5
1500000US060014307002,5
1500000US060014309001,5
1500000US060014338004,5
1500000US060014359001,5
1500000US060014356022,4
1500000US060014308004,4
1500000US060014356023,4
1500000US060014312001,4
1500000US060014362001,4
1500000US060014304001,4
1500000US060014338001,4
1500000US060014361003,4
1500000US060014356024,4
1500000US060014302002,4
1500000US060014364011,3
1500000US060014303003,3
1500000US060014358002,3
1500000US060014351032,3
1500000US060014302003,3
1500000US060014312003,3
1500000US060014337003,3
1500000US060014361001,3
1500000US060014355002,3
1500000US060014307003,2
1500000US060014339002,2
1500000US060014364021,2
1500000US060014357003,2
1500000US060014312002,2
1500000US060014511013,2
1500000US060014302001,2
1500000US060014355003,2
1500000US060014311001,2
1500000US060014358004,2
1500000US060014352001,2
1500000US060014301013,2
1500000US060014511011,2
1500000US060014369004,1
1500000US060014353002,1
1500000US060014364014,1
1500000US060014357002,1
1500000US060014303002,1
1500000US060014359004,1
1500000US060014305003,1
1500000US060014369001,1
1500000US060014303001,1
1500000US060014516012,1
1500000US060014073002,1
1500000US060014363002,1
1500000US060014307001,1
1500000US060014382042,1
1500000US060014360001,1
1500000US060014512021,1
1500000US060014302005,1
1500000US060014094002,1
1500000US060014353001,1
1500000US060014301011,1
1500000US060014287001,1
1500000US060014357004,1
1500000US060014072002,1
1500000US060014506011,1
1500000US060014336002,1
1500000US060014062023,1
1500000US060014339003,1
1500000US060014308002,1
1500000US060014505022,1
1500000US060014079003,1
1500000US060014069003,1
1500000US060014306001,1
1500000US060014308001,1
1500000US060014512011,1
