AFFGEOID,count
1500000US060014358001,112
1500000US060014309001,91
1500000US060014337003,76
1500000US060014310001,75
1500000US060014339001,59
1500000US060014308004,59
1500000US060014310002,58
1500000US060014338003,56
1500000US060014309002,55
1500000US060014339004,55
1500000US060014340003,53
1500000US060014328003,49
1500000US060014311002,48
1500000US060014355001,47
1500000US060014305001,44
1500000US060014301011,43
1500000US060014338004,39
1500000US060014338001,38
1500000US060014356011,36
1500000US060014338002,34
1500000US060014361002,34
1500000US060014305002,34
1500000US060014312001,32
1500000US060014306003,31
1500000US060014340001,29
1500000US060014337002,28
1500000US060014362002,27
1500000US060014307002,25
1500000US060014359001,23
1500000US060014308003,23
1500000US060014306002,23
1500000US060014301021,23
1500000US060014351032,22
1500000US060014359002,21
1500000US060014359003,21
1500000US060014356021,20
1500000US060014337001,19
1500000US060014339002,19
1500000US060014362001,18
1500000US060014357001,18
1500000US060014357004,18
1500000US060014312002,18
1500000US060014361003,17
1500000US060014340002,17
1500000US060014307003,17
1500000US060014352001,16
1500000US060014311001,16
1500000US060014312003,16
1500000US060014354002,16
1500000US060014364011,16
1500000US060014360003,15
1500000US060014364013,15
1500000US060014352002,15
1500000US060014305003,15
1500000US060014331021,15
1500000US060014358003,15
1500000US060014364021,14
1500000US060014356024,14
1500000US060014353003,14
1500000US060014356012,13
1500000US060014358002,13
1500000US060014363001,12
1500000US060014304002,12
1500000US060014360002,12
1500000US060014360001,11
1500000US060014301013,11
1500000US060014306001,11
1500000US060014356022,10
1500000US060014356023,10
1500000US060014301012,10
1500000US060014511013,10
1500000US060014306004,9
1500000US060014302002,9
1500000US060014303001,9
1500000US060014364012,9
1500000US060014302001,9
1500000US060014302003,8
1500000US060014303002,8
1500000US060014302005,8
1500000US060014511011,8
1500000US060014359004,7
1500000US060014507013,7
1500000US060014358004,7
1500000US060014339003,7
1500000US060014307001,6
1500000US060014361001,6
1500000US060014303003,6
1500000US060014505022,6
1500000US060014308001,6
1500000US060014304001,6
1500000US060014357003,6
1500000US060014355002,6
1500000US060014369004,6
1500000US060014357002,5
1500000US060014512011,5
1500000US060014355003,5
1500000US060014353001,4
1500000US060014515012,4
1500000US060014351031,4
1500000US060014302004,4
1500000US060014369001,4
1500000US060019832001,4
1500000US060014512021,4
1500000US060014506012,4
1500000US060014367002,4
1500000US060014034001,3
1500000US060014308002,3
1500000US060014511015,2
1500000US060014511014,2
1500000US060014336002,2
1500000US060014353002,2
1500000US060014507012,2
1500000US060014090002,2
1500000US060014506011,2
1500000US060014351033,2
1500000US060014067003,1
1500000US060014335004,1
1500000US060014029001,1
1500000US060014073002,1
1500000US060014363004,1
1500000US060014363002,1
1500000US060014382042,1
1500000US060014511021,1
1500000US060014516012,1
1500000US060014083004,1
1500000US060014094002,1
1500000US060014079003,1
1500000US060014322003,1
1500000US060014371011,1
1500000US060014072002,1
1500000US060014501023,1
1500000US060014364014,1
1500000US060014093003,1
1500000US060014069003,1
1500000US060014287001,1
1500000US060014062023,1
1500000US060014507521,1
