AFFGEOID,count
1500000US484530011011,885
1500000US484530011032,575
1500000US484530324001,515
1500000US484530403003,426
1500000US484530021054,424
1500000US484530454003,415
1500000US484530019113,409
1500000US484530009024,385
1500000US484530003093,343
1500000US484530023043,319
1500000US484910203341,314
1500000US484530024371,307
1500000US484530421003,303
1500000US484530023222,294
1500000US484530011031,292
1500000US484530454002,291
1500000US484530401001,289
1500000US484530011012,286
1500000US484530019103,280
1500000US484530024111,251
1500000US484530009022,251
1500000US484530439003,246
1500000US484910204081,233
1500000US484530308002,226
1500000US484530015034,216
1500000US484910203113,206
1500000US484530440002,205
1500000US484530321001,200
1500000US484530003021,198
1500000US484530025002,185
1500000US484530007001,179
1500000US484530024031,178
1500000US484539800001,177
1500000US484530412001,175
1500000US484530013122,175
1500000US484530020043,174
1500000US484530400001,173
1500000US484530405001,172
1500000US484530434002,172
1500000US484530024372,168
1500000US484530008011,166
1500000US484530013111,165
1500000US484530410002,165
1500000US484530011022,164
1500000US484530453002,161
1500000US484530407003,161
1500000US484530023201,156
1500000US484530012005,151
1500000US484530003081,151
1500000US484530023041,148
1500000US484530024411,146
1500000US484530024431,144
1500000US484530024222,141
1500000US484530024512,140
1500000US484910204062,138
1500000US484530023161,137
1500000US484530015011,136
1500000US484530013103,132
1500000US484530402001,132
1500000US484530023221,131
1500000US484530021052,129
1500000US484530400003,129
1500000US484530012004,128
1500000US484530325002,128
1500000US484530439002,128
1500000US484530409001,127
1500000US484530407004,127
1500000US484530013091,125
1500000US484530009012,124
1500000US484530021082,124
1500000US484530019151,123
1500000US484530442001,122
1500000US484530410001,121
1500000US484530406003,120
1500000US484530406001,120
1500000US484530403004,119
1500000US484530013081,116
1500000US484530416003,115
1500000US484530015031,115
1500000US484530021112,115
1500000US484530023131,114
1500000US484530024191,114
1500000US484530015041,113
1500000US484530024511,113
1500000US484530020032,112
1500000US484530024472,112
1500000US484530021081,111
1500000US484910204054,111
1500000US484530021102,111
1500000US484530303001,111
1500000US484530023152,110
1500000US484530416002,110
1500000US484530405002,110
1500000US484530002063,110
1500000US484530432002,109
1500000US484530023074,109
1500000US484530023241,109
1500000US484530407002,108
1500000US484530024481,107
1500000US484530408003,106
1500000US484530432003,105
1500000US484530401002,103
1500000US484530024483,103
1500000US484530003071,102
1500000US484530325003,101
1500000US484530020021,101
1500000US484530431001,100
1500000US484530019221,100
1500000US484530422001,100
1500000US484530400002,100
1500000US484530023272,98
1500000US484530003041,98
1500000US484530011021,97
1500000US484530023132,97
1500000US484530013082,96
1500000US484530002041,96
1500000US484530023144,94
1500000US484530011023,94
1500000US484530020031,94
1500000US484910204032,93
1500000US484530404002,92
1500000US484530465002,92
1500000US484530024101,92
1500000US484530434001,92
1500000US484530009023,92
1500000US484530441001,92
1500000US484530021074,92
1500000US484530023163,91
1500000US484530405003,90
1500000US484530023072,90
1500000US484530436002,86
1500000US484530021051,86
1500000US484530436003,85
1500000US484530021041,85
1500000US484530006082,85
1500000US484530022222,85
1500000US484530023211,84
1500000US484530433001,84
1500000US484530014013,82
1500000US484530015052,82
1500000US484530006012,81
1500000US484530013121,80
1500000US484530015033,80
1500000US484530022201,80
1500000US484530006011,79
1500000US484530435001,79
1500000US484530022011,79
1500000US484530318004,79
1500000US484530023042,78
1500000US484530024432,78
1500000US484530023143,77
1500000US484530433002,77
1500000US484530402002,75
1500000US484530001021,75
1500000US484530024382,75
1500000US484530021092,75
1500000US484530013044,75
1500000US484530004012,74
1500000US484530009021,74
1500000US484530006081,74
1500000US484530312002,72
1500000US484530409003,72
1500000US484530404001,72
1500000US484910204082,72
1500000US484530023102,70
1500000US484530024443,70
1500000US484530006053,70
1500000US484530341001,69
1500000US484530008033,69
1500000US484530410004,68
1500000US484530416001,68
1500000US484530346002,68
1500000US484530013041,68
1500000US484530021061,68
1500000US484530021111,67
1500000US484530002054,67
1500000US484530024193,67
1500000US484910204063,67
1500000US484530021122,67
1500000US484530408001,66
1500000US484530024132,66
1500000US484530419002,66
1500000US484530008042,66
1500000US484530415001,66
1500000US484530024072,65
1500000US484530014011,65
1500000US484530022132,65
1500000US484910204061,65
1500000US484530023141,65
1500000US484530308004,64
1500000US484530024233,64
1500000US484530344002,64
1500000US484530421004,64
1500000US484530424001,64
1500000US484530023261,64
1500000US484530021123,64
1500000US484530021103,63
1500000US484530024242,63
1500000US484530006063,63
1500000US484530013101,63
1500000US484530020042,63
1500000US484530320002,62
1500000US484530005001,62
1500000US484530023253,62
1500000US484530022221,62
1500000US484530023213,61
1500000US484530403002,61
1500000US484530409002,60
1500000US484530418002,60
1500000US484530023252,60
1500000US484530422003,60
1500000US484530006052,60
1500000US484530321003,60
1500000US484530024442,60
1500000US484530004011,59
1500000US484530003053,58
1500000US484530002043,58
1500000US484530024433,58
1500000US484530021121,58
1500000US484530023231,58
1500000US484530325001,58
1500000US484530015054,58
1500000US484530437001,58
1500000US484530449002,58
1500000US484530013073,57
1500000US484530013102,57
1500000US484530024102,57
1500000US484530024221,57
1500000US484530021113,57
1500000US484530403001,57
1500000US484530024112,56
1500000US484530305001,56
1500000US484530414001,56
1500000US484530400004,56
1500000US484530003052,56
1500000US484530015032,56
1500000US484530021093,56
1500000US484910204102,55
1500000US484530013123,55
1500000US484530023151,55
1500000US484530451001,55
1500000US484530435003,55
1500000US484530020071,54
1500000US484530300001,54
1500000US484530023232,54
1500000US484530013071,54
1500000US484530419001,54
1500000US484530005003,54
1500000US484530019201,53
1500000US484530409004,53
1500000US484530023142,53
1500000US484530334001,53
1500000US484530013083,53
1500000US484530006051,53
1500000US484530453001,52
1500000US484530002032,52
1500000US484530023243,51
1500000US484530015053,51
1500000US484530024453,51
1500000US484530024532,51
1500000US484530327002,50
1500000US484530004021,50
1500000US484530424002,50
1500000US484530023101,50
1500000US484530024441,50
1500000US484530022141,50
1500000US484530320001,50
1500000US484530022111,50
1500000US484530404003,50
1500000US484530342003,49
1500000US484530006071,49
1500000US484530019121,49
1500000US484530008031,49
1500000US484530003092,49
1500000US484530012002,49
1500000US484530401003,49
1500000US484530015014,48
1500000US484530020061,48
1500000US484530019231,48
1500000US484530021131,48
1500000US484530317003,48
1500000US484530005002,48
1500000US484530421001,47
1500000US484530006064,47
1500000US484530024422,47
1500000US484530024402,47
1500000US484530003042,47
1500000US484530002031,46
1500000US484530431002,46
1500000US484530348002,46
1500000US484530358001,46
1500000US484530421002,46
1500000US484530023071,45
1500000US484530303002,45
1500000US484530412002,45
1500000US484530024303,45
1500000US484530023254,45
1500000US484530024073,45
1500000US484530014023,44
1500000US484530454001,44
