AFFGEOID,count
1500000US484530011011,736
1500000US484530011032,516
1500000US484530324001,501
1500000US484530019113,404
1500000US484530403003,400
1500000US484530454003,400
1500000US484530021054,361
1500000US484530009024,345
1500000US484530003093,328
1500000US484910203341,303
1500000US484530023043,297
1500000US484530421003,296
1500000US484530024371,293
1500000US484530023222,281
1500000US484530454002,278
1500000US484530011031,278
1500000US484530011012,276
1500000US484530019103,272
1500000US484530401001,264
1500000US484530009022,244
1500000US484530439003,232
1500000US484530024111,225
1500000US484530308002,221
1500000US484910204081,219
1500000US484530015034,202
1500000US484530321001,195
1500000US484530440002,195
1500000US484910203113,193
1500000US484530003021,191
1500000US484530025002,176
1500000US484539800001,173
1500000US484530020043,172
1500000US484530405001,169
1500000US484530412001,168
1500000US484530013122,166
1500000US484530024372,162
1500000US484530024031,160
1500000US484530007001,160
1500000US484530434002,159
1500000US484530453002,155
1500000US484530013111,155
1500000US484530011022,153
1500000US484530400001,153
1500000US484530008011,151
1500000US484530023041,145
1500000US484530003081,145
1500000US484530012005,140
1500000US484530024431,134
1500000US484530023201,132
1500000US484910204062,130
1500000US484530013103,129
1500000US484530024512,128
1500000US484530410002,128
1500000US484530015011,128
1500000US484530023221,127
1500000US484530024411,127
1500000US484530024222,123
1500000US484530012004,123
1500000US484530013091,122
1500000US484530325002,122
1500000US484530439002,119
1500000US484530009012,117
1500000US484530400003,116
1500000US484530019151,115
1500000US484530407003,114
1500000US484530015031,114
1500000US484530021052,113
1500000US484530023161,112
1500000US484530013081,110
1500000US484530410001,108
1500000US484910204054,106
1500000US484530409001,105
1500000US484530015041,105
1500000US484530403004,104
1500000US484530406001,103
1500000US484530407004,103
1500000US484530023131,103
1500000US484530024481,102
1500000US484530021112,102
1500000US484530024472,102
1500000US484530020032,102
1500000US484530024511,102
1500000US484530406003,102
1500000US484530405002,101
1500000US484530442001,101
1500000US484530021082,100
1500000US484530303001,100
1500000US484530416003,100
1500000US484530002063,99
1500000US484530019221,98
1500000US484530416002,96
1500000US484530024191,95
1500000US484530402001,95
1500000US484530325003,94
1500000US484530400002,94
1500000US484530003041,94
1500000US484530020021,94
1500000US484530003071,93
1500000US484530023241,93
