AFFGEOID,count
1500000US484530011011,149
1500000US484530021054,63
1500000US484530011032,59
1500000US484530407003,47
1500000US484530009024,40
1500000US484530402001,37
1500000US484530410002,37
1500000US484530021102,29
1500000US484530021074,28
1500000US484530024111,26
1500000US484530434001,26
1500000US484530021081,26
1500000US484530023074,26
1500000US484530403003,26
1500000US484530401001,25
1500000US484530023161,25
1500000US484530022222,25
1500000US484530432002,25
1500000US484530407004,24
1500000US484530023201,24
1500000US484530021082,24
1500000US484530023163,23
1500000US484530407002,22
1500000US484530432003,22
1500000US484530409001,22
1500000US484530023043,22
1500000US484530433002,21
1500000US484530023132,21
1500000US484530431001,21
1500000US484530023152,21
1500000US484530442001,21
1500000US484530023211,21
1500000US484530400001,20
1500000US484530021092,20
1500000US484530020031,20
1500000US484530007001,19
1500000US484530410004,19
1500000US484530401002,19
1500000US484530024191,19
1500000US484530024411,19
1500000US484530022011,18
1500000US484530024222,18
1500000US484530406003,18
1500000US484530024031,18
1500000US484530406001,17
1500000US484530022221,17
1500000US484530023102,16
1500000US484530023241,16
1500000US484530021052,16
1500000US484530416001,16
1500000US484530021121,16
1500000US484530003093,15
1500000US484530416003,15
1500000US484530021122,15
1500000US484530408003,15
1500000US484530454003,15
1500000US484530008011,15
1500000US484530403004,15
1500000US484530009021,15
1500000US484530024371,14
1500000US484530409004,14
1500000US484530439003,14
1500000US484530409003,14
1500000US484530416002,14
1500000US484530023252,14
1500000US484530022111,14
1500000US484530023253,14
1500000US484530011031,14
1500000US484530015034,14
1500000US484530324001,14
1500000US484530022201,14
1500000US484530024102,14
1500000US484910204081,14
1500000US484530402002,13
1500000US484530400003,13
1500000US484530454002,13
1500000US484530024412,13
1500000US484530008033,13
1500000US484530434002,13
1500000US484530023222,13
1500000US484530024113,13
1500000US484910203113,13
1500000US484530410001,13
1500000US484530021123,13
1500000US484530021112,13
1500000US484530021111,13
1500000US484530008023,13
1500000US484530024483,12
1500000US484530024512,12
1500000US484530024193,12
1500000US484530013073,12
1500000US484530024221,12
1500000US484530436003,12
1500000US484530415001,12
1500000US484530024192,12
1500000US484530020062,12
1500000US484530013121,12
1500000US484530011022,11
1500000US484530024532,11
1500000US484530024112,11
1500000US484530010001,11
1500000US484530408001,11
1500000US484910203341,11
1500000US484530023131,11
1500000US484530022012,11
1500000US484530024511,11
1500000US484530008022,11
1500000US484530303001,11
1500000US484530012005,11
1500000US484530023151,11
1500000US484530002063,11
1500000US484530023101,11
1500000US484530024382,11
1500000US484530440002,10
1500000US484530021061,10
1500000US484530011012,10
1500000US484530024431,10
1500000US484530021093,10
1500000US484530024132,10
1500000US484530433001,10
1500000US484530024123,10
1500000US484530024472,10
1500000US484530013111,10
1500000US484530431002,10
1500000US484530024131,10
1500000US484530008042,10
1500000US484530437001,10
1500000US484530449002,10
1500000US484530008031,10
1500000US484530020032,10
1500000US484530023072,10
1500000US484530013082,9
1500000US484530024101,9
1500000US484530439002,9
1500000US484530025002,9
1500000US484530023141,9
1500000US484530013122,9
1500000US484530003071,9
1500000US484530405002,9
1500000US484530321003,9
1500000US484530451001,9
1500000US484530022141,8
1500000US484530341001,8
1500000US484910204032,8
1500000US484530024421,8
1500000US484530011023,8
1500000US484530405003,8
1500000US484530024233,8
1500000US484530019151,8
1500000US484530407001,8
1500000US484530023145,8
1500000US484530024242,8
1500000US484530022132,8
1500000US484530407005,8
1500000US484530024442,8
1500000US484530024441,8
1500000US484530358001,8
1500000US484910204061,8
1500000US484530019103,8
1500000US484530015011,8
1500000US484530024392,8
1500000US484530015041,8
1500000US484530006081,8
1500000US484530019201,8
1500000US484530024443,8
1500000US484910204062,8
1500000US484910204082,8
1500000US484530410003,8
1500000US484530015033,8
1500000US484530023254,7
1500000US484530422001,7
1500000US484530023242,7
1500000US484530020021,7
1500000US484530023261,7
1500000US484530327002,7
1500000US484530024422,7
1500000US484530003021,7
1500000US484530024471,7
1500000US484530009022,7
1500000US484530024122,7
1500000US484530421003,7
1500000US484530024433,7
1500000US484530023213,7
1500000US484530325003,7
1500000US484530009012,7
1500000US484530013083,7
1500000US484910204052,7
1500000US484530023231,7
1500000US484910204063,7
1500000US484530024072,7
1500000US484530412001,7
1500000US484530023212,7
1500000US484530419002,7
1500000US484530024303,7
1500000US484530023272,7
1500000US484530432001,7
1500000US484530023143,7
1500000US484530002041,6
1500000US484530012002,6
1500000US484530404002,6
1500000US484530021113,6
1500000US484530021101,6
1500000US484530346002,6
1500000US484530403001,6
1500000US484530003081,6
1500000US484530401003,6
1500000US484530023243,6
1500000US484530321002,6
1500000US484530024522,6
1500000US484530023162,6
1500000US484530004013,6
1500000US484530024133,6
1500000US484530024372,6
1500000US484530024121,6
1500000US484530015053,6
1500000US484530021041,6
1500000US484530013071,6
1500000US484530013081,6
1500000US484530021053,6
1500000US484530002043,6
1500000US484530006062,6
1500000US484530023233,6
1500000US484530451002,6
1500000US484530325002,6
1500000US484530400002,6
1500000US484530424002,6
1500000US484530008041,6
1500000US484530453002,6
1500000US484910204054,5
1500000US484530024073,5
1500000US484530431003,5
1500000US484530441001,5
1500000US484530004022,5
1500000US484530004023,5
1500000US484530004011,5
1500000US484530021132,5
1500000US484530011021,5
1500000US484530438001,5
1500000US484530024481,5
1500000US484530024453,5
1500000US484530024491,5
1500000US484530318003,5
1500000US484530014032,5
1500000US484530019113,5
1500000US484530318004,5
1500000US484530310003,5
1500000US484530006082,5
1500000US484530003092,5
1500000US484530005001,5
1500000US484530435001,5
1500000US484530024401,5
1500000US484530346001,5
1500000US484530002031,5
1500000US484530024482,5
1500000US484530021131,5
1500000US484530006053,5
1500000US484530308002,5
1500000US484530436002,5
1500000US484530321001,5
1500000US484530020061,5
1500000US484530021091,5
1500000US484530020072,5
1500000US484530024032,5
1500000US484530022131,5
1500000US484530012004,5
1500000US484530015054,5
1500000US484530316002,5
1500000US484530023271,4
1500000US484530023071,4
1500000US484530009011,4
1500000US484530411002,4
1500000US484530014031,4
1500000US484530024432,4
1500000US484530024223,4
1500000US484530013041,4
1500000US484530003053,4
1500000US484530010002,4
1500000US484530004012,4
1500000US484530021071,4
1500000US484530409002,4
1500000US484530417001,4
1500000US484530004021,4
1500000US484539800001,4
1500000US484530303002,4
1500000US484530013123,4
1500000US484530021051,4
1500000US484530421002,4
1500000US484530023073,4
1500000US484530003041,4
1500000US484530408002,4
1500000US484530022143,4
1500000US484530014013,4
1500000US484530002032,4
1500000US484530019112,4
1500000US484530024402,4
1500000US484530023232,4
1500000US484530021062,4
