AFFGEOID,count
1500000US250250106001,397
1500000US250250303003,335
1500000US250250801001,286
1500000US250250701012,260
1500000US250250303002,237
1500000US250250712012,222
1500000US250250806013,216
1500000US250250107021,212
1500000US250250701013,183
1500000US250250921014,177
1500000US250251001005,174
1500000US250250907004,165
1500000US250250804011,149
1500000US250250606001,145
1500000US250250701018,143
1500000US250250006012,132
1500000US250250711012,129
1500000US250250107013,128
1500000US250250702003,123
1500000US250250203032,117
1500000US250250612001,117
1500000US250250106002,117
1500000US250250107023,111
1500000US250251203014,103
1500000US250251403002,100
1500000US250250704021,99
1500000US250250105001,98
1500000US250259817001,96
1500000US250251011022,94
1500000US250250712011,90
1500000US250250701011,85
1500000US250251009004,84
1500000US250250920003,80
1500000US250250813001,78
1500000US250250703001,75
1500000US250250709001,73
1500000US250250803001,73
1500000US250250001001,72
1500000US250251004001,70
1500000US250250813002,70
1500000US250251403003,69
1500000US250250104051,67
1500000US250250701015,66
1500000US250250711011,66
1500000US250250502002,66
1500000US250250102032,65
1500000US250250402001,64
1500000US250250008022,64
1500000US250250805002,64
1500000US250251103011,62
1500000US250250702001,62
1500000US250250102043,62
1500000US250250506002,62
1500000US250250920001,61
1500000US250250923002,61
1500000US250250102034,60
1500000US250250902003,58
1500000US250250303001,57
1500000US250251302001,55
1500000US250251010023,55
1500000US250250915002,55
1500000US250251005001,55
1500000US250250809003,53
1500000US250251011024,53
1500000US250250711013,52
1500000US250250922001,52
1500000US250250819001,51
1500000US250250701016,50
1500000US250250818003,50
1500000US250251001003,50
1500000US250250918001,50
1500000US250250812001,49
1500000US250250611012,48
1500000US250251010014,47
1500000US250251009002,47
1500000US250250911004,47
1500000US250250910011,47
1500000US250250814003,47
1500000US250250102033,46
1500000US250250901001,46
1500000US250250804012,46
1500000US250250924003,46
1500000US250250202003,45
1500000US250251002003,45
1500000US250250922004,45
1500000US250251202012,44
1500000US250250916003,44
1500000US250251005004,44
1500000US250250918003,43
1500000US250250503001,43
1500000US250250914001,43
1500000US250251001006,42
1500000US250251007002,42
1500000US250250008021,42
1500000US250250107012,42
1500000US250250203011,41
1500000US250251006031,40
1500000US250250903002,40
1500000US250251005005,40
1500000US250250612002,40
1500000US250250921012,40
1500000US250250304002,39
1500000US250250820001,39
1500000US250250703004,39
1500000US250250912001,39
1500000US250250906002,39
1500000US250251011021,39
1500000US250251404006,39
1500000US250250007031,38
1500000US250250921013,38
1500000US250250104041,38
1500000US250250916001,38
1500000US250250007041,37
1500000US250250917001,37
1500000US250250821001,37
1500000US250250701017,36
1500000US250250007032,35
1500000US250251005003,35
1500000US250250706002,35
1500000US250250812002,34
1500000US250250917002,34
1500000US250250916002,33
1500000US250251011012,33
1500000US250250919002,33
1500000US250251204003,33
1500000US250250705003,33
1500000US250250612003,33
1500000US250250101043,33
1500000US250251102011,33
1500000US250250705001,33
1500000US250250006021,33
1500000US250250103002,32
1500000US250250912003,32
1500000US250250705004,32
1500000US250250703003,32
1500000US250250502001,32
1500000US250251402022,31
1500000US250251010013,31
1500000US250251403005,31
1500000US250250821003,31
1500000US250250806012,31
1500000US250250806011,31
1500000US250251304041,31
1500000US250250818002,30
1500000US250251003004,30
1500000US250250813003,30
1500000US250251104012,30
1500000US250251401052,30
1500000US250250805001,30
1500000US250250007044,30
1500000US250251402011,30
1500000US250251004004,29
1500000US250250809002,29
1500000US250250921015,29
1500000US250250904003,29
1500000US250250404012,28
1500000US250250924002,28
1500000US250251101035,28
1500000US250251010016,27
1500000US250250406001,27
1500000US250250904002,27
1500000US250250708001,27
1500000US250251003001,27
1500000US250251204002,26
1500000US250250605015,26
1500000US250251403001,26
1500000US250250919001,26
1500000US250250303004,25
1500000US250250919003,25
1500000US250251002001,25
1500000US250250907003,25
1500000US250251401071,25
1500000US250250101041,25
1500000US250250706001,25
1500000US250250901003,24
1500000US250250817005,24
1500000US250250911005,24
1500000US250250817002,24
1500000US250250902001,24
1500000US250250509011,24
1500000US250251203012,24
1500000US250250810011,24
1500000US250251105022,24
1500000US250250810014,24
1500000US250250107011,24
1500000US250250913001,23
1500000US250250408013,23
1500000US250250707001,23
1500000US250250608004,23
1500000US250250105002,23
1500000US250250820003,23
1500000US250250922002,23
1500000US250250918002,23
1500000US250250402002,23
1500000US250250903001,23
1500000US250259803001,23
1500000US250251205002,23
1500000US250251206003,22
1500000US250251011023,22
1500000US250250510002,22
1500000US250250507001,22
1500000US250250902002,22
1500000US250250006023,22
1500000US250250608002,22
1500000US250250817003,22
1500000US250251204005,21
1500000US250250006022,21
1500000US250250511011,21
1500000US250250903003,21
1500000US250250912002,21
1500000US250251104011,21
1500000US250250922003,21
1500000US250251105012,21
1500000US250250709002,21
1500000US250250801002,21
1500000US250251205001,21
1500000US250250608001,21
1500000US250250923003,21
1500000US250250915001,21
1500000US250251010021,21
1500000US250250403001,20
1500000US250250924004,20
1500000US250250104032,20
1500000US250251105021,20
1500000US250250605011,20
1500000US250250901002,20
