AFFGEOID,count
1500000US250173541004,99
1500000US250173521021,87
1500000US250173530003,85
1500000US250173531011,79
1500000US250173537004,60
1500000US250173530001,57
1500000US250173524002,55
1500000US250173546004,46
1500000US250173540003,45
1500000US250173547001,43
1500000US250173534002,42
1500000US250173534001,41
1500000US250173525002,38
1500000US250173528002,37
1500000US250173548001,36
1500000US250173535002,36
1500000US250173532001,35
1500000US250173526002,32
1500000US250173537003,30
1500000US250173530004,30
1500000US250173549003,30
1500000US250173521022,28
1500000US250173523001,26
1500000US250173523002,26
1500000US250173526001,25
1500000US250173522001,25
1500000US250173533002,25
1500000US250173532003,25
1500000US250173531012,24
1500000US250173549002,22
1500000US250173525001,21
1500000US250173530002,21
1500000US250173550001,20
1500000US250173545001,20
1500000US250173531022,19
1500000US250173532002,19
1500000US250173542002,18
1500000US250173572001,17
1500000US250173521012,17
1500000US250173533003,16
1500000US250173547002,16
1500000US250173535001,15
1500000US250173538004,15
1500000US250173539001,15
1500000US250173529002,14
1500000US250173529001,14
1500000US250173539002,14
1500000US250173527002,13
1500000US250173533001,13
1500000US250173542003,13
1500000US250173521011,13
1500000US250173540001,13
1500000US250173538002,13
1500000US250173545002,12
1500000US250173537002,12
1500000US250173549001,12
1500000US250173541002,12
1500000US250173542001,12
1500000US250173546002,11
1500000US250173537005,11
1500000US250173543001,11
1500000US250173538001,11
1500000US250173546003,10
1500000US250173550002,10
1500000US250173548002,10
1500000US250173541003,10
1500000US250173543003,9
1500000US250173543002,8
1500000US250173546001,8
1500000US250173539003,8
1500000US250173536005,7
1500000US250173524001,7
1500000US250173544002,7
1500000US250173536001,6
1500000US250173550003,6
1500000US250173531021,6
1500000US250173536004,6
1500000US250173538003,6
1500000US250173577001,5
1500000US250173536002,5
1500000US250173540002,5
1500000US250173544001,5
1500000US250173567013,5
1500000US250173578003,5
1500000US250173537001,4
1500000US250173545003,4
1500000US250173528001,3
1500000US250173527001,3
1500000US250173583001,3
1500000US250173536003,3
1500000US250173509003,2
1500000US250173510003,2
1500000US250173507004,1
1500000US250173515002,1
1500000US250173510004,1
1500000US250250801001,1
1500000US250250711012,1
1500000US250250006022,1
1500000US250173703007,1
1500000US250173527003,1
1500000US250173703005,1
1500000US250173531023,1
1500000US250214007002,1
