AFFGEOID,count
1500000US250173530003,26
1500000US250173530001,16
1500000US250173531011,13
1500000US250173541004,11
1500000US250173521021,10
1500000US250173530004,8
1500000US250173528002,8
1500000US250173537003,7
1500000US250173524002,6
1500000US250173521022,6
1500000US250173525002,6
1500000US250173546004,6
1500000US250173548001,6
1500000US250173537004,6
1500000US250173534002,5
1500000US250173547001,5
1500000US250173525001,5
1500000US250173522001,5
1500000US250173532001,4
1500000US250173534001,4
1500000US250173523001,4
1500000US250173530002,4
1500000US250173535002,4
1500000US250173540003,4
1500000US250173543001,3
1500000US250173550001,3
1500000US250173531012,2
1500000US250173529002,2
1500000US250173567013,2
1500000US250173541002,2
1500000US250173537005,2
1500000US250173526002,2
1500000US250173538004,2
1500000US250173532003,2
1500000US250173540001,2
1500000US250173542001,2
1500000US250173531022,1
1500000US250173533002,1
1500000US250173546001,1
1500000US250173536005,1
1500000US250173529001,1
1500000US250173549003,1
1500000US250173531021,1
1500000US250173548002,1
1500000US250173539003,1
1500000US250173544002,1
1500000US250173546002,1
1500000US250173521012,1
1500000US250250006022,1
1500000US250173533001,1
1500000US250173521011,1
1500000US250173535001,1
1500000US250173523002,1
1500000US250173526001,1
1500000US250173550002,1
1500000US250173527002,1
1500000US250173549002,1
