AFFGEOID,count
1500000US470650114462,489
1500000US470650113214,440
1500000US470650031001,400
1500000US470650104314,323
1500000US470650104321,299
1500000US470650121004,274
1500000US470650124003,265
1500000US470650030002,252
1500000US470650023001,213
1500000US470650004001,205
1500000US470650114452,191
1500000US470650114431,183
1500000US470650109021,152
1500000US470650114432,150
1500000US470650026002,141
1500000US470650104353,138
1500000US470650020001,137
1500000US470650113211,135
1500000US470650019003,127
1500000US470650016001,126
1500000US470650011001,122
1500000US470650114021,119
1500000US470650025002,115
1500000US470650012003,110
1500000US470650008001,110
1500000US470650123001,108
1500000US470650113231,97
1500000US470650123003,95
1500000US470650013001,95
1500000US470650026003,94
1500000US470650114453,93
1500000US470650024002,93
1500000US470650019002,93
1500000US470650104334,91
1500000US470650004002,88
1500000US470650029001,87
1500000US470650019001,85
1500000US470650026001,84
1500000US470650123002,83
1500000US470650034003,83
1500000US470650024004,83
1500000US470650006001,82
1500000US470650032003,81
1500000US470650109011,80
1500000US470650014001,80
1500000US470650114451,79
1500000US470650033001,77
1500000US470650113261,76
1500000US470650024003,74
1500000US470650104332,72
1500000US470650011002,72
1500000US470650034001,69
1500000US470650114434,67
1500000US470650025003,65
1500000US470650114441,64
1500000US470650122003,60
1500000US470650012002,60
1500000US470650114113,59
1500000US470650030001,59
1500000US470650014002,57
1500000US470650114023,53
1500000US470650114022,52
1500000US470650122001,51
1500000US470650114442,50
1500000US470650028002,50
1500000US470650020002,49
1500000US470650113212,49
1500000US470650114433,46
1500000US470650104331,46
1500000US470650034002,46
1500000US470650109034,45
1500000US470650025001,45
1500000US470650123004,44
1500000US470650124002,43
1500000US470650028001,42
1500000US470650114461,42
1500000US470650033005,42
1500000US470650104324,41
1500000US470650029002,41
1500000US470650105016,41
1500000US470659802001,38
1500000US470650012001,37
1500000US470650006003,37
1500000US470650114112,36
1500000US470650006002,36
1500000US470650114111,36
1500000US470650024001,35
1500000US470650033003,35
1500000US470650028003,35
1500000US470650105015,34
1500000US470650018002,33
1500000US470650007004,30
1500000US470650032001,29
1500000US470650018001,28
1500000US470650114024,26
1500000US470650104351,26
1500000US470650121003,25
1500000US470650033006,25
1500000US470650124001,24
1500000US470650113263,24
1500000US470650013002,23
1500000US470650109031,23
1500000US470650105021,23
1500000US470650104333,22
1500000US470650033002,21
1500000US470650104313,21
1500000US470650109033,21
1500000US470650121002,20
1500000US470650112014,20
1500000US470650033004,19
1500000US470650113213,19
1500000US470659801001,19
1500000US470650104311,19
1500000US470650007003,18
1500000US470650109032,18
1500000US470650121001,18
1500000US470650105013,18
1500000US470650112011,17
1500000US470650104352,17
1500000US470650104312,16
1500000US470650007001,16
1500000US470650113233,15
1500000US470650122002,15
1500000US470650032002,15
1500000US470650121005,15
1500000US470650105022,13
1500000US470650104322,13
1500000US470650113111,13
1500000US470650104323,11
1500000US470650113251,11
1500000US470650105012,10
1500000US470650114135,10
1500000US470650113112,10
1500000US470650113113,9
1500000US470650113262,9
1500000US470650105023,9
1500000US470650116002,8
1500000US470650007002,8
1500000US470650105014,7
1500000US470650104131,7
1500000US470650113114,6
1500000US470650114133,5
1500000US470650113252,5
1500000US470650113232,4
1500000US470650114473,4
1500000US470650114134,3
1500000US470650112015,3
1500000US470650104114,2
1500000US470650117003,2
1500000US470650118001,2
1500000US470650119002,1
1500000US470650104341,1
1500000US470650118003,1
1500000US470650114421,1
1500000US470650104111,1
1500000US470650107001,1
1500000US470650113115,1
1500000US470650104123,1
1500000US470079531004,1
1500000US470650118005,1
