AFFGEOID,count
1500000US470650016001,62
1500000US470650019003,61
1500000US470650124003,60
1500000US470650025002,49
1500000US470650031001,48
1500000US470650004001,45
1500000US470650023001,44
1500000US470650012003,43
1500000US470650025003,42
1500000US470650019001,40
1500000US470650123002,40
1500000US470650004002,37
1500000US470650122003,34
1500000US470650123003,32
1500000US470650032003,31
1500000US470650024002,30
1500000US470650030002,28
1500000US470650122001,26
1500000US470650026002,25
1500000US470650114462,25
1500000US470650026003,24
1500000US470650113214,24
1500000US470650114432,24
1500000US470650026001,23
1500000US470650024003,23
1500000US470650104314,22
1500000US470650011001,22
1500000US470650013001,21
1500000US470650019002,20
1500000US470650014001,20
1500000US470650114441,20
1500000US470650029001,19
1500000US470650114431,18
1500000US470650029002,18
1500000US470650121004,18
1500000US470650024004,18
1500000US470650104334,17
1500000US470650033005,16
1500000US470650034001,16
1500000US470650114452,16
1500000US470650033002,15
1500000US470650020001,14
1500000US470650012001,13
1500000US470650114113,13
1500000US470650123004,13
1500000US470650030001,12
1500000US470650025001,12
1500000US470650114453,12
1500000US470650033006,12
1500000US470650014002,12
1500000US470650113261,12
1500000US470650121003,12
1500000US470650033001,11
1500000US470650104324,11
1500000US470650012002,10
1500000US470650109011,10
1500000US470650020002,10
1500000US470650113231,10
1500000US470650123001,9
1500000US470650032001,9
1500000US470650008001,8
1500000US470650114451,8
1500000US470650114021,8
1500000US470650114442,8
1500000US470650114024,8
1500000US470650104353,8
1500000US470650011002,8
1500000US470650114023,8
1500000US470650114433,8
1500000US470650104321,8
1500000US470650109034,8
1500000US470650105016,7
1500000US470650028003,7
1500000US470650114461,7
1500000US470650104332,7
1500000US470650028001,7
1500000US470650113211,7
1500000US470650114111,6
1500000US470650121002,6
1500000US470650114022,6
1500000US470650105012,6
1500000US470650034003,5
1500000US470650013002,5
1500000US470650033004,5
1500000US470650006003,5
1500000US470650006001,5
1500000US470650104333,5
1500000US470650114112,5
1500000US470650104313,5
1500000US470650024001,5
1500000US470650113263,4
1500000US470650104331,4
1500000US470650105014,4
1500000US470650028002,4
1500000US470650033003,4
1500000US470650114135,3
1500000US470650122002,3
1500000US470650032002,3
1500000US470650109021,3
1500000US470650109033,3
1500000US470650113233,3
1500000US470650112011,3
1500000US470650112014,3
1500000US470650104351,3
1500000US470650034002,3
1500000US470650113212,2
1500000US470650018001,2
1500000US470650018002,2
1500000US470650113251,2
1500000US470650114434,2
1500000US470650121001,2
1500000US470650105015,2
1500000US470659801001,2
1500000US470650124002,2
1500000US470650113213,2
1500000US470650007004,2
1500000US470650114133,2
1500000US470650104312,2
1500000US470650105022,1
1500000US470650007002,1
1500000US470650109032,1
1500000US470650113114,1
1500000US470650104322,1
1500000US470650007003,1
1500000US470650114421,1
1500000US470650116002,1
1500000US470650117002,1
1500000US470650105011,1
1500000US470650104352,1
1500000US470650109031,1
1500000US470650113252,1
1500000US470650113262,1
1500000US470650104311,1
1500000US470650006002,1
1500000US470650113111,1
1500000US470650105021,1
