AFFGEOID,count
1500000US390610080001,319
1500000US390610102013,294
1500000US390610054001,285
1500000US390610100041,283
1500000US390610265002,241
1500000US390610033002,231
1500000US390610007002,222
1500000US390610026001,209
1500000US390610025001,182
1500000US390610092001,172
1500000US390610109002,166
1500000US390610007003,157
1500000US390610010002,153
1500000US390610094001,144
1500000US390610032001,138
1500000US390610097001,132
1500000US390610073002,130
1500000US390610095002,126
1500000US390610100042,125
1500000US390610263001,122
1500000US390610082021,120
1500000US390610100031,118
1500000US390610098001,117
1500000US390610017001,112
1500000US390610095003,112
1500000US390610085021,112
1500000US390610010001,108
1500000US390610023001,108
1500000US390610270002,108
1500000US390610009002,104
1500000US390610267001,103
1500000US390610100051,103
1500000US390610025002,101
1500000US390610061001,99
1500000US390610270001,98
1500000US390610092003,96
1500000US390610066001,95
1500000US390610082012,94
1500000US390610110002,94
1500000US390610028001,89
1500000US390610099022,89
1500000US390610026002,86
1500000US390610009001,83
1500000US390610030001,83
1500000US390610033001,82
1500000US390610272002,81
1500000US390610029002,77
1500000US390610019001,73
1500000US390610068002,72
1500000US390610011001,72
1500000US390610029001,72
1500000US390610268001,72
1500000US390610028002,71
1500000US390610068003,70
1500000US390610077001,70
1500000US390610016001,70
1500000US390610107001,70
1500000US390610272001,69
1500000US390610083003,68
1500000US390610053011,68
1500000US390610074002,66
1500000US390610047021,66
1500000US390610092002,65
1500000US390610102011,64
1500000US390610088002,64
1500000US390610030003,63
1500000US390610096003,63
1500000US390610101001,63
1500000US390610269003,62
1500000US390610038001,61
1500000US390610078002,61
1500000US390610100021,61
1500000US390610101002,60
1500000US390610020002,59
1500000US390610072001,58
1500000US390610271002,58
1500000US390610022003,57
1500000US390610084001,57
1500000US390610083002,57
1500000US390610037001,57
1500000US390610055003,55
1500000US390610066002,55
1500000US390610267002,55
1500000US390610097004,55
1500000US390610110001,55
1500000US390610101003,55
1500000US390610100023,54
1500000US390610093001,54
1500000US390610088001,54
1500000US390610078001,54
1500000US390610027001,53
1500000US390610102015,51
1500000US390610208114,51
1500000US390610099021,50
1500000US390610064003,50
1500000US390610080002,50
1500000US390610055004,50
1500000US390610095001,50
1500000US390610100025,49
1500000US390610102014,49
1500000US390610061002,49
1500000US390610093002,49
1500000US390610271001,48
1500000US390610270003,48
1500000US390610097005,48
1500000US390610103002,48
1500000US390610069001,47
1500000US390610019002,47
1500000US390610029003,46
1500000US390610077002,46
1500000US390610036002,46
1500000US390610109001,46
1500000US390610065001,46
1500000US390610002001,46
1500000US390610060002,46
1500000US390610071002,46
1500000US390610057013,45
1500000US390610096002,45
1500000US390610263002,44
1500000US390610264001,43
1500000US390610039003,43
1500000US390610069002,43
1500000US390610099012,42
1500000US390610097003,42
1500000US390610083001,42
1500000US390610071003,41
1500000US390610085012,41
1500000US390610096001,41
1500000US390610016002,40
1500000US390610100022,40
1500000US390610078003,40
1500000US390610264002,40
1500000US390610037002,40
1500000US390610100024,39
1500000US390610272003,39
1500000US390610265001,39
1500000US390610038002,39
1500000US390610049005,39
1500000US390610060005,39
1500000US390610040002,39
1500000US390610073001,38
1500000US390610041001,38
1500000US390610100032,38
1500000US390610099011,37
1500000US390610070002,37
1500000US390610050005,37
1500000US390610102022,37
1500000US390610064002,36
1500000US390610093003,36
1500000US390610086013,36
1500000US390610071001,35
1500000US390610104001,35
1500000US390610070001,35
1500000US390610107002,35
1500000US390610086012,34
1500000US390610046021,34
1500000US390610079002,34
1500000US390610038003,34
1500000US390610056004,34
1500000US390610063002,33
1500000US390610022001,33
1500000US390610068001,33
1500000US390610046041,33
1500000US390610049004,32
1500000US390610053012,32
1500000US390610057011,32
1500000US390610102023,32
1500000US390610269002,32
1500000US390610270004,32
1500000US390610106001,31
1500000US390610069003,30
1500000US390610102021,30
1500000US390610050004,30
1500000US390610085011,30
1500000US390610064001,30
1500000US390610082022,29
1500000US390610051002,29
1500000US390610055001,29
1500000US390610057012,28
1500000US390610059001,28
1500000US390610020001,28
1500000US390610058001,28
1500000US390610070003,28
1500000US390610100033,28
1500000US390610081001,28
1500000US390610046022,27
1500000US390610081002,27
1500000US390610039001,26
1500000US390610060004,26
1500000US390610053023,26
1500000US390610042001,26
1500000US390610093004,26
1500000US390610065006,25
1500000US390610052003,25
1500000US390610082023,25
1500000US390610271004,25
1500000US390610041002,25
1500000US390610057022,25
1500000US390610096004,25
1500000US390610057023,25
1500000US390610046031,24
1500000US390610042002,24
1500000US390610057024,24
1500000US390610072002,24
1500000US390610018002,24
1500000US390610086014,24
1500000US390610271003,23
1500000US390610036001,23
1500000US390610264003,23
