AFFGEOID,count
1500000US390610080001,33
1500000US390610265002,23
1500000US390610026001,19
1500000US390610025001,18
1500000US390610094001,17
1500000US390610088001,16
1500000US390610100042,16
1500000US390610109002,16
1500000US390610073002,15
1500000US390610017001,15
1500000US390610092003,15
1500000US390610010002,14
1500000US390610101002,14
1500000US390610097001,13
1500000US390610267001,13
1500000US390610036002,12
1500000US390610099022,12
1500000US390610098001,12
1500000US390610028001,11
1500000US390610264001,11
1500000US390610030003,11
1500000US390610078001,11
1500000US390610061001,10
1500000US390610025002,10
1500000US390610264002,10
1500000US390610110002,10
1500000US390610102011,10
1500000US390610026002,10
1500000US390610057024,9
1500000US390610080002,9
1500000US390610032001,9
1500000US390610097004,9
1500000US390610070001,9
1500000US390610074002,9
1500000US390610107001,9
1500000US390610270002,9
1500000US390610109001,9
1500000US390610100041,9
1500000US390610009002,9
1500000US390610023001,9
1500000US390610007002,9
1500000US390610009001,9
1500000US390610057011,9
1500000US390610088002,9
1500000US390610269003,9
1500000US390610110001,9
1500000US390610029002,8
1500000US390610030001,8
1500000US390610033002,8
1500000US390610092002,8
1500000US390610019001,8
1500000US390610100032,8
1500000US390610011001,8
1500000US390610096002,8
1500000US390610028002,8
1500000US390610078002,8
1500000US390610100051,7
1500000US390610083003,7
1500000US390610029003,7
1500000US390610101001,7
1500000US390610093003,7
1500000US390610070002,7
1500000US390610054001,7
1500000US390610271002,7
1500000US390610102013,7
1500000US390610007003,7
1500000US390610066001,7
1500000US390610093002,7
1500000US390610081002,7
1500000US390610268001,7
1500000US390610010001,7
1500000US390610038002,7
1500000US390610027001,7
1500000US390610101003,6
1500000US390610072001,6
1500000US390610095003,6
1500000US390610052001,6
1500000US390610096003,6
1500000US390610038001,6
1500000US390610039003,6
1500000US390610099021,6
1500000US390610100024,6
1500000US390610077001,6
1500000US390610092001,6
1500000US390610102023,6
1500000US390610061002,6
1500000US390610084001,6
1500000US390610102015,6
1500000US390610100025,6
1500000US390610074001,6
1500000US390610104001,6
1500000US390610082021,6
1500000US390610002001,5
1500000US390610046022,5
1500000US390610272002,5
1500000US390610060005,5
1500000US390610065001,5
1500000US390610049004,5
1500000US390610070003,5
1500000US390610057012,5
1500000US390610272003,5
1500000US390610056004,5
1500000US390610039002,5
1500000US390610100031,5
1500000US390610103002,5
1500000US390610071001,5
1500000US390610029001,5
1500000US390610073001,5
1500000US390610065004,5
1500000US390610083001,5
1500000US390610022002,5
1500000US390610016001,5
1500000US390610038003,5
1500000US390610085012,5
1500000US390610212022,5
1500000US390610095001,4
1500000US390610102021,4
1500000US390610069001,4
1500000US390610040002,4
1500000US390610052003,4
1500000US390610078003,4
1500000US390610046023,4
1500000US390610086013,4
1500000US390610022003,4
1500000US390610272001,4
1500000US390610065003,4
1500000US390610086014,4
1500000US390610107002,4
1500000US390610071003,4
1500000US390610069002,4
1500000US390610064004,4
1500000US390610069003,4
1500000US390610046051,4
1500000US390610071002,4
1500000US390610263001,4
1500000US390610099012,4
1500000US390610097003,4
1500000US390610111001,4
1500000US390610085021,4
1500000US390610016002,4
1500000US390610102014,4
1500000US390610046032,4
1500000US390610083002,4
1500000US390610063002,3
1500000US390610033001,3
1500000US390610079002,3
1500000US390610018002,3
1500000US390610270001,3
1500000US390610068002,3
1500000US390610082023,3
1500000US390610018001,3
1500000US390610100021,3
1500000US390610041001,3
1500000US390610095002,3
1500000US390610022001,3
1500000US390610097005,3
1500000US390610064002,3
1500000US390610066002,3
1500000US390610269002,3
1500000US390610055004,3
1500000US390610100023,3
1500000US390610068003,3
1500000US390610270003,3
1500000US390610060002,3
1500000US390610065006,3
1500000US390610082022,3
1500000US390610082012,3
1500000US390610058005,3
1500000US390610077002,3
1500000US390610046041,3
1500000US390610100022,3
1500000US390610079001,3
1500000US390610050005,3
1500000US390610060004,3
1500000US390610064003,3
1500000US390610099011,3
1500000US390610269004,2
1500000US390610075001,2
1500000US390610047021,2
1500000US390610214014,2
1500000US390610085011,2
1500000US390610108001,2
1500000US390610045001,2
1500000US390610007001,2
1500000US390610041002,2
1500000US390610096001,2
1500000US390610050001,2
1500000US390610269001,2
1500000US390610266003,2
1500000US390610053023,2
1500000US390610085013,2
1500000US390610105002,2
1500000US390610271004,2
1500000US390610264003,2
1500000US390610046043,2
1500000US390610037001,2
1500000US390610059001,2
1500000US390610060001,2
1500000US390610020002,2
1500000US390610047011,2
1500000US390610046031,2
1500000US390610242001,2
1500000US390610082013,2
1500000US390610270004,2
1500000US390610049005,2
1500000US390610103001,2
1500000US390610058002,2
1500000US390610086012,2
1500000US390610053012,2
1500000US390610063001,2
1500000US390610075002,2
1500000US390610072002,2
1500000US390610055003,2
1500000US390610086011,2
1500000US390610093001,2
1500000US390610263002,2
1500000US390610055001,2
1500000US390610042002,2
1500000US390610057023,2
1500000US390610097002,1
1500000US390610093004,1
1500000US390610049002,1
1500000US390610242002,1
1500000US390610053022,1
1500000US390610213044,1
1500000US390610056001,1
1500000US390610081001,1
1500000US390610068001,1
1500000US390610063004,1
1500000US390610111002,1
1500000US390610053011,1
1500000US390610057022,1
1500000US390610222003,1
1500000US390610065005,1
1500000US390610209022,1
1500000US390610266002,1
1500000US390610064001,1
1500000US390610074003,1
1500000US390610058001,1
1500000US390610234004,1
1500000US390610052002,1
1500000US390610053021,1
1500000US390610050002,1
1500000US390610046021,1
1500000US390610266001,1
1500000US390610100033,1
1500000US390610057013,1
1500000US390610019002,1
1500000US390610258005,1
1500000US390610102012,1
1500000US390610049003,1
1500000US390610046042,1
1500000US390610051002,1
1500000US390610039001,1
