AFFGEOID,count
1500000US110010058001,1111
1500000US110010106002,724
1500000US110010107001,721
1500000US110010044002,696
1500000US110010101001,572
1500000US110010091022,549
1500000US110010088031,498
1500000US110010001004,428
1500000US110010044001,369
1500000US110010107002,338
1500000US110010028022,327
1500000US110010031001,324
1500000US110010035002,313
1500000US110010047021,312
1500000US110010089031,311
1500000US110010102002,300
1500000US110010072002,294
1500000US110010083021,284
1500000US110010002024,263
1500000US110010052014,260
1500000US110010018042,241
1500000US110010111001,236
1500000US110010011002,226
1500000US110010049022,221
1500000US110010048011,217
1500000US110010034002,213
1500000US110010006002,212
1500000US110010111003,212
1500000US110010028021,209
1500000US110010090001,208
1500000US110010071002,208
1500000US110010017022,201
1500000US110010070002,190
1500000US110010096021,186
1500000US110010043002,186
1500000US110010055001,180
1500000US110010002023,180
1500000US110010058002,173
1500000US110010049012,171
1500000US110010076032,163
1500000US110010092011,159
1500000US110010088042,158
1500000US110010047012,146
1500000US110010010012,143
1500000US110010084021,142
1500000US110010075041,140
1500000US110010073041,138
1500000US110010084101,137
1500000US110010055003,137
1500000US110010095041,137
1500000US110010043001,137
1500000US110010046002,135
1500000US110010050012,134
1500000US110010099022,133
1500000US110010029002,131
1500000US110010069001,131
1500000US110010035001,130
1500000US110010111002,130
1500000US110010078072,128
1500000US110010075022,127
1500000US110010075031,126
1500000US110010087021,125
1500000US110010037002,121
1500000US110010074031,120
1500000US110010095053,120
1500000US110010079014,119
1500000US110010096032,118
1500000US110010046001,118
1500000US110010030001,117
1500000US110010025021,115
1500000US110010065001,115
1500000US110010102001,115
1500000US110010078033,114
1500000US110010077071,113
1500000US110010016002,113
1500000US110010096011,112
1500000US110010066001,112
1500000US110010020023,112
1500000US110010024001,112
1500000US110010013021,110
1500000US110010039003,110
1500000US110010052013,107
1500000US110010079031,106
1500000US110010104002,105
1500000US110010096033,104
1500000US110010076013,103
1500000US110010049021,101
1500000US110010003001,100
1500000US110010104001,98
1500000US110010076011,98
1500000US110010078041,98
1500000US110010033022,98
1500000US110010078031,96
1500000US110010076042,92
1500000US110010059001,91
1500000US110010084022,90
1500000US110010038001,89
1500000US110010011004,88
1500000US110010055005,88
1500000US110010078042,87
1500000US110010053013,87
1500000US110010072001,87
1500000US110010036003,86
1500000US110010048022,85
1500000US110010078091,85
1500000US110010062021,85
1500000US110010101002,84
1500000US110010078092,83
1500000US110010052012,83
1500000US110010027021,83
1500000US110010088023,82
1500000US110010096031,82
1500000US110010074081,81
1500000US110010033021,81
1500000US110010093012,80
1500000US110010014012,80
1500000US110010041001,80
1500000US110010098111,78
1500000US110010068011,76
1500000US110010074072,75
1500000US110010095081,75
1500000US110010030002,75
1500000US110010042022,74
1500000US110010099061,74
1500000US110010087011,73
1500000US110010098071,73
1500000US110010077082,73
1500000US110010080022,73
1500000US110010099042,73
1500000US110010070001,72
1500000US110010019014,72
1500000US110010078061,72
1500000US110010088022,71
1500000US110010025022,71
1500000US110010055002,71
1500000US110010074011,71
1500000US110010034001,71
1500000US110010079011,70
1500000US110010090002,70
1500000US110010053014,70
1500000US110010002022,69
1500000US110010020022,68
1500000US110010109001,68
1500000US110010036001,68
1500000US110010089041,67
1500000US110010093021,67
1500000US110010027022,67
1500000US110010028012,66
1500000US110010099072,64
1500000US110010050011,64
1500000US110010098011,64
1500000US110010076015,63
1500000US110010023012,63
1500000US110010065002,63
1500000US110010078071,63
1500000US110010050022,63
1500000US110010048021,62
1500000US110010038002,62
1500000US110010049011,62
1500000US110010025011,61
1500000US110010075032,61
1500000US110010056002,61
1500000US110010005012,61
1500000US110010040021,61
1500000US110010098072,60
1500000US110010025024,60
1500000US110010082002,59
1500000US110010108002,59
1500000US110010080012,59
1500000US110010078082,59
1500000US110010077072,59
1500000US110010077033,58
1500000US110010077091,58
1500000US110010027012,58
1500000US110010095031,58
1500000US110010064001,58
1500000US110010075021,58
1500000US110010099021,57
1500000US110010096042,57
1500000US110010025023,57
1500000US110010088041,57
1500000US110010071001,57
1500000US110010097001,56
1500000US110010053012,56
1500000US110010076031,56
1500000US110010087022,56
1500000US110010064002,55
1500000US110010077081,55
1500000US110010020021,55
1500000US110010094002,55
1500000US110010029001,55
1500000US110010078081,55
1500000US110010083011,54
1500000US110010042012,54
1500000US110010038003,54
1500000US110010012004,54
1500000US110010040011,53
1500000US110010056001,53
1500000US110010098101,53
1500000US110010017021,53
1500000US110010095071,53
1500000US110010078043,52
1500000US110010077031,52
1500000US110010089042,52
1500000US110010083012,51
1500000US110010026002,51
1500000US110010092032,51
1500000US110010016004,51
1500000US110010033012,51
1500000US110010076043,51
1500000US110010091021,50
1500000US110010042021,50
1500000US110010109002,50
1500000US110010080021,50
1500000US110010056004,50
1500000US110010002021,49
1500000US110010032004,49
1500000US110010055004,48
1500000US110010095052,48
1500000US110010033011,48
1500000US110010078062,48
1500000US110010108001,48
1500000US110010022021,48
1500000US110010068022,48
1500000US110010095013,48
1500000US110010052011,47
1500000US110010067001,47
1500000US110010078083,47
1500000US110010016001,47
1500000US110010087012,47
1500000US110010068012,46
1500000US110010076012,46
1500000US110010037003,45
1500000US110010024003,45
1500000US110010094003,45
1500000US110010088024,45
1500000US110010098022,45
1500000US110010099051,45
1500000US110010040013,45
1500000US110010106001,44
1500000US110010079013,44
1500000US110010095011,44
1500000US110010099012,44
1500000US110010050023,43
1500000US110010069002,43
1500000US110010108003,43
1500000US110010074041,43
1500000US110010067003,43
1500000US110010011001,43
1500000US110010093011,42
1500000US110010068041,42
1500000US110010081002,42
1500000US110010042011,42
1500000US110010076052,42
1500000US110010024002,41
1500000US110010105002,41
1500000US110010076034,41
1500000US110010076014,40
1500000US110010098041,40
1500000US110010020012,40
