AFFGEOID,count
1500000US261635172001,488
1500000US261635208001,296
1500000US261635189001,278
1500000US261635214001,212
1500000US261635207001,203
1500000US261635173001,197
1500000US261635172002,183
1500000US261635207002,177
1500000US261635112001,156
1500000US261635215001,149
1500000US261635165001,141
1500000US261635454001,139
1500000US261635395002,133
1500000US261635410003,132
1500000US261635175002,131
1500000US261635339003,126
1500000US261635440002,126
1500000US261635034002,124
1500000US261635015005,124
1500000US261635224001,121
1500000US261635383002,118
1500000US261635007003,117
1500000US261635353005,116
1500000US261635225001,116
1500000US261635219002,116
1500000US261635006001,110
1500000US261635234002,110
1500000US261635432001,109
1500000US261635167001,109
1500000US261635407003,107
1500000US261635434001,106
1500000US261635075001,105
1500000US261635166002,104
1500000US261635169001,104
1500000US261635418001,103
1500000US261635035005,101
1500000US261635220001,100
1500000US261635170001,100
1500000US261635050002,100
1500000US261635171001,99
1500000US261635007004,98
1500000US261635225002,97
1500000US261635051001,96
1500000US261635202002,95
1500000US261635376003,95
1500000US261635016002,95
1500000US261635032001,94
1500000US261635423003,94
1500000US261635401001,93
1500000US261635010003,92
1500000US261635417002,92
1500000US261635157001,92
1500000US261635062001,92
1500000US261635351002,92
1500000US261635166001,91
1500000US261635180002,91
1500000US261635468003,90
1500000US261635032003,90
1500000US261635031001,90
1500000US261635240001,87
1500000US261635122001,87
1500000US261635009002,87
1500000US261635041003,87
1500000US261635387001,86
1500000US261635453001,86
1500000US261635330001,86
1500000US261635033002,86
1500000US261635008002,86
1500000US261635410001,86
1500000US261635049003,85
1500000US261635402006,85
1500000US261635153001,85
1500000US261635175003,84
1500000US261635413002,83
1500000US261635225003,83
1500000US261635418002,83
1500000US261635312003,83
1500000US261635383001,82
1500000US261635317001,81
1500000US261635016001,81
1500000US261635008001,81
1500000US261635114002,80
1500000US261635007001,80
1500000US261635377002,80
1500000US261635055001,79
1500000US261635159001,79
1500000US261635168001,79
1500000US261635424002,79
1500000US261635068003,79
1500000US261635423001,77
1500000US261635432002,77
1500000US261635387003,77
1500000US261635467002,77
1500000US261635010001,77
1500000US261635385007,76
1500000US261635017001,76
1500000US261635423002,76
1500000US261635054004,75
1500000US261635370003,75
1500000US261635033001,75
1500000US261635203001,75
1500000US261635067001,75
1500000US261635443003,75
1500000US261635394001,74
1500000US261635347004,74
1500000US261635469001,74
1500000US261635154002,73
1500000US261635404004,73
1500000US261635010002,73
1500000US261635368002,73
1500000US261635392006,73
1500000US261635369003,73
1500000US261635352003,73
1500000US261635014004,73
1500000US261635013003,72
1500000US261635202001,72
1500000US261635350002,72
1500000US261635152001,72
1500000US261635054001,72
1500000US261635408001,71
1500000US261635260002,71
1500000US261635437003,71
1500000US261635453002,71
1500000US261635397002,70
1500000US261635339001,70
1500000US261635356004,70
1500000US261635442001,70
1500000US261635003002,69
1500000US261635468002,69
1500000US261635408002,69
1500000US261635409002,69
1500000US261635396002,68
1500000US261635405001,68
1500000US261635033003,68
1500000US261635457002,68
1500000US261635203002,68
1500000US261635406004,67
1500000US261635123001,67
1500000US261635370002,67
1500000US261635052002,66
1500000US261635455004,66
1500000US261635403005,66
1500000US261635362002,66
1500000US261635156001,66
1500000US261635409003,66
1500000US261635430001,65
1500000US261635106001,65
1500000US261635452002,65
1500000US261635316002,65
1500000US261635388001,65
1500000US261635080001,65
1500000US261639853001,65
1500000US261635062002,65
1500000US261635413001,64
1500000US261635389003,64
1500000US261635136002,64
1500000US261635394002,63
1500000US261635463002,63
1500000US261635410002,63
1500000US261635074002,63
1500000US261635011001,62
1500000US261635434003,62
1500000US261635414002,61
1500000US261635066002,61
1500000US261635355001,61
1500000US261635009001,61
1500000US261635344002,61
1500000US261635231001,60
1500000US261635342005,60
1500000US261635465002,60
1500000US261635466003,60
1500000US261635219001,60
1500000US261635404001,60
1500000US261635018004,60
1500000US261635392002,60
1500000US261635218001,60
1500000US261635422002,59
1500000US261635437002,59
1500000US261635459001,59
1500000US261635015001,59
1500000US261635354001,59
1500000US261635369002,58
1500000US261635468001,58
1500000US261635406002,58
1500000US261635401002,58
1500000US261635219003,58
1500000US261635341003,58
1500000US261635063002,58
1500000US261635462002,57
1500000US261635394003,57
