AFFGEOID,count
1500000US261635172001,60
1500000US261635312003,44
1500000US261635208001,41
1500000US261635165001,39
1500000US261635167001,38
1500000US261635171001,34
1500000US261635170001,32
1500000US261635153001,30
1500000US261635157001,29
1500000US261635016002,28
1500000US261635172002,28
1500000US261635407003,27
1500000US261635220001,27
1500000US261635401001,26
1500000US261635440002,26
1500000US261635434001,26
1500000US261635189001,26
1500000US261635214001,25
1500000US261635215001,25
1500000US261635418002,25
1500000US261635394002,24
1500000US261635395002,24
1500000US261635169001,24
1500000US261635385007,24
1500000US261635035005,23
1500000US261635007003,23
1500000US261635136002,23
1500000US261635389003,22
1500000US261635154002,22
1500000US261635410003,22
1500000US261635156001,22
1500000US261635323001,22
1500000US261635454001,22
1500000US261635339003,21
1500000US261635166002,21
1500000US261635330001,21
1500000US261635006001,21
1500000US261635112001,21
1500000US261635394003,21
1500000US261635207002,20
1500000US261635469001,20
1500000US261635408001,20
1500000US261635207001,20
1500000US261635240001,20
1500000US261635234002,20
1500000US261635383002,20
1500000US261635173001,20
1500000US261635234001,19
1500000US261635368002,19
1500000US261635018004,19
1500000US261635394001,19
1500000US261635159001,18
1500000US261635406004,18
1500000US261635390001,18
1500000US261635376003,18
1500000US261635410002,18
1500000US261635463002,18
1500000US261635387001,18
1500000US261635009002,18
1500000US261635414002,18
1500000US261635402006,17
1500000US261635353005,17
1500000US261635152001,17
1500000US261635426002,17
1500000US261635392003,17
1500000US261635015005,17
1500000US261635305002,17
1500000US261635014001,17
1500000US261635356004,17
1500000US261635032003,17
1500000US261635339001,17
1500000US261635007004,17
1500000US261635417002,17
1500000US261635031001,17
1500000US261635384004,16
1500000US261635388001,16
1500000US261635409004,16
1500000US261635403005,16
1500000US261635387003,16
1500000US261635014003,16
1500000US261635409003,16
1500000US261635392002,16
1500000US261635467003,16
1500000US261635429003,15
1500000US261635405001,15
1500000US261635014002,15
1500000US261635075001,15
1500000US261635041003,15
1500000US261635376002,15
1500000US261635397002,15
1500000US261635180002,15
1500000US261635347004,15
1500000US261635369003,15
1500000US261635393001,15
1500000US261635370003,15
1500000US261635317001,15
1500000US261635175003,14
1500000US261635007001,14
1500000US261635421005,14
1500000US261635401002,14
1500000US261635462003,14
1500000US261635437003,14
1500000US261635020001,14
1500000US261635432001,14
1500000US261635231001,14
1500000US261635143003,14
1500000US261639852001,14
1500000US261635462002,14
1500000US261635393003,14
1500000US261635052004,14
1500000US261635342005,14
1500000US261635468003,14
1500000US261635052002,14
1500000US261635442001,14
1500000US261635219001,14
1500000US261635365003,14
1500000US261635143001,14
1500000US261635049003,14
1500000US261635054001,14
1500000US261635017001,13
1500000US261635218001,13
1500000US261635032001,13
1500000US261635016001,13
1500000US261635423003,13
1500000US261635350003,13
1500000US261635326001,13
1500000US261635007002,13
1500000US261635051001,13
1500000US261635393004,13
1500000US261635331001,13
1500000US261635466003,13
1500000US261635213001,13
1500000US261635010003,13
1500000US261635255002,13
1500000US261635013005,13
1500000US261635353004,13
1500000US261635062001,13
1500000US261635406002,13
1500000US261639853001,12
1500000US261635168001,12
1500000US261635355001,12
1500000US261635350002,12
1500000US261635009004,12
1500000US261635153003,12
1500000US261635326002,12
1500000US261635421006,12
1500000US261639851001,12
1500000US261635362002,12
1500000US261635415004,12
1500000US261635465002,12
1500000US261635011004,12
1500000US261635460005,12
1500000US261635354002,12
1500000US261635043003,12
1500000US261635013003,12
1500000US261635428002,12
1500000US261635036003,12
1500000US261635404004,12
1500000US261635008002,12
1500000US261635317002,12
1500000US261635452002,12
1500000US261635012001,12
1500000US261635421003,12
1500000US261635068003,12
1500000US261635305001,12
1500000US261635067001,12
1500000US261635351002,12
1500000US261635413002,12
1500000US261635250002,12
1500000US261635455004,12
1500000US261635008001,12
1500000US261635407004,12
1500000US261635002004,12
1500000US261635424002,12
1500000US261635011002,12
1500000US261635434003,12
1500000US261635166001,12
1500000US261635409001,11
1500000US261635070002,11
1500000US261635395001,11
1500000US261635303002,11
1500000US261635381001,11
1500000US261635442002,11
1500000US261635215002,11
1500000US261635341002,11
1500000US261635467002,11
1500000US261635014004,11
1500000US261635175002,11
1500000US261635363006,11
1500000US261635001001,11
1500000US261635354001,11
1500000US261635018002,11
1500000US261635302004,11
1500000US261635413001,11
1500000US261635033001,11
1500000US261635385006,11
1500000US261635160001,11
1500000US261635441002,11
1500000US261635040002,11
1500000US261635219002,11
1500000US261635386006,11
1500000US261635225003,11
1500000US261635381002,11
1500000US261635044001,11
1500000US261635033002,11
1500000US261635033003,11
1500000US261635339002,10
1500000US261635247002,10
1500000US261635389002,10
1500000US261635423001,10
1500000US261635397001,10
1500000US261635036001,10
1500000US261635383001,10
1500000US261635066001,10
1500000US261635119002,10
1500000US261635429004,10
1500000US261635386001,10
1500000US261635461003,10
1500000US261635110002,10
1500000US261635423002,10
1500000US261635369002,10
1500000US261635260002,10
1500000US261635051002,10
1500000US261635225001,10
1500000US261635347003,10
1500000US261635154001,10
1500000US261635409002,10
1500000US261635141004,10
1500000US261635402002,10
1500000US261635003002,10
