AFFGEOID,count
1500000US261635172001,399
1500000US261635208001,259
1500000US261635189001,240
1500000US261635214001,198
1500000US261635173001,181
1500000US261635207001,177
1500000US261635172002,164
1500000US261635207002,140
1500000US261635112001,136
1500000US261635165001,134
1500000US261635215001,130
1500000US261635175002,109
1500000US261635440002,109
1500000US261635224001,105
1500000US261635339003,103
1500000US261635167001,97
1500000US261635170001,96
1500000US261635454001,95
1500000US261635015005,94
1500000US261635225001,92
1500000US261635395002,92
1500000US261635225002,89
1500000US261635234002,88
1500000US261635169001,87
1500000US261635410003,85
1500000US261635202002,84
1500000US261635171001,83
1500000US261635220001,82
1500000US261635166002,81
1500000US261635034002,80
1500000US261635407003,80
1500000US261635434001,79
1500000US261635383002,79
1500000US261635180002,78
1500000US261635007003,78
1500000US261635353005,77
1500000US261635432001,77
1500000US261635219002,77
1500000US261635157001,76
1500000US261635225003,75
1500000US261635153001,74
1500000US261635016002,73
1500000US261635312003,72
1500000US261635006001,71
1500000US261635035005,70
1500000US261635175003,70
1500000US261635166001,69
1500000US261635032001,68
1500000US261635417002,68
1500000US261635418002,68
1500000US261635330001,67
1500000US261635010003,67
1500000US261635075001,66
1500000US261635031001,66
1500000US261635203001,66
1500000US261635009002,65
1500000US261635376003,65
1500000US261635202001,64
1500000US261635387003,64
1500000US261635168001,64
1500000US261635240001,63
1500000US261635017001,63
1500000US261635068003,62
1500000US261635418001,62
1500000US261635468003,61
1500000US261635016001,61
1500000US261635401001,61
1500000US261635154002,61
1500000US261635051001,61
1500000US261635062001,60
1500000US261635032003,60
1500000US261635387001,60
1500000US261635339001,60
1500000US261635007004,60
1500000US261635114002,60
1500000US261635423003,60
1500000US261639853001,59
1500000US261635385007,59
1500000US261635317001,59
1500000US261635049003,59
1500000US261635383001,58
1500000US261635152001,57
1500000US261635007001,57
1500000US261635122001,57
1500000US261635159001,56
1500000US261635347004,56
1500000US261635050002,56
1500000US261635437003,55
1500000US261635432002,55
1500000US261635405001,55
1500000US261635062002,55
1500000US261635394001,55
1500000US261635218001,54
1500000US261635008002,54
1500000US261635351002,53
1500000US261635468002,53
1500000US261635389003,52
1500000US261635203002,52
1500000US261635410001,52
1500000US261635067001,52
1500000US261635033001,52
1500000US261635453002,52
1500000US261635430002,52
1500000US261635014004,52
1500000US261635408001,52
1500000US261635453001,52
1500000US261635260002,51
1500000US261635377002,51
1500000US261635369003,51
1500000US261635156001,51
1500000US261635054001,51
1500000US261635413002,51
1500000US261635352003,51
1500000US261635404004,50
1500000US261635219001,50
1500000US261635370003,50
1500000US261635010001,50
1500000US261635424002,50
1500000US261635123001,49
1500000US261635180001,49
1500000US261635106001,49
1500000US261635442001,49
1500000US261635356004,49
1500000US261635413001,49
1500000US261635443003,49
1500000US261635219003,49
1500000US261635323001,49
1500000US261635468004,49
1500000US261635368002,49
1500000US261635430001,49
1500000US261635409002,49
1500000US261635469001,48
1500000US261635008001,48
1500000US261635316002,48
1500000US261635136002,48
1500000US261635457002,48
1500000US261635397002,48
1500000US261635455004,48
1500000US261635406004,48
1500000US261635013003,48
1500000US261635394003,47
1500000US261635467002,47
1500000US261635403005,47
1500000US261635392003,47
1500000US261635394002,47
1500000US261635041003,47
1500000US261635402006,47
1500000US261635052002,47
1500000US261635362002,47
1500000US261635350002,47
1500000US261635415004,47
1500000US261635033002,46
1500000US261635381001,46
1500000US261635434003,46
1500000US261635388001,46
1500000US261639852001,46
1500000US261635018004,46
1500000US261635384004,45
1500000US261635409003,45
1500000US261635406002,45
1500000US261635234001,45
1500000US261635054004,45
1500000US261635462002,45
1500000US261635133002,45
1500000US261635423001,44
1500000US261635410002,44
1500000US261635463002,44
1500000US261635409004,44
1500000US261635423002,44
1500000US261635467003,44
1500000US261635414002,44
1500000US261635010002,43
1500000US261635255002,43
1500000US261635460005,43
1500000US261635080001,43
1500000US261635386006,43
1500000US261635119001,43
1500000US261635231001,43
1500000US261635331001,43
1500000US261635408002,43
1500000US261635382001,43
1500000US261635015001,43
