AFFGEOID,count
1500000US261635172001,89
1500000US261635410003,47
1500000US261635454001,44
1500000US261635050002,44
1500000US261635034002,44
1500000US261635418001,41
1500000US261635395002,41
1500000US261635033002,40
1500000US261635041003,40
1500000US261635007003,39
1500000US261635351002,39
1500000US261635075001,39
1500000US261635383002,39
1500000US261635006001,39
1500000US261635353005,39
1500000US261635219002,39
1500000US261635402006,38
1500000US261635189001,38
1500000US261635007004,38
1500000US261635055001,38
1500000US261635207002,37
1500000US261635208001,37
1500000US261635051001,35
1500000US261635453001,34
1500000US261635410001,34
1500000US261635423003,34
1500000US261635423001,33
1500000US261635370002,33
1500000US261635452002,33
1500000US261635006005,33
1500000US261635008001,33
1500000US261635008002,32
1500000US261635423002,32
1500000US261635413002,32
1500000US261635062001,32
1500000US261635401001,32
1500000US261635432001,32
1500000US261635035005,31
1500000US261635392006,31
1500000US261635010002,30
1500000US261635003002,30
1500000US261635122001,30
1500000US261635054004,30
1500000US261635015005,30
1500000US261635467002,30
1500000US261635032003,30
1500000US261635376003,30
1500000US261635377002,29
1500000US261635468003,29
1500000US261635424002,29
1500000US261635063001,28
1500000US261635311001,27
1500000US261635421001,27
1500000US261635396002,27
1500000US261635407003,27
1500000US261635442003,27
1500000US261635010001,27
1500000US261635033003,27
1500000US261635434001,27
1500000US261635387001,26
1500000US261635443003,26
1500000US261635032002,26
1500000US261635408002,26
1500000US261635049003,26
1500000US261635032001,26
1500000US261635336002,26
1500000US261635463001,26
1500000US261635207001,26
1500000US261635469001,26
1500000US261635422002,25
1500000US261635457001,25
1500000US261635370003,25
1500000US261635010003,25
1500000US261635350002,25
1500000US261635011001,25
1500000US261635355001,24
1500000US261635383001,24
1500000US261635121005,24
1500000US261635240001,24
1500000US261635368002,24
1500000US261635468001,24
1500000US261635031001,24
1500000US261635417002,24
1500000US261635392002,24
1500000US261635013003,24
1500000US261635225001,24
1500000US261635404001,24
1500000US261635339003,23
1500000US261635162002,23
1500000US261635009001,23
1500000US261635465002,23
1500000US261635166002,23
1500000US261635033001,23
1500000US261635067001,23
1500000US261635241003,23
1500000US261635412003,23
1500000US261635007001,23
1500000US261635011003,23
1500000US261635159001,23
1500000US261635404004,23
1500000US261635351001,23
1500000US261635318002,23
1500000US261635175002,22
1500000US261635080001,22
1500000US261635334002,22
1500000US261635009002,22
1500000US261635352003,22
1500000US261635016002,22
1500000US261635166001,22
1500000US261635003001,22
1500000US261635035001,22
1500000US261635074004,22
1500000US261635369003,22
1500000US261635397002,22
1500000US261635317001,22
1500000US261635361001,22
1500000US261635432002,22
1500000US261635234002,22
1500000US261635409003,21
1500000US261635342005,21
1500000US261635344002,21
1500000US261635435001,21
1500000US261635309002,21
1500000US261635066002,21
1500000US261635254003,21
1500000US261635368001,21
1500000US261635054001,21
1500000US261635074002,21
1500000US261635356004,21
1500000US261635014004,21
1500000US261635013005,21
1500000US261635442001,21
1500000US261635333002,20
1500000US261635258002,20
1500000US261635260002,20
1500000US261635081001,20
1500000US261635370001,20
1500000US261635112001,20
1500000US261635265002,20
1500000US261635114002,20
1500000US261635411001,20
1500000US261635031002,20
1500000US261635409002,20
1500000US261635044002,20
1500000US261635457002,20
1500000US261635317002,20
1500000US261635016001,20
1500000US261635354001,20
1500000US261635459001,20
1500000US261635055002,19
1500000US261635388001,19
1500000US261635238004,19
1500000US261635394001,19
1500000US261635172002,19
1500000US261635362002,19
1500000US261635453002,19
1500000US261635041001,19
1500000US261635406004,19
1500000US261635215001,19
1500000US261635464002,19
1500000US261635461002,19
1500000US261635403005,19
1500000US261635391001,19
1500000US261635438002,19
1500000US261635463002,19
1500000US261635408001,19
1500000US261635073003,19
1500000US261635410002,19
1500000US261635341003,19
1500000US261635330001,19
1500000US261635052002,19
1500000US261635063002,19
1500000US261635372001,18
1500000US261635002003,18
1500000US261635273001,18
1500000US261635451001,18
1500000US261635220001,18
1500000US261635442002,18
1500000US261635407001,18
1500000US261635402001,18
1500000US261635054002,18
1500000US261635309003,18
1500000US261635366001,18
1500000US261635376002,18
1500000US261635123001,18
1500000US261635455004,18
1500000US261635050001,18
1500000US261635337001,18
1500000US261635247006,18
1500000US261635421003,18
1500000US261635347004,18
1500000US261635369002,17
1500000US261635231001,17
1500000US261635367001,17
1500000US261635403001,17
1500000US261635319002,17
1500000US261635466003,17
1500000US261635141003,17
1500000US261635362001,17
1500000US261635169001,17
1500000US261635393002,17
1500000US261635437002,17
1500000US261635129002,17
1500000US261635004003,17
1500000US261635440002,17
1500000US261635361002,17
1500000US261635173002,17
1500000US261635363006,17
1500000US261635342002,17
1500000US261635007002,17
1500000US261635342004,17
1500000US261635068003,17
1500000US261635065003,17
1500000US261635385007,17
1500000US261635343001,17
1500000US261635455003,17
1500000US261635316002,17
1500000US261635390004,17
1500000US261635414002,17
1500000US261635401002,17
1500000US261635354002,16
1500000US261635350003,16
1500000US261635257003,16
1500000US261635452003,16
1500000US261635173001,16
1500000US261635434003,16
1500000US261635042004,16
1500000US261635247004,16
1500000US261635261002,16
1500000US261635070001,16
1500000US261635015001,16
1500000US261635468002,16
1500000US261635394002,16
1500000US261635039003,16
1500000US261635171001,16
1500000US261635375001,16
1500000US261635106001,16
1500000US261635430001,16
1500000US261635203002,16
1500000US261635136002,16
1500000US261635352004,16
1500000US261635404003,16
1500000US261635063003,16
1500000US261635451003,16
1500000US261635344001,16
1500000US261635069005,16
1500000US261635402002,16
1500000US261635401003,16
1500000US261635041002,16
1500000US261635157001,16
1500000US261635224001,16
1500000US261635467004,16
1500000US261635043002,16
1500000US261635437003,16
1500000US261635421002,15
1500000US261635072002,15
1500000US261635424001,15
1500000US261635411004,15
1500000US261635418002,15
1500000US261635061002,15
1500000US261635413003,15
1500000US261635302002,15
1500000US261635250002,15
1500000US261635318003,15
1500000US261635156001,15
1500000US261635003003,15
1500000US261635353004,15
1500000US261635040002,15
1500000US261635113003,15
1500000US261635052004,15
1500000US261635322002,15
1500000US261635129001,15
1500000US261635079002,15
1500000US261635422003,15
1500000US261635080002,15
1500000US261635254002,15
1500000US261635152001,15
1500000US261635258001,15
1500000US261635372002,15
1500000US261635272001,15
1500000US261635121003,15
1500000US261635302004,15
1500000US261635309001,15
1500000US261635386002,15
1500000US261635161001,15
1500000US261635020001,15
1500000US261635168001,15
1500000US261635068002,15
1500000US260992589003,15
1500000US261635413001,15
1500000US261635461004,14
1500000US261635375002,14
1500000US261635018004,14
1500000US261635214001,14
1500000US261635347003,14
1500000US261635336003,14
1500000US261635044003,14
1500000US261635175003,14
1500000US261635324002,14
1500000US261635426002,14
1500000US261635005003,14
1500000US261635460005,14
1500000US261635069003,14
1500000US261635223002,14
1500000US261635393001,14
1500000US261635409001,14
1500000US261635064002,14
1500000US261635389002,14
1500000US261635353003,14
1500000US261635375003,14
1500000US261635461001,14
1500000US261635106003,14
1500000US261635020002,14
1500000US261635137002,14
1500000US261635061001,14
1500000US261635110001,14
1500000US261635377001,14
1500000US261635004001,14
1500000US261635458005,14
1500000US261635458001,14
1500000US261635375005,14
1500000US261635143002,14
1500000US261635371003,14
1500000US261635311002,14
1500000US261635415002,14
1500000US261635335002,13
1500000US261635424003,13
1500000US261635160002,13
1500000US261635345002,13
1500000US261635459004,13
1500000US261635332001,13
1500000US261635139001,13
1500000US261635387003,13
1500000US261635406002,13
1500000US261635465001,13
1500000US261635013004,13
1500000US261635163001,13
1500000US261635467003,13
1500000US261635421004,13
1500000US261635353001,13
1500000US261635017001,13
1500000US261635407002,13
1500000US261635427001,13
