AFFGEOID,count
1500000US120010004004,16
1500000US120010019022,15
1500000US120010007002,13
1500000US120010010003,10
1500000US120010004001,9
1500000US120010019021,8
1500000US120010003012,8
1500000US120010008091,7
1500000US120010015211,7
1500000US120010015191,6
1500000US120010003023,6
1500000US120010005004,6
1500000US120010015201,6
1500000US120010003021,6
1500000US120010006003,6
1500000US120010003011,5
1500000US120010008061,5
1500000US120010012023,5
1500000US120010002002,5
1500000US120010011003,5
1500000US120010015172,5
1500000US120010005001,5
1500000US120010018033,5
1500000US120010007003,5
1500000US120010012022,4
1500000US120010016044,4
1500000US120010016043,4
1500000US120010004002,4
1500000US120010002004,4
1500000US120010006001,4
1500000US120010009021,3
1500000US120010015171,3
1500000US120010015161,3
1500000US120010011002,3
1500000US120010015213,3
1500000US120010002003,3
1500000US120010010004,3
1500000US120010016041,3
1500000US120010012031,3
1500000US120010008082,2
1500000US120010018113,2
1500000US120010012032,2
1500000US120010018112,2
1500000US120010005002,2
1500000US120010015212,2
1500000US120010004003,2
1500000US120010018034,2
1500000US120010012021,2
1500000US120010018131,2
1500000US120010002005,2
1500000US120010002001,2
1500000US120010015153,2
1500000US120010017023,2
1500000US120010011001,1
1500000US120010022201,1
1500000US120010007001,1
1500000US120010010005,1
1500000US120010017021,1
1500000US120010018061,1
1500000US120010016031,1
1500000US120010015151,1
1500000US120010011004,1
1500000US120010003022,1
1500000US120010010002,1
1500000US120010012025,1
1500000US120010014003,1
1500000US120010002006,1
1500000US120010017022,1
1500000US120010015152,1
1500000US120010018023,1
