AFFGEOID,count
1500000US120010015213,530
1500000US120010006001,295
1500000US120010015191,263
1500000US120010005001,225
1500000US120010018033,181
1500000US120010017023,174
1500000US120010003012,173
1500000US120010002004,144
1500000US120010010003,135
1500000US120010004004,111
1500000US120010008091,103
1500000US120010015211,100
1500000US120010016041,95
1500000US120010002006,90
1500000US120010003011,89
1500000US120010008061,85
1500000US120010007002,84
1500000US120010007003,83
1500000US120010012032,76
1500000US120010015201,69
1500000US120010004001,66
1500000US120010006003,63
1500000US120010019022,62
1500000US120010003023,59
1500000US120010019021,59
1500000US120010015153,58
1500000US120010012031,53
1500000US120010005004,52
1500000US120010002001,49
1500000US120010011003,47
1500000US120010015141,45
1500000US120010011002,44
1500000US120010016031,44
1500000US120010002003,42
1500000US120010014003,41
1500000US120010005003,41
1500000US120010004002,41
1500000US120010012023,40
1500000US120010015172,40
1500000US120011108001,40
1500000US120010002002,39
1500000US120010015151,39
1500000US120010005002,39
1500000US120010003021,39
1500000US120010008082,38
1500000US120010009021,37
1500000US120010016043,37
1500000US120010016044,36
1500000US120010015171,35
1500000US120010002005,34
1500000US120010006002,33
1500000US120010015212,31
1500000US120010004003,27
1500000US120010012022,27
1500000US120010018131,26
1500000US120010010004,25
1500000US120010007001,25
1500000US120010015161,24
1500000US120010012011,23
1500000US120010003022,22
1500000US120010012025,19
1500000US120010018034,19
1500000US120010010002,15
1500000US120010016042,14
1500000US120010018112,14
1500000US120010005005,14
1500000US120010018031,14
1500000US120010022181,14
1500000US120010011001,13
1500000US120010017022,13
1500000US120010017021,13
1500000US120010018113,12
1500000US120010012021,11
1500000US120010010005,10
1500000US120010011004,10
1500000US120010010001,10
1500000US120010022201,10
1500000US120010019082,8
1500000US120010015162,7
1500000US120010022173,6
1500000US120010015152,6
1500000US120010018023,6
1500000US120010017011,6
1500000US120010012024,6
1500000US120010022193,6
1500000US120010022191,4
1500000US120010018032,4
1500000US120010008081,3
1500000US120010022072,3
1500000US120010008083,3
1500000US120010017012,2
1500000US120010007004,2
1500000US120010022171,1
1500000US120010021012,1
1500000US120010022043,1
1500000US120010018061,1
1500000US120010014001,1
1500000US120010009022,1
