AFFGEOID,count
1500000US482013341002,791
1500000US482014106001,756
1500000US482013125001,698
1500000US482014318022,672
1500000US482011000002,652
1500000US482019801001,574
1500000US482011000001,574
1500000US482011000003,567
1500000US482014308001,512
1500000US482013102001,483
1500000US482015323001,478
1500000US482012415003,477
1500000US482014101001,471
1500000US482013333002,460
1500000US482015106002,444
1500000US482013101002,439
1500000US482015102002,428
1500000US482012205001,426
1500000US482014106002,422
1500000US482013125002,415
1500000US482012325001,412
1500000US482015514003,410
1500000US482014328011,406
1500000US482015515001,367
1500000US482014110003,363
1500000US482015205001,361
1500000US482015217004,353
1500000US482012401002,348
1500000US482013131002,327
1500000US482013309001,323
1500000US482013506011,316
1500000US482014313011,308
1500000US482012401001,301
1500000US482014120002,301
1500000US482013131001,301
1500000US482014533001,297
1500000US482013339021,296
1500000US482015201001,287
1500000US482014319001,282
1500000US482013117001,280
1500000US482013333001,277
1500000US482013318001,275
1500000US482014328024,259
1500000US482014311012,259
1500000US482015106003,259
1500000US482015527002,258
1500000US482012227001,254
1500000US482014336003,253
1500000US482015111002,250
1500000US482013211001,250
1500000US482013144002,249
1500000US482015108004,247
1500000US482014531001,245
1500000US482014312012,241
1500000US482015418001,234
1500000US482013143001,233
1500000US482014532001,232
1500000US482015217003,231
1500000US482014113003,230
1500000US482012205003,230
1500000US482014522011,230
1500000US482014132022,229
1500000US482014334002,224
1500000US482014115012,224
1500000US482012327021,224
1500000US482013139001,223
1500000US482012327023,221
1500000US482015223022,216
1500000US482014310003,216
1500000US482014323004,215
1500000US482015432001,214
1500000US482015417003,214
1500000US482014133001,209
1500000US482015217001,207
1500000US482013332021,207
1500000US482013312002,206
1500000US482014319002,204
1500000US482013134002,202
1500000US482013308001,202
1500000US482015432002,199
1500000US482014307002,198
1500000US482014118001,196
1500000US482014520003,196
1500000US482015301001,196
1500000US482015315003,196
1500000US482014320012,193
1500000US482014107011,193
1500000US482015323004,192
1500000US482015501002,188
1500000US482013340011,188
1500000US482015218001,187
1500000US482012212003,187
1500000US482014544001,186
1500000US482015306002,186
1500000US482013322002,184
1500000US482014327022,184
1500000US482014327011,183
1500000US482014521002,182
1500000US482012226002,179
1500000US482013320003,178
1500000US482014320011,178
1500000US482012220001,177
1500000US482012302001,176
1500000US483396924003,175
1500000US482015333001,174
1500000US482014532003,174
1500000US482014329011,173
1500000US482015526011,173
1500000US482014513002,173
1500000US482013103003,173
1500000US482015502002,173
1500000US482013315006,172
1500000US482014321001,172
1500000US482014101002,171
1500000US482014324003,170
1500000US482014330031,170
1500000US482013143002,170
1500000US482012226001,168
1500000US482014222002,168
1500000US482013335001,168
1500000US482012406001,167
