AFFGEOID,count
1500000US482012415003,160
1500000US482013341002,112
1500000US482013333002,84
1500000US482012205001,83
1500000US482013117001,78
1500000US482013339021,78
1500000US482012401002,75
1500000US482014328024,69
1500000US482015205001,66
1500000US482015217004,66
1500000US482012220001,60
1500000US482011000001,55
1500000US482015111002,54
1500000US482013125001,52
1500000US482013333001,51
1500000US482013506011,48
1500000US482011000002,48
1500000US482012212003,48
1500000US482015514003,47
1500000US482014106001,47
1500000US482012325001,47
1500000US482012327021,47
1500000US482015201001,46
1500000US482013332021,45
1500000US483396923004,45
1500000US482015323001,44
1500000US482019801001,43
1500000US482012226002,43
1500000US482014308001,42
1500000US482014533001,42
1500000US482014328011,41
1500000US482013340022,39
1500000US482015217003,39
1500000US482015102002,39
1500000US482014231001,39
1500000US482014327022,38
1500000US482011000003,38
1500000US482015527002,38
1500000US482014532003,38
1500000US482015515001,38
1500000US482012227001,37
1500000US482012401001,37
1500000US482014336003,37
1500000US482012525001,37
1500000US482012214001,35
1500000US482013335003,34
1500000US482013337002,34
1500000US482012327023,34
1500000US482012226001,33
1500000US482014216001,33
1500000US482012225031,33
1500000US482013211001,33
1500000US482012215002,33
1500000US482013119001,32
1500000US482013102001,32
1500000US482014101001,31
1500000US483396924003,31
1500000US482013101002,31
1500000US482012205003,31
1500000US482012225012,30
1500000US482012215003,30
1500000US482014531001,30
1500000US482014334002,29
1500000US482014335024,29
1500000US482014327011,29
1500000US482014325001,29
1500000US482014532001,29
1500000US482013209001,28
1500000US482013340021,28
1500000US482014326002,28
1500000US482013340011,28
1500000US482014318022,28
1500000US482014544001,28
1500000US482014336002,27
1500000US482015335001,27
1500000US482014213002,27
1500000US482015337011,27
1500000US482014307002,27
1500000US482015335002,27
1500000US482012406001,26
1500000US482015205002,26
1500000US482013108001,26
1500000US482013329002,26
1500000US482014312012,26
1500000US482015418001,25
1500000US482014534032,25
1500000US482013309001,25
1500000US482014319001,25
1500000US482015321002,25
1500000US482014213001,25
1500000US482013201001,25
1500000US482014116002,25
1500000US482015301001,25
1500000US482013143001,24
1500000US482014331001,24
1500000US482013329001,24
1500000US482015217001,24
1500000US482013409002,24
1500000US482013206011,24
1500000US482015501002,24
1500000US482013213001,24
1500000US482013401001,23
1500000US482013210003,23
1500000US482015223022,23
1500000US482012415001,23
1500000US482013107002,23
1500000US482015526011,23
1500000US482012124002,23
1500000US482012206001,23
1500000US482013331002,23
1500000US482013139001,23
1500000US482014106002,22
1500000US482014522011,22
1500000US482012214003,22
1500000US482014335012,22
1500000US482015313003,22
1500000US482012225032,22
1500000US482015109002,21
1500000US482013132003,21
1500000US482014329011,21
1500000US482014201001,21
1500000US482015323004,21
1500000US482015323003,21
1500000US482012209001,21
1500000US482015106002,21
1500000US482014328012,21
1500000US482015217002,21
1500000US482014211021,21
1500000US482013206021,21
1500000US482014328022,21
1500000US482014229002,21
1500000US482014214031,21
1500000US482014313011,21
1500000US482014311012,21
1500000US482015214002,21
1500000US482014335023,20
1500000US482014222002,20
1500000US482012333002,20
1500000US482015315003,20
1500000US482013210005,20
1500000US482015502002,20
1500000US482015432001,20
1500000US482013308001,20
1500000US482012213004,20
1500000US482013209002,20
1500000US482015304002,20
1500000US482015306002,20
1500000US482013318001,20
1500000US482014214032,19
1500000US482014301003,19
1500000US482013312002,19
1500000US482014229001,19
1500000US482012224012,19
1500000US482013327002,19
1500000US482015224014,19
1500000US482015321001,19
1500000US482012215001,19
1500000US482013332012,18
1500000US482014117002,18
1500000US482015218001,18
1500000US482014401001,18
1500000US482014214022,18
1500000US482014320021,18
1500000US482015307003,18
1500000US482013335001,18
1500000US482015432002,18
1500000US482014522013,18
1500000US482013131001,18
1500000US482014521002,18
1500000US482019800001,18
1500000US482014218001,18
1500000US482013338002,18
1500000US482014320011,18
1500000US482013112002,17
1500000US482012312003,17
1500000US482014311022,17
1500000US482014132022,17
1500000US482014232023,17
1500000US482015333002,17
1500000US482015109003,17
1500000US482013328001,17
1500000US482012301001,17
1500000US482013112003,17
1500000US482012415002,17
1500000US482012225033,17
1500000US482012312002,17
1500000US482013207002,17
1500000US482012405012,17
1500000US482014323004,17
1500000US482013315006,17
1500000US482013303031,17
1500000US482015307001,17
1500000US482013207001,17
1500000US482015417003,16
1500000US482013328003,16
1500000US482012208002,16
1500000US482012306001,16
1500000US482013126002,16
1500000US482015213003,16
1500000US482015206021,16
1500000US482013322002,16
1500000US482015224022,16
1500000US482014227011,16
1500000US482013309002,16
1500000US482015301002,16
1500000US482013135003,16
1500000US482015305002,16
1500000US482012310001,16
1500000US482015330001,16
1500000US482015322001,16
1500000US482014333003,16
1500000US482014525002,16
1500000US482013211002,16
1500000US482014331002,16
1500000US482014324002,16
1500000US482013505002,16
1500000US482012511005,16
1500000US482012302001,16
1500000US482014225003,16
1500000US482015206011,16
1500000US482012125001,16
1500000US482014530003,16
1500000US482013140023,15
1500000US482012108001,15
1500000US482015115006,15
1500000US482014321001,15
1500000US482012311001,15
1500000US482014537003,15
1500000US482013143002,15
1500000US482013338001,15
1500000US482013134002,15
1500000US482012308001,15
1500000US482014232021,15
1500000US482013328002,15
1500000US482015223012,15
1500000US482015116004,15
1500000US482012225011,15
1500000US482014324003,15
1500000US482013410002,15
1500000US482012207001,15
1500000US482015333001,15
1500000US482013116003,15
1500000US482014327013,15
1500000US482014530002,14
1500000US482014523001,14
1500000US482013118003,14
1500000US482013340033,14
1500000US482014522022,14
1500000US482015337013,14
1500000US482012201001,14
1500000US482014212022,14
1500000US482012332003,14
1500000US482015104003,14
1500000US482013130001,14
1500000US482014115011,14
1500000US482013202001,14
1500000US482012326002,14
1500000US482013332011,14
1500000US482014534022,14
1500000US482014113001,14
1500000US482015304001,14
1500000US482012217002,14
1500000US482013138004,14
1500000US482013311004,14
1500000US482012327013,14
1500000US482015319001,14
1500000US482015332001,14
1500000US482014312021,14
1500000US482015314001,14
1500000US482012216003,14
1500000US482014335013,14
1500000US482015501001,14
1500000US482012204002,14
1500000US482015205003,14
1500000US482014508024,14
1500000US482012326001,14
1500000US482013326003,13
1500000US482015318001,13
1500000US482013115002,13
1500000US482012205002,13
1500000US482014212021,13
1500000US482015505002,13
1500000US482014335022,13
1500000US482014311021,13
1500000US482015224021,13
1500000US482014330022,13
1500000US482012309004,13
1500000US482012327012,13
1500000US482013201002,13
1500000US482012520001,13
1500000US482013137002,13
1500000US482013202004,13
1500000US482012213005,13
1500000US482014534023,13
1500000US482014529002,13
1500000US482015313002,13
1500000US482012311003,13
1500000US482014528021,13
1500000US482015111001,13
1500000US482015112003,13
1500000US482015301004,13
1500000US482014329021,13
1500000US482014313012,13
1500000US482014524004,13
1500000US482015204002,13
1500000US482013101001,13
1500000US482013339023,13
1500000US482014532002,12
1500000US482014328021,12
1500000US482014205003,12
1500000US482014224011,12
1500000US482015301003,12
1500000US482015402001,12
1500000US482014211012,12
1500000US482013143003,12
1500000US482015323002,12
1500000US482014401004,12
1500000US482015214004,12
1500000US482013126004,12
1500000US482014322003,12
1500000US482014110003,12
1500000US482014327012,12
1500000US482014321002,12
1500000US482014328013,12
1500000US482012204001,12
1500000US482015331001,12
1500000US482014332022,12
1500000US482015216001,12
1500000US482014211011,12
1500000US482014503002,12
1500000US482014330032,12
1500000US482013401002,12
1500000US482014212023,12
1500000US482013109002,12
1500000US482015224013,12
1500000US482012210001,12
1500000US482012305003,12
1500000US482014224012,12
1500000US482014314011,12
1500000US482015206023,12
1500000US482014521001,12
1500000US482015515002,11
1500000US482012311002,11
1500000US482012115005,11
1500000US482013144002,11
1500000US482012115002,11
1500000US482012405022,11
1500000US482012314001,11
1500000US482012211001,11
1500000US482013303032,11
1500000US482014215002,11
1500000US482013303023,11
1500000US482014325002,11
1500000US482013306001,11
1500000US482013205001,11
1500000US482012119003,11
1500000US482014101002,11
1500000US482014105004,11
1500000US482014330013,11
1500000US482012517002,11
1500000US482013136003,11
1500000US482015204001,11
1500000US482013315001,11
1500000US482014513002,11
1500000US482013210004,11
1500000US482012309002,11
1500000US482013112001,11
1500000US482014226003,11
1500000US482014224023,11
1500000US482012114001,11
1500000US482014525001,11
1500000US482014213003,11
1500000US482015322002,11
1500000US482013335002,11
1500000US482013213002,11
1500000US482014537002,11
1500000US482012405021,11
1500000US482013336001,11
1500000US482014228004,11
1500000US482012101001,11
1500000US482014332012,11
1500000US482013109005,11
1500000US482014528022,11
1500000US482013317001,11
1500000US482014519014,11
1500000US482012116001,11
1500000US482014535013,11
1500000US482012210002,11
1500000US482013332024,11
1500000US482013107001,11
1500000US482014335021,11
1500000US482015329002,11
1500000US482014329023,11
1500000US482014530001,11
1500000US482012307002,11
1500000US482013114001,11
1500000US482012125003,11
1500000US482012212001,10
1500000US482013311003,10
1500000US482013123001,10
1500000US482015303003,10
1500000US482012327011,10
1500000US482014102001,10
1500000US482014215003,10
1500000US482012111001,10
1500000US482014133002,10
1500000US482012213001,10
1500000US482015334004,10
1500000US482014334001,10
1500000US482014336001,10
1500000US482014508022,10
1500000US482013133001,10
1500000US482013136001,10
1500000US482013303011,10
1500000US482014227012,10
1500000US482013104002,10
1500000US482015219001,10
1500000US482015108001,10
1500000US482012315001,10
1500000US482014536022,10
1500000US482014222001,10
1500000US482014214011,10
1500000US482015320014,10
1500000US482014223021,10
1500000US482013316021,10
1500000US482014330031,10
1500000US482014520003,10
1500000US482013501002,10
1500000US482013119002,10
1500000US482012304002,10
1500000US482014230002,10
1500000US482015504021,10
1500000US482012116002,10
1500000US482013209003,10
1500000US482015331002,10
1500000US482013306004,10
1500000US482012405023,10
1500000US482012114003,10
1500000US482013413022,10
1500000US482014113003,10
1500000US482013330001,10
1500000US482013131002,10
1500000US482015316002,10
1500000US482013218002,10
1500000US482013109004,10
1500000US482013305001,10
1500000US482014508023,10
1500000US482015106003,10
1500000US482014524003,10
1500000US482012313001,10
1500000US482014234011,10
1500000US482015302002,10
1500000US482013111001,10
1500000US482013109003,9
1500000US482014222003,9
1500000US482012333001,9
1500000US482014324001,9
1500000US482014336004,9
1500000US482013339011,9
1500000US482015109001,9
1500000US482014233013,9
1500000US482015332002,9
1500000US482015321004,9
1500000US482013117002,9
1500000US482013136002,9
1500000US482015308001,9
1500000US482014524001,9
1500000US482013316011,9
1500000US482014531002,9
1500000US482012306002,9
1500000US482015101001,9
1500000US482012110002,9
1500000US482014537004,9
1500000US482014214012,9
1500000US482015222022,9
1500000US481576703002,9
1500000US482014510023,9
1500000US482014211023,9
1500000US482015112002,9
1500000US482014529001,9
1500000US482012113001,9
1500000US482013317003,9
1500000US482012123003,9
1500000US482013304002,9
1500000US482014216004,9
1500000US482014534024,9
1500000US482013210002,9
1500000US482012207005,9
1500000US482014230001,9
1500000US482014102003,9
1500000US482012114002,9
1500000US482013325001,9
1500000US482015216002,9
1500000US482013505001,9
1500000US482015324002,9
1500000US482015320013,9
1500000US482014231002,9
1500000US482014216002,9
1500000US482014332021,9
1500000US482015335003,9
1500000US482014519013,9
1500000US482015110011,9
1500000US482015206024,9
1500000US482014510012,9
1500000US482014105001,9
1500000US482015211001,9
1500000US482013322001,9
1500000US482014223011,9
1500000US482014335011,9
1500000US482015215003,9
1500000US482015108004,9
1500000US482014325003,8
1500000US482012225022,8
1500000US482015313001,8
1500000US482013312001,8
1500000US482013202003,8
1500000US482013127002,8
1500000US482014522014,8
1500000US482015321003,8
1500000US482012203003,8
1500000US482013139003,8
1500000US482013321001,8
1500000US482014129001,8
1500000US482012302002,8
1500000US482015306001,8
1500000US482013316012,8
1500000US482014509001,8
1500000US482012217001,8
1500000US482015334001,8
1500000US482014105002,8
1500000US482012112002,8
1500000US482012332004,8
1500000US482014230003,8
1500000US482013206023,8
1500000US482015105002,8
1500000US482013202002,8
1500000US482013213003,8
1500000US482013135002,8
1500000US482015110012,8
1500000US482015110021,8
1500000US482014536021,8
1500000US482012115003,8
1500000US482012123002,8
1500000US482012106002,8
1500000US482013118002,8
1500000US482012117001,8
1500000US482013205002,8
1500000US482014320012,8
1500000US482014313022,8
1500000US482014312024,8
1500000US482015305001,8
1500000US482014227013,8
1500000US482015312002,8
1500000US482014323001,8
1500000US482013110005,8
1500000US482015114003,8
1500000US482014322002,8
1500000US482013332022,8
1500000US482015319003,8
1500000US482012206002,8
1500000US482014120002,8
1500000US482012310002,8
1500000US482014329022,8
1500000US482012208001,8
1500000US482012216001,8
1500000US482015221004,8
1500000US482014323003,8
1500000US482014315021,8
1500000US482014133001,8
1500000US482014226001,8
1500000US482014327021,8
1500000US482012105001,8
1500000US482014514021,8
1500000US482015210001,8
1500000US482015107002,8
1500000US482014109001,8
1500000US482014224013,8
1500000US482013111003,8
1500000US482012302004,8
1500000US482013242001,8
1500000US482013302001,8
1500000US482013111004,8
1500000US482014212012,8
1500000US482014319002,8
1500000US482015224012,8
1500000US482013124001,8
1500000US482013337001,8
