AFFGEOID,count
1500000US482014106001,674
1500000US482013341002,674
1500000US482014318022,618
1500000US482011000002,569
1500000US482019801001,558
1500000US482013125001,527
1500000US482011000001,501
1500000US482014308001,484
1500000US482015323001,449
1500000US482011000003,448
1500000US482012415003,445
1500000US482013102001,442
1500000US482014101001,437
1500000US482015106002,423
1500000US482015102002,391
1500000US482013101002,380
1500000US482012325001,369
1500000US482014106002,367
1500000US482015514003,366
1500000US482013333002,344
1500000US482013125002,340
1500000US482014110003,338
1500000US482014328011,337
1500000US482015515001,333
1500000US482012205001,318
1500000US482015205001,305
1500000US482015217004,295
1500000US482013506011,295
1500000US482013131001,283
1500000US482012401002,281
1500000US482013309001,276
1500000US482013131002,269
1500000US482015201001,264
1500000US482014120002,262
1500000US482013339021,258
1500000US482014319001,257
1500000US482015106003,246
1500000US482014313011,239
1500000US482015111002,239
1500000US482015108004,237
1500000US482012401001,233
1500000US482015527002,232
1500000US482013144002,226
1500000US482012227001,222
1500000US482014132022,219
1500000US482014113003,219
1500000US482013211001,216
1500000US482013333001,215
1500000US482014311012,215
1500000US482014115012,214
1500000US482013117001,214
1500000US482014328024,206
1500000US482015418001,201
1500000US482014533001,200
1500000US482015417003,196
1500000US482015223022,196
1500000US482014310003,195
1500000US482015432001,193
1500000US482013139001,192
1500000US482013332021,188
1500000US482014334002,188
1500000US482015217003,186
1500000US482014118001,185
1500000US482014307002,184
1500000US482014323004,182
1500000US482013143001,181
1500000US482015301001,180
1500000US482015432002,180
1500000US482014133001,179
1500000US482014312012,179
1500000US482014532001,178
1500000US482014319002,177
1500000US482015217001,177
1500000US482013318001,174
1500000US482015218001,172
1500000US482014531001,168
1500000US482014320012,167
1500000US482012205003,167
1500000US482014522011,166
1500000US482012327023,166
1500000US482013308001,166
1500000US482014544001,164
1500000US482015315003,164
1500000US483396924003,161
1500000US482014107011,160
1500000US482014118003,157
1500000US482014101002,157
1500000US482015526011,156
1500000US482015323004,156
1500000US482013103003,155
1500000US482014520003,155
1500000US482015113014,154
1500000US482012327021,154
1500000US482013340011,152
1500000US482014103003,152
1500000US482013134002,150
1500000US482013312002,149
1500000US482014110002,148
1500000US482014320011,148
1500000US482013340022,147
1500000US482014102002,147
1500000US482014109001,146
1500000US482014115011,144
1500000US482012220001,144
1500000US482015102001,143
1500000US482015306002,143
1500000US482014336003,140
1500000US482014208001,140
1500000US482014521002,140
1500000US482014532003,140
1500000US482014513002,139
1500000US482014105003,139
1500000US482014327022,138
1500000US482015107002,137
1500000US483396923004,137
1500000US482014324003,136
1500000US482013340021,135
1500000US482014321001,135
1500000US482014115024,135
1500000US482013315006,135
1500000US482014104022,134
1500000US482012212003,134
1500000US482014105001,134
1500000US482014115021,133
1500000US482015302002,132
1500000US482012226002,131
1500000US482014211011,131
1500000US482014330031,131
1500000US482014104012,130
1500000US482014107014,129
1500000US482013132003,129
1500000US482013206021,129
1500000US482015108001,129
1500000US482015501002,128
1500000US482014326002,128
1500000US482015113011,127
1500000US482015323003,127
1500000US482015313002,127
1500000US482013143002,126
1500000US482014213001,126
1500000US482014105002,125
1500000US482014331001,124
1500000US482015112003,124
1500000US482015502002,124
1500000US482014516012,123
1500000US482013207002,123
1500000US482014107021,123
1500000US482014201001,123
1500000US482015109002,123
1500000US482013322002,122
1500000US482013123001,121
1500000US482013126004,121
1500000US482013126001,121
1500000US482014231001,121
1500000US482012124002,120
1500000US482015219001,120
1500000US482014504001,120
1500000US482013335003,119
1500000US482014203001,119
1500000US482014327011,118
1500000US482014505001,118
1500000US482015105002,118
1500000US482014325001,118
1500000US482014113002,117
1500000US482014102003,116
1500000US482013133001,115
1500000US482015307003,115
1500000US482012215002,115
1500000US482012333002,115
1500000US482014222002,114
1500000US482014313012,113
1500000US482014117002,113
1500000US482014521001,112
1500000US482014324002,112
1500000US482014522022,112
1500000US482015501001,112
1500000US482014510011,112
1500000US482014503002,111
1500000US482014509002,111
1500000US482014329011,111
1500000US482014320021,111
1500000US482014107012,111
1500000US482012326001,110
1500000US482015223012,110
1500000US482013332012,110
1500000US482012226001,109
1500000US482015116004,109
1500000US482012225031,109
1500000US482012415001,108
1500000US482013143003,108
1500000US482015333001,108
1500000US482015104003,108
1500000US482013410002,106
1500000US482014321002,106
1500000US482012406001,106
1500000US482013126002,105
1500000US482014116002,105
1500000US482013409002,105
1500000US482014108001,105
1500000US482013137002,104
1500000US482014514031,103
1500000US482014502001,103
1500000US482019800001,103
1500000US482015224022,103
1500000US482013107002,102
1500000US482013209001,102
1500000US482014510012,102
1500000US482015301003,102
1500000US482012214003,102
1500000US482012326002,101
1500000US482014108002,101
1500000US482014314022,101
1500000US482014530002,101
1500000US482013303011,100
1500000US482013335001,100
1500000US482014313021,99
1500000US482015301002,99
1500000US482012214001,99
1500000US482014317002,99
1500000US482015333002,99
1500000US482013213001,99
1500000US482014216001,99
1500000US482014335024,98
1500000US482013130001,98
1500000US482014118004,98
1500000US482014301003,98
1500000US482014513003,97
1500000US482015304002,97
1500000US482012520001,97
1500000US482014213002,97
1500000US482014509001,97
1500000US482012225012,97
1500000US482015337011,97
1500000US482015307001,97
1500000US482015220001,97
1500000US482014133002,97
1500000US482014113001,96
1500000US482012310001,96
1500000US482015322002,96
1500000US482014327021,96
1500000US482014222001,96
1500000US482014110001,95
1500000US482014312011,95
1500000US482014311022,94
1500000US482012312003,94
1500000US482015205002,94
1500000US482014401001,93
1500000US482013331002,93
1500000US482015216001,93
1500000US482015111001,92
1500000US482014105004,91
1500000US482015204002,91
1500000US482014510023,91
1500000US482014523001,91
1500000US482014312021,91
1500000US482014104013,91
1500000US482012332003,91
1500000US482013320003,91
1500000US482014318011,90
1500000US482013119001,90
1500000US482013311004,90
1500000US482014322003,90
1500000US482013101001,89
1500000US482012306001,89
1500000US482013138004,89
1500000US482015107001,89
1500000US482013206011,89
1500000US482013316021,89
1500000US482014313022,88
1500000US482015217002,88
1500000US482012525001,88
1500000US482013124003,88
1500000US482012314001,87
1500000US482014103002,87
1500000US482015321001,87
1500000US482015112002,86
1500000US482015321002,86
1500000US482013122001,86
1500000US482014531002,86
1500000US482014516021,86
1500000US482015335001,86
1500000US482013136001,85
1500000US482013337002,85
1500000US482014514021,85
1500000US482015210001,85
1500000US482014511001,85
1500000US482015204001,85
1500000US482014505002,84
1500000US482015224014,84
1500000US482014522021,84
1500000US482014129001,84
1500000US482014232021,84
1500000US482012301001,84
1500000US482014325002,84
1500000US482012215003,84
1500000US482012208002,84
1500000US482013401001,84
1500000US482015109001,84
1500000US482015305002,83
1500000US482015402001,83
1500000US482014525002,83
1500000US482014333003,83
1500000US482014335012,83
1500000US482014508023,83
1500000US482014214032,83
1500000US482013327002,82
1500000US482015104001,82
1500000US482015313003,82
1500000US482013126003,82
1500000US482014229001,82
1500000US482014530003,82
1500000US482015101001,82
1500000US482015312001,82
1500000US482012304003,82
1500000US482014314021,81
1500000US482014534023,81
1500000US482015205003,81
1500000US482012311001,81
1500000US482014534032,81
1500000US482014206002,80
1500000US482013332024,80
1500000US482014516022,80
1500000US482014323001,80
1500000US482015115007,80
1500000US482013339023,80
1500000US482015108006,80
1500000US482014328012,79
1500000US482015302001,79
1500000US482014314011,79
1500000US482013122002,79
1500000US482014104021,79
1500000US482012405012,79
1500000US482014119003,78
1500000US482012302001,78
1500000US482014211021,78
1500000US482014114001,78
1500000US482013339011,78
1500000US482015323002,78
1500000US482014129002,78
1500000US482012108001,78
1500000US482014530001,78
1500000US482013332022,78
1500000US482014224013,78
1500000US482014536021,77
1500000US482012105003,77
1500000US482014212023,77
1500000US482013135003,77
1500000US482014524004,77
1500000US482014225003,76
1500000US482013401002,76
1500000US482014510024,76
1500000US482013123002,75
1500000US482013312001,75
1500000US482014328022,75
1500000US482012114003,75
1500000US482014519014,75
1500000US482015221004,75
1500000US482015318001,75
1500000US482014311021,75
1500000US482014229002,75
1500000US482015330001,74
1500000US482013303032,74
1500000US482015311002,74
1500000US482013314001,74
1500000US482015115006,74
1500000US482015104002,74
1500000US482012511005,74
1500000US482012201001,73
1500000US482012117001,73
1500000US482012313002,73
1500000US482012312002,73
1500000US482014115022,73
1500000US482012206001,73
1500000US482013112003,73
1500000US482013319001,73
1500000US482014536011,72
1500000US482013302001,72
1500000US482014327013,72
1500000US482014214022,72
1500000US482013133002,72
1500000US482015110011,72
1500000US482014102001,71
1500000US482013340033,71
1500000US482015304001,71
1500000US482012415002,71
1500000US482013109004,71
1500000US482015206011,71
1500000US482013135002,71
1500000US482014330022,71
1500000US482014314012,71
1500000US482014227011,71
1500000US482013303023,71
1500000US482014215002,70
1500000US482015302003,70
1500000US482014312024,70
1500000US482014331002,70
1500000US482013316011,70
1500000US482013127002,69
1500000US482014118002,69
1500000US482012106004,69
1500000US482014510013,69
1500000US482014223011,69
1500000US482013129001,69
1500000US482014522013,68
1500000US482012306002,68
1500000US482014522014,68
1500000US482015110012,68
1500000US482015335002,68
1500000US482015213003,68
1500000US482012114002,68
1500000US482013132001,68
1500000US482013136003,67
1500000US482015108002,67
1500000US482012224012,67
1500000US482013210005,67
1500000US482015314001,67
1500000US482015331002,67
1500000US482012303001,67
1500000US482013329002,67
1500000US482014234011,67
1500000US482014536022,67
1500000US482012209001,67
1500000US482012104003,66
1500000US482012307003,66
1500000US482014528022,66
1500000US482012111001,66
1500000US482012215001,66
1500000US482012213004,66
1500000US482014336002,66
1500000US482014536023,65
1500000US482013211002,65
1500000US482013114001,65
1500000US482014211012,65
1500000US482013329001,65
1500000US482014318012,65
1500000US482012312001,65
1500000US482013139003,65
1500000US482013306002,65
1500000US482015224021,65
1500000US482012305003,64
1500000US482015320014,64
1500000US482013303031,64
1500000US482013207001,64
1500000US482012311003,64
1500000US482013330001,64
1500000US482013108001,64
1500000US482014528021,64
1500000US482015319001,63
1500000US482013309002,63
1500000US482012405022,63
1500000US482014332022,63
1500000US482012207001,63
1500000US482012225032,63
1500000US482014301005,62
1500000US482014122004,62
1500000US482014223021,62
1500000US482015103002,62
1500000US482013201001,62
1500000US482014535013,62
1500000US482015106001,62
1500000US482014215003,62
1500000US482012123003,62
1500000US482013136002,62
1500000US482013124001,62
1500000US482014332012,62
1500000US482015306001,61
1500000US482013413022,61
1500000US482014218001,61
1500000US482014226003,61
1500000US482015221003,61
1500000US482014515001,61
1500000US482013336001,61
1500000US482012113002,61
1500000US482014122003,60
1500000US482013140021,60
1500000US482014230001,60
1500000US482013140023,60
1500000US482012116002,60
1500000US482013501002,60
1500000US482015324001,60
1500000US482014525001,60
1500000US482013138001,59
1500000US482013306001,59
1500000US482015113023,59
1500000US482013338001,58
1500000US482015109003,58
1500000US482013322001,58
1500000US482012205002,58
1500000US482014224011,58
1500000US482012304002,58
1500000US482012310002,58
1500000US482014525003,58
1500000US482014529001,58
1500000US482014214031,58
1500000US482013303021,57
1500000US482014329023,57
1500000US482013328001,57
1500000US482013112002,57
1500000US482014315013,57
1500000US482013129002,57
1500000US482012333003,57
1500000US482013109003,57
1500000US482014537003,57
1500000US482014529002,57
