AFFGEOID,count
1500000US131210116232,58
1500000US131210116222,43
1500000US131210116261,36
1500000US131210116253,23
1500000US131210116121,23
1500000US131210114242,23
1500000US131210116132,22
1500000US131210116203,19
1500000US131210116131,18
1500000US131210114272,18
1500000US131210114251,16
1500000US131210116262,15
1500000US131210114241,14
1500000US131210116234,14
1500000US131210116172,14
1500000US131210116231,13
1500000US131210116221,13
1500000US131210116122,11
1500000US131210116251,11
1500000US131210114253,11
1500000US131210116223,11
1500000US131210114143,9
1500000US131210114252,9
1500000US131210114271,8
1500000US131210116252,8
1500000US131210114273,8
1500000US131210114142,6
1500000US131210116202,6
1500000US131210116241,5
1500000US131210116201,5
1500000US131210114261,5
1500000US131171306082,4
1500000US131210116233,4
1500000US131210116173,4
1500000US131210114121,3
1500000US131171306062,3
1500000US131210114101,3
1500000US131210116193,2
1500000US131171306081,1
1500000US131210114141,1
1500000US131171306041,1
