AFFGEOID,count
1500000US060372077101,982
1500000US060379800281,634
1500000US060372260021,498
1500000US060372060312,448
1500000US060372073012,445
1500000US060371907001,380
1500000US060372227001,368
1500000US060372079001,340
1500000US060372062002,330
1500000US060372060311,283
1500000US060371901002,271
1500000US060379800091,257
1500000US060372088011,252
1500000US060371133012,251
1500000US060371351113,249
1500000US060371945002,246
1500000US060372092001,238
1500000US060372073022,236
1500000US060372063003,236
1500000US060372063001,234
1500000US060372145012,223
1500000US060371901003,216
1500000US060371902011,209
1500000US060372756021,206
1500000US060372071021,188
1500000US060372327001,187
1500000US060372074001,181
1500000US060371254012,178
1500000US060372325001,173
1500000US060372051202,171
1500000US060372060101,171
1500000US060372079002,164
1500000US060372240201,162
1500000US060372075021,158
1500000US060372247003,157
1500000US060372111202,156
1500000US060372703003,155
1500000US060371351142,152
1500000US060372920002,149
1500000US060372679011,148
1500000US060372063002,147
1500000US060372060501,146
1500000US060371905101,145
1500000US060371253201,144
1500000US060372735022,143
1500000US060372312202,141
1500000US060372677002,140
1500000US060371910001,138
1500000US060372062001,138
1500000US060371439012,137
1500000US060372240101,137
1500000US060372073021,136
1500000US060372260011,135
1500000US060372326001,135
1500000US060371220002,133
1500000US060371941011,132
1500000US060371349051,128
1500000US060379800241,127
1500000US060372260012,125
1500000US060372361004,124
1500000US060372246002,124
1500000US060371920012,122
1500000US060371375011,122
1500000US060371902022,122
1500000US060372431002,119
1500000US060371910003,118
1500000US060372772002,118
1500000US060372219001,117
1500000US060372971101,116
1500000US060371349031,114
1500000US060372060201,113
1500000US060372411202,112
1500000US060371954002,112
1500000US060371287022,112
1500000US060372319001,108
1500000US060379800081,108
1500000US060372383203,107
1500000US060372111221,107
1500000US060371201041,107
1500000US060372741001,106
1500000US060371437001,106
1500000US060372033001,106
1500000US060371345201,106
1500000US060371413042,105
1500000US060371944011,104
1500000US060371990002,103
1500000US060372347003,103
1500000US060372149021,103
1500000US060372780012,102
1500000US060372423001,102
1500000US060372361001,101
1500000US060372392021,101
1500000US060372402002,101
1500000US060371277111,100
1500000US060372414002,100
1500000US060372911201,100
1500000US060372321203,100
1500000US060371285002,99
1500000US060372125021,99
1500000US060372240202,99
1500000US060372676002,98
1500000US060372260022,98
1500000US060372071011,97
1500000US060372294102,97
1500000US060372403001,97
1500000US060372286002,96
1500000US060371908012,96
1500000US060371252002,96
1500000US060371919012,96
1500000US060372121011,96
1500000US060372094022,95
1500000US060371394011,95
1500000US060372672003,94
1500000US060372405002,94
1500000US060372409004,94
1500000US060372406003,93
1500000US060371920023,93
1500000US060372132012,93
1500000US060372947012,93
1500000US060372402003,93
1500000US060372405004,92
1500000US060372083023,92
1500000US060372315001,92
1500000US060372384002,91
1500000US060372383102,91
1500000US060372151011,91
1500000US060371853202,91
1500000US060371899041,90
1500000US060371352011,90
1500000US060372197003,90
1500000US060371345202,90
1500000US060371944023,90
1500000US060372088022,89
1500000US060372911102,88
1500000US060371396002,88
1500000US060371351131,88
1500000US060372412022,88
1500000US060379800141,87
1500000US060371872002,87
1500000US060371909012,87
1500000US060371200301,87
1500000US060372201003,87
1500000US060371871022,86
1500000US060372217101,86
1500000US060372411204,86
1500000US060372352021,86
1500000US060372426003,85
1500000US060372652023,84
1500000US060371277112,84
1500000US060372754002,84
1500000US060371272103,84
1500000US060371975001,83
1500000US060372383201,83
1500000US060371873001,83
1500000US060371908011,83
1500000US060371278061,83
1500000US060379800311,83
1500000US060372947013,82
1500000US060372393101,82
1500000US060372244101,82
1500000US060371253103,82
1500000US060371926202,82
1500000US060371251002,82
1500000US060372943022,82
1500000US060372377102,82
1500000US060372406002,81
1500000US060371919011,81
1500000US060371271041,81
1500000US060372374012,81
1500000US060372317202,80
1500000US060371281021,80
1500000US060372734024,80
1500000US060372313003,80
1500000US060372404021,79
1500000US060372412021,79
1500000US060372328002,79
1500000US060372080001,79
1500000US060372912102,79
1500000US060372112021,79
1500000US060372376004,78
1500000US060372110006,78
1500000US060372772001,78
1500000US060372183001,78
1500000US060372398023,77
1500000US060371924202,77
1500000US060371134011,77
1500000US060371096041,77
