AFFGEOID,count
1500000US060372772002,74
1500000US060379800281,70
1500000US060372060312,63
1500000US060372260021,62
1500000US060372772001,59
1500000US060372077101,51
1500000US060372911201,47
1500000US060372327001,47
1500000US060372051202,46
1500000US060372947012,39
1500000US060372060501,38
1500000US060371990002,36
1500000US060372326001,34
1500000US060372079001,33
1500000US060372411202,32
1500000US060372060101,31
1500000US060372073012,31
1500000US060372092001,31
1500000US060372319001,29
1500000US060372240201,29
1500000US060372912102,28
1500000US060371174081,28
1500000US060371220002,28
1500000US060379800081,28
1500000US060372260012,28
1500000US060372920002,27
1500000US060372392021,27
1500000US060371272103,27
1500000US060372412022,27
1500000US060372414002,27
1500000US060371193201,26
1500000US060372941203,26
1500000US060371066042,26
1500000US060371271041,26
1500000US060372246002,25
1500000US060371211021,25
1500000US060371064061,25
1500000US060371172011,25
1500000US060371871022,25
1500000US060372411204,25
1500000US060372383201,25
1500000US060372062002,25
1500000US060371175302,25
1500000US060372408003,24
1500000US060372325001,24
1500000US060371901003,24
1500000US060379800141,24
1500000US060371041081,24
1500000US060372321203,24
1500000US060372294102,24
1500000US060372405004,23
1500000US060372412021,23
1500000US060372402002,23
1500000US060371278031,23
1500000US060371997001,23
1500000US060372971101,23
1500000US060371201082,23
1500000US060371281021,23
1500000US060372111221,23
1500000US060372060311,23
1500000US060372214012,22
1500000US060372294101,22
1500000US060372291001,22
1500000US060372756021,22
1500000US060372315001,21
1500000US060371349031,21
1500000US060371345202,21
1500000US060372405002,21
1500000US060371175201,21
1500000US060371907001,21
1500000US060372132012,21
1500000US060371254012,21
1500000US060372328002,21
1500000US060372392022,21
1500000US060371047041,21
1500000US060372260011,21
1500000US060371175101,21
1500000US060372946201,21
1500000US060371277111,21
1500000US060372398024,21
1500000US060371132333,21
1500000US060372404021,21
1500000US060371133012,21
1500000US060372047003,21
1500000US060371853202,20
1500000US060372395022,20
1500000US060372074001,20
1500000US060371222002,20
1500000US060372048103,20
1500000US060372409004,20
1500000US060372049202,20
1500000US060372913002,20
1500000US060372383101,20
1500000US060372377202,20
1500000US060372395012,20
1500000US060371991202,20
1500000US060372411201,19
1500000US060372071021,19
1500000US060372383102,19
1500000US060371197001,19
1500000US060372403001,19
1500000US060371273001,19
1500000US060372317201,19
1500000US060372943022,19
1500000US060372406002,19
1500000US060372911102,18
