AFFGEOID,count
1500000US060372077101,719
1500000US060379800281,584
1500000US060372060312,366
1500000US060372227001,336
1500000US060372260021,303
1500000US060372073012,283
1500000US060372060311,256
1500000US060372079001,252
1500000US060379800091,246
1500000US060371907001,238
1500000US060371351113,223
1500000US060371945002,222
1500000US060372062002,221
1500000US060371133012,212
1500000US060372756021,194
1500000US060372145012,188
1500000US060372092001,179
1500000US060371901002,172
1500000US060371901003,161
1500000US060372060101,156
1500000US060372073022,146
1500000US060371254012,141
1500000US060372074001,140
1500000US060371351142,133
1500000US060371902011,132
1500000US060372679011,132
1500000US060372079002,130
1500000US060372703003,129
1500000US060372920002,128
1500000US060372247003,124
1500000US060372677002,123
1500000US060372051202,122
1500000US060372071021,121
1500000US060371941011,119
1500000US060371349051,114
1500000US060372060501,113
1500000US060372240201,113
1500000US060371439012,112
1500000US060372075021,111
1500000US060371253201,109
1500000US060372772002,109
1500000US060372327001,108
1500000US060371375011,106
1500000US060371287022,103
1500000US060372735022,103
1500000US060371220002,102
1500000US060371920012,99
1500000US060371954002,97
1500000US060371413042,97
1500000US060372219001,96
1500000US060372063003,94
1500000US060372063001,94
1500000US060372111202,94
1500000US060372088011,94
1500000US060371349031,94
1500000US060371905101,93
1500000US060372741001,91
1500000US060371437001,91
1500000US060372240101,90
1500000US060371345201,90
1500000US060372260012,89
1500000US060372073021,88
1500000US060372151011,87
1500000US060372672003,86
1500000US060372149021,86
1500000US060371944011,85
1500000US060379800081,85
1500000US060371910003,85
1500000US060371910001,85
1500000US060372325001,83
1500000US060371944023,83
1500000US060372319001,81
1500000US060371872002,81
1500000US060379800241,81
1500000US060371201041,81
1500000US060372361004,81
1500000US060372246002,81
1500000US060372125021,80
1500000US060372326001,79
1500000US060371902022,79
1500000US060372676002,79
1500000US060372260011,79
1500000US060371990002,78
1500000US060372780012,78
1500000US060372754002,78
1500000US060372111221,77
1500000US060372312202,77
1500000US060371251002,77
1500000US060372121011,77
1500000US060371285002,77
1500000US060371252002,76
1500000US060371351131,76
1500000US060371873001,75
1500000US060372772001,75
1500000US060371277112,74
1500000US060372652023,73
1500000US060371871022,73
1500000US060372033001,73
1500000US060372947012,73
1500000US060372911201,72
1500000US060372110006,71
1500000US060371975001,71
1500000US060371438003,71
1500000US060372971101,71
1500000US060371899041,71
1500000US060372361001,71
1500000US060372244101,70
1500000US060371352011,70
1500000US060371920021,69
1500000US060371897013,69
1500000US060371394011,69
1500000US060371920023,69
1500000US060371944022,68
1500000US060372132012,68
1500000US060372060201,67
1500000US060372071011,67
1500000US060371413021,67
1500000US060372201003,66
1500000US060371271041,66
1500000US060371919012,66
1500000US060372392021,66
1500000US060371881001,66
1500000US060371919011,66
1500000US060371272103,65
1500000US060372414002,65
1500000US060371211021,64
1500000US060371908012,64
1500000US060371924202,64
1500000US060371396002,64
1500000US060372071032,63
1500000US060372286002,63
1500000US060371345202,63
1500000US060371253103,63
1500000US060371412012,63
1500000US060372217101,63
1500000US060372240202,62
1500000US060371439011,62
1500000US060371397012,62
1500000US060372260022,62
1500000US060371436041,62
1500000US060372912102,61
1500000US060379800311,61
1500000US060372411202,60
1500000US060371239013,59
1500000US060372655203,59
1500000US060371277111,59
1500000US060372321203,59
1500000US060371897021,59
1500000US060371431003,58
1500000US060371436042,58
1500000US060372913002,58
1500000US060372128002,58
1500000US060371397031,58
1500000US060372294102,57
1500000US060371197001,57
1500000US060372112021,57
1500000US060372088022,57
1500000US060372699071,57
1500000US060372127011,57
1500000US060371132371,57
1500000US060372943022,56
1500000US060371200301,56
1500000US060371864012,56
1500000US060372734024,56
1500000US060371899021,56
1500000US060371132333,56
1500000US060371272202,56
1500000US060371096041,56
1500000US060379800141,56
1500000US060372118021,56
1500000US060371413031,56
1500000US060371899052,55
1500000US060371133032,55
1500000US060372080001,55
1500000US060371134212,55
1500000US060372402002,55
1500000US060372405004,55
1500000US060372699031,55
1500000US060372315001,55
1500000US060371413023,55
1500000US060372947013,55
1500000US060371997002,55
1500000US060371154011,54
1500000US060372402003,54
1500000US060371134011,54
1500000US060371853202,54
1500000US060372431002,54
1500000US060371414003,54
1500000US060372676003,53
1500000US060371082021,53
1500000US060372735023,53
1500000US060377030023,53
1500000US060371284004,52
1500000US060372398023,52
1500000US060372739023,52
1500000US060372118022,52
1500000US060371926202,52
1500000US060372141004,52
1500000US060371398021,51
1500000US060371920022,51
1500000US060371436022,51
1500000US060372932023,51
1500000US060372247002,51
1500000US060372114101,51
1500000US060372672001,51
1500000US060371345221,50
1500000US060372962203,50
1500000US060371273001,50
1500000US060371288021,50
1500000US060372760003,50
1500000US060371043204,50
1500000US060372126101,50
1500000US060371174081,50
1500000US060371278031,50
1500000US060371991202,50
1500000US060371904011,49
1500000US060371918201,49
1500000US060371222002,49
1500000US060371392003,49
1500000US060371172011,49
1500000US060372963002,49
1500000US060371281021,49
1500000US060371061141,49
1500000US060371395041,49
1500000US060372395022,49
1500000US060372405002,49
1500000US060379800101,48
1500000US060372673002,48
1500000US060372760001,48
1500000US060371974201,48
1500000US060372734022,48
1500000US060371371041,48
1500000US060371898002,48
1500000US060371133212,48
1500000US060372403001,48
1500000US060372319002,48
1500000US060372412022,48
1500000US060371347202,48
1500000US060371955001,47
1500000US060372719023,47
1500000US060371247003,47
1500000US060371810002,47
1500000US060372384002,47
1500000US060372761001,47
1500000US060372382001,47
1500000US060371395021,47
1500000US060371944021,47
1500000US060372294101,47
1500000US060371233041,47
1500000US060372214012,47
1500000US060371210102,47
1500000US060372328002,47
1500000US060372127021,47
1500000US060372347003,46
1500000US060372372024,46
1500000US060372701003,46
1500000US060371908011,46
1500000US060372413001,46
1500000US060371318002,46
1500000US060371375022,46
1500000US060371375021,46
1500000US060371977002,46
1500000US060372423001,46
1500000US060371912011,46
1500000US060372115003,45
1500000US060372240102,45
1500000US060372412021,45
1500000US060372148001,45
1500000US060372643023,45
1500000US060371349041,45
1500000US060371233012,45
1500000US060371394021,45
1500000US060372201001,45
1500000US060372115002,45
1500000US060372671003,45
1500000US060372411204,44
1500000US060371394012,44
1500000US060372735021,44
1500000US060372183001,44
1500000US060371973003,44
1500000US060372122031,44
1500000US060371851002,44
1500000US060372696013,44
1500000US060372383201,44
1500000US060371997001,44
1500000US060372148002,44
1500000US060372091022,44
1500000US060372911102,44
1500000US060371927001,44
1500000US060371112021,43
1500000US060372655101,43
1500000US060372197003,43
1500000US060371925202,43
1500000US060371272102,43
1500000US060372131002,43
1500000US060371438001,43
1500000US060372123031,43
1500000US060372742023,43
1500000US060371908022,43
1500000US060372164012,43
1500000US060372292002,43
1500000US060371287023,42
1500000US060372383102,42
1500000US060372317201,42
1500000US060372134022,42
1500000US060371371032,42
1500000US060371041081,42
1500000US060371271022,42
1500000US060372406003,42
1500000US060372083023,42
1500000US060372393101,42
1500000US060371951004,42
1500000US060371954004,42
1500000US060372426003,42
1500000US060371274001,42
1500000US060372140003,42
1500000US060371897012,42
1500000US060372678003,42
1500000US060372643013,42
1500000US060371411012,42
1500000US060372086203,42
1500000US060372042002,42
1500000US060372409004,42
1500000US060371316001,42
1500000US060372674022,41
1500000US060372121012,41
1500000US060372181101,41
1500000US060372113201,41
1500000US060371912012,41
1500000US060371175201,41
1500000US060371913022,41
1500000US060372291001,41
1500000US060372643022,41
1500000US060372409001,41
1500000US060372400201,41
1500000US060372404021,41
1500000US060372035001,41
1500000US060371278061,41
1500000US060371343061,41
1500000US060371901001,40
1500000US060371916102,40
1500000US060371919022,40
1500000US060372200002,40
1500000US060372766011,40
1500000US060371066481,40
1500000US060372717013,40
1500000US060372110001,40
1500000US060371903012,40
1500000US060371281022,40
1500000US060371132131,40
1500000US060371021031,40
1500000US060371977001,40
1500000US060372187021,40
1500000US060371064061,40
1500000US060372674041,40
1500000US060371375012,40
1500000US060372352021,40
1500000US060372371022,40
1500000US060371413041,40
1500000US060372626043,40
1500000US060371152022,40
1500000US060372118031,39
1500000US060371193411,39
1500000US060372172004,39
1500000US060372382004,39
1500000US060371173024,39
1500000US060372383101,39
1500000US060371434002,39
1500000US060372627041,39
1500000US060371310101,39
1500000US060372771003,39
1500000US060372049202,39
1500000US060372345012,39
1500000US060371231032,39
1500000US060372397024,39
1500000US060371956002,39
1500000US060372062001,39
1500000US060372316003,39
1500000US060372377101,39
1500000US060371060101,39
1500000US060371066042,39
1500000US060372427005,39
1500000US060371276041,38
1500000US060372643012,38
1500000US060372377202,38
1500000US060371952023,38
1500000US060372392022,38
1500000US060372317202,38
1500000US060371239022,38
1500000US060372395023,38
1500000US060372133102,38
1500000US060371082012,38
1500000US060371370001,38
1500000US060371398011,38
1500000US060372362022,38
1500000US060371990003,38
1500000US060372406002,38
1500000US060372404013,38
1500000US060372060323,38
1500000US060371193201,38
1500000US060371437002,38
1500000US060372170023,37
1500000US060372397021,37
1500000US060372294202,37
1500000US060372623021,37
1500000US060371310201,37
1500000US060371201082,37
1500000US060371395022,37
1500000US060372270101,37
1500000US060371241021,37
1500000US060372123041,37
1500000US060372393301,37
1500000US060372737003,37
1500000US060372311002,37
1500000US060371896001,37
1500000US060372395012,37
1500000US060371882011,37
1500000US060371065103,37
1500000US060372911301,37
1500000US060372736004,37
1500000US060372397012,37
1500000US060372046002,37
1500000US060372170021,37
1500000US060372147002,37
1500000US060371372013,37
1500000US060371282102,37
1500000US060372404012,37
1500000US060371151031,37
1500000US060371434001,36
1500000US060372346001,36
1500000US060371175302,36
1500000US060372911101,36
1500000US060372382002,36
1500000US060372244202,36
1500000US060372420002,36
1500000US060372398024,36
1500000US060372182202,36
1500000US060372421001,36
1500000US060371907002,36
1500000US060372675011,36
1500000US060372641021,36
1500000US060372781022,36
1500000US060371274003,36
1500000US060371175101,36
1500000US060372226003,36
1500000US060372377102,36
1500000US060372408003,36
1500000US060371958042,36
1500000US060372318002,36
1500000US060372733001,36
1500000US060371321023,36
1500000US060372761003,36
1500000US060372044201,36
1500000US060372407001,36
1500000US060371285001,35
1500000US060371252001,35
1500000US060372013012,35
1500000US060372047001,35
1500000US060371212101,35
1500000US060372679022,35
1500000US060371340011,35
1500000US060372063002,35
1500000US060372060322,35
1500000US060371235201,35
1500000US060372371011,35
1500000US060372113202,35
1500000US060371958032,35
1500000US060372094012,35
1500000US060372383203,35
1500000US060371288022,35
1500000US060371925102,35
1500000US060371113022,35
1500000US060371254021,35
1500000US060371975003,35
1500000US060371872001,35
1500000US060372373004,35
1500000US060371218023,35
1500000US060372163002,35
1500000US060371221223,35
1500000US060371415001,35
1500000US060371279102,35
1500000US060371231031,35
1500000US060371288011,35
1500000US060372323003,35
1500000US060372126201,35
1500000US060372145011,34
1500000US060372211202,34
1500000US060371974202,34
1500000US060371956003,34
1500000US060372966001,34
1500000US060372212202,34
1500000US060371284003,34
1500000US060371239011,34
1500000US060372766042,34
1500000US060372211102,34
1500000US060372149011,34
1500000US060371047041,34
1500000US060371349011,34
1500000US060372117013,34
1500000US060371374011,34
1500000US060372731003,34
1500000US060372046001,34
1500000US060371081021,34
1500000US060371152013,34
1500000US060371953003,34
1500000US060372718012,34
1500000US060371909012,34
1500000US060372084022,34
1500000US060371255011,34
1500000US060372115001,34
1500000US060371911101,34
1500000US060372672002,34
1500000US060372971102,34
1500000US060371249032,34
1500000US060371232061,34
1500000US060372405003,33
1500000US060371238003,33
1500000US060371331001,33
1500000US060372089022,33
1500000US060372655201,33
1500000US060371211023,33
1500000US060371945001,33
1500000US060371151042,33
1500000US060372966002,33
1500000US060372375002,33
1500000US060371374022,33
1500000US060372346004,33
1500000US060372374012,33
1500000US060372733003,33
1500000US060372674031,33
