AFFGEOID,count
1500000US240317038001,350
1500000US240317025001,324
1500000US240317025004,168
1500000US240317024023,143
1500000US240317003092,125
1500000US240317007132,121
1500000US240317009041,106
1500000US240317007231,105
1500000US240317008161,102
1500000US240317009011,98
1500000US240317012021,95
1500000US240317048041,94
1500000US240317024022,93
1500000US240317032011,90
1500000US240317007061,89
1500000US240317008173,85
1500000US240317003041,83
1500000US240317015083,83
1500000US240317008171,78
1500000US240317007181,78
1500000US240317012111,76
1500000US240317014211,71
1500000US240317003121,67
1500000US240317015052,66
1500000US240317012191,66
1500000US240317060122,65
1500000US240317014221,65
1500000US240317012183,64
1500000US240317009021,64
1500000US240317010071,62
1500000US240317014233,61
1500000US240317017031,61
1500000US240317009012,59
1500000US240317015093,59
1500000US240317009042,58
1500000US240317012162,56
1500000US240317024011,56
1500000US240317001041,55
1500000US240317031001,55
1500000US240317029004,54
1500000US240317007221,53
1500000US240317039022,53
1500000US240317048062,53
1500000US240317007232,52
1500000US240317008162,52
1500000US240317009031,52
1500000US240317015034,52
1500000US240317013152,51
1500000US240317015092,50
1500000US240317032142,50
1500000US240317014102,49
1500000US240317003111,48
1500000US240317008343,47
1500000US240317017012,47
1500000US240317017042,47
1500000US240317048031,45
1500000US240317008103,45
1500000US240317007172,45
1500000US240317032162,45
1500000US240317007042,45
1500000US240317025002,45
1500000US240317017041,44
1500000US240317007193,44
1500000US240317001033,44
1500000US240317008121,43
1500000US240317015053,43
1500000US240317015033,43
1500000US240317007241,43
1500000US240317003113,43
1500000US240317032072,42
1500000US240317023012,42
1500000US240317014201,42
1500000US240317034033,42
1500000US240317012112,42
1500000US240317016011,42
1500000US240317007182,42
1500000US240317014181,41
1500000US240317032122,40
1500000US240317034014,40
1500000US240317026014,39
1500000US240317002051,38
1500000US240317015091,38
1500000US240317032152,38
1500000US240317003091,38
1500000US240317011022,38
1500000US240317048061,37
1500000US240317003044,37
1500000US240317033021,37
1500000US240317008122,37
1500000US240317010051,37
1500000US240317008182,37
1500000US240317012163,35
1500000US240317007222,35
1500000US240317013081,34
1500000US240317014103,34
1500000US240317042002,34
1500000US240317020003,34
1500000US240317032124,34
1500000US240317026021,34
1500000US240317032071,34
1500000US240317031003,33
1500000US240317017011,33
1500000US240317007162,33
1500000US240317008332,32
1500000US240317008342,32
1500000US240317014172,32
1500000US240317027001,31
1500000US240317003101,31
1500000US240317007173,31
1500000US240317012012,31
1500000US240317007223,30
1500000US240317010012,30
1500000US240317036011,30
1500000US240317019001,30
1500000US240317032014,30
1500000US240317009022,30
1500000US240317014155,29
1500000US240317057013,29
1500000US240317028001,29
1500000US240317017033,29
1500000US240317014173,29
1500000US240317007112,29
1500000US240317007171,29
1500000US240317048051,29
1500000US240317032141,28
1500000US240317010011,28
1500000US240317016024,28
1500000US240317008131,28
1500000US240317012053,28
1500000US240317014141,28
1500000US240317022001,28
1500000US240317048033,27
1500000US240317014093,27
1500000US240317007111,27
1500000US240317050001,26
1500000US240317012135,26
1500000US240317015062,26
1500000US240317007151,26
1500000US240317017021,26
1500000US240317032021,26
1500000US240317003062,26
1500000US240317042001,26
1500000US240317060123,26
1500000US240317007202,26
1500000US240317006143,26
1500000US240317011012,26
1500000US240317008221,26
1500000US240317020002,26
1500000US240317010072,25
1500000US240317037021,25
1500000US240317050004,25
1500000US240317017032,25
1500000US240317014092,25
1500000US240317008183,25
1500000US240317001052,25
1500000US240317008321,25
1500000US240317012141,25
1500000US240317020001,25
1500000US240317008201,25
1500000US240317001051,25
1500000US240317018003,24
1500000US240317006162,24
1500000US240317008341,24
1500000US240317044011,24
1500000US240317036021,24
1500000US240317008132,24
1500000US240317060053,24
1500000US240317014144,24
1500000US240317051002,24
1500000US240317008292,24
1500000US240317040004,24
1500000US240317031004,24
1500000US240317032151,24
1500000US240317026012,24
1500000US240317056013,23
1500000US240317008152,23
1500000US240317014222,23
1500000US240317007211,23
1500000US240317002072,23
1500000US240317060083,23
1500000US240317013071,23
1500000US240317054002,22
1500000US240317023011,22
1500000US240317028004,22
1500000US240317007161,22
1500000US240317008111,22
1500000US240317012013,22
1500000US240317008134,22
1500000US240317008102,22
1500000US240317040003,22
1500000US240317039013,22
1500000US240317008262,22
1500000US240317007104,21
1500000US240317007192,21
1500000US240317027004,21
1500000US240317060092,21
1500000US240317035021,21
1500000US240317013162,21
1500000US240317008184,21
1500000US240317056021,21
1500000US240317060091,21
1500000US240317032201,21
1500000US240317024012,21
1500000US240317018004,21
1500000US240317032062,21
1500000US240317039011,21
1500000US240317018002,21
1500000US240317018001,21
1500000US240317008193,21
1500000US240317008301,20
1500000US240317011014,20
1500000US240317029002,20
1500000US240317006142,20
1500000US240317008291,20
1500000US240317021011,20
1500000US240317014204,20
1500000US240317032101,20
1500000US240317033014,20
1500000US240317007153,20
1500000US240317026013,20
1500000US240317008281,20
1500000US240317008331,20
1500000US240317014174,20
1500000US240317012134,20
1500000US240317013142,19
1500000US240317032213,19
1500000US240317008181,19
1500000US240317048032,19
1500000US240317021014,19
1500000US240317045011,19
1500000US240317014153,19
1500000US240317006134,19
1500000US240317016021,19
1500000US240317034021,19
1500000US240317032132,19
1500000US240317023021,18
1500000US240317055023,18
1500000US240317014072,18
1500000US240317057011,18
1500000US240317036013,18
1500000US240317007212,18
1500000US240317006131,18
1500000US240317007133,18
