AFFGEOID,count
1500000US240317025001,295
1500000US240317038001,282
1500000US240317025004,136
1500000US240317024023,126
1500000US240317003092,100
1500000US240317009041,95
1500000US240317012021,95
1500000US240317007231,93
1500000US240317008161,90
1500000US240317048041,88
1500000US240317009011,86
1500000US240317024022,85
1500000US240317007132,85
1500000US240317007061,78
1500000US240317003041,74
1500000US240317007181,70
1500000US240317015083,69
1500000US240317008171,69
1500000US240317032011,67
1500000US240317012111,65
1500000US240317014211,65
1500000US240317003121,63
1500000US240317012183,63
1500000US240317008173,60
1500000US240317060122,58
1500000US240317010071,58
1500000US240317012191,58
1500000US240317009021,57
1500000US240317009042,53
1500000US240317014221,53
1500000US240317009012,53
1500000US240317014233,52
1500000US240317024011,52
1500000US240317017031,52
1500000US240317012162,51
1500000US240317029004,50
1500000US240317008162,49
1500000US240317007232,49
1500000US240317048062,49
1500000US240317015052,48
1500000US240317013152,48
1500000US240317015093,48
1500000US240317015034,46
1500000US240317009031,46
1500000US240317031001,45
1500000US240317001041,43
1500000US240317025002,43
1500000US240317039022,43
1500000US240317017042,43
1500000US240317008103,41
1500000US240317048031,41
1500000US240317017012,41
1500000US240317007221,41
1500000US240317007042,40
1500000US240317032142,40
1500000US240317015053,40
1500000US240317017041,40
1500000US240317014102,40
1500000US240317014201,38
1500000US240317012112,38
1500000US240317007182,38
1500000US240317007193,38
1500000US240317003113,38
1500000US240317007172,38
1500000US240317015092,38
1500000US240317014181,37
1500000US240317032152,36
1500000US240317023012,36
1500000US240317010051,36
1500000US240317026014,36
1500000US240317032122,36
1500000US240317008343,36
1500000US240317007241,35
1500000US240317034033,35
1500000US240317011022,35
1500000US240317015033,35
1500000US240317001033,35
1500000US240317012163,34
1500000US240317014103,34
1500000US240317032162,34
1500000US240317015091,34
1500000US240317007222,34
1500000US240317026021,34
1500000US240317042002,33
1500000US240317002051,33
1500000US240317003111,33
1500000US240317008122,33
1500000US240317003091,32
1500000US240317003044,32
1500000US240317008121,32
1500000US240317048061,32
1500000US240317014172,32
1500000US240317007162,31
1500000US240317031003,31
1500000US240317032072,31
1500000US240317017011,30
1500000US240317016011,30
1500000US240317033021,30
1500000US240317032124,29
1500000US240317007112,29
1500000US240317009022,28
1500000US240317032014,28
1500000US240317014155,28
1500000US240317003101,28
1500000US240317013081,28
1500000US240317007223,28
1500000US240317008342,28
1500000US240317028001,28
1500000US240317057013,28
1500000US240317022001,27
1500000US240317027001,27
1500000US240317014141,27
1500000US240317012053,27
1500000US240317020003,27
1500000US240317012135,26
1500000US240317060123,26
1500000US240317012012,26
1500000US240317016024,26
1500000US240317034014,26
1500000US240317012141,25
1500000US240317007171,25
1500000US240317048051,25
1500000US240317042001,25
1500000US240317010011,25
1500000US240317008332,25
1500000US240317007151,24
1500000US240317044011,24
1500000US240317032071,24
1500000US240317014173,24
1500000US240317050004,24
1500000US240317008182,24
1500000US240317050001,24
1500000US240317060053,24
1500000US240317010012,24
1500000US240317048033,24
1500000US240317017032,23
1500000US240317001051,23
1500000US240317036021,23
1500000US240317006162,23
1500000US240317056013,23
1500000US240317032021,23
1500000US240317060083,23
1500000US240317015062,23
1500000US240317054002,22
1500000US240317008131,22
1500000US240317017033,22
1500000US240317040004,22
1500000US240317002072,22
1500000US240317003062,22
1500000US240317007173,22
1500000US240317018003,21
1500000US240317007202,21
1500000US240317014222,21
1500000US240317019001,21
1500000US240317060091,21
1500000US240317018004,21
1500000US240317007111,21
1500000US240317014092,21
1500000US240317026012,21
1500000US240317017021,20
1500000US240317013162,20
1500000US240317007161,20
1500000US240317056021,20
1500000US240317008292,20
1500000US240317028004,20
1500000US240317008281,20
1500000US240317008221,20
1500000US240317012134,20
1500000US240317008102,20
1500000US240317011012,20
1500000US240317032141,20
1500000US240317026013,20
1500000US240317008201,20
1500000US240317051002,20
1500000US240317007192,20
1500000US240317014093,20
1500000US240317014204,20
1500000US240317060092,20
1500000US240317029002,19
1500000US240317048032,19
1500000US240317008134,19
1500000US240317001052,19
1500000US240317007153,19
1500000US240317012013,19
1500000US240317018002,19
1500000US240317008132,19
1500000US240317008193,19
1500000US240317018001,19
1500000US240317036011,19
1500000US240317020001,19
1500000US240317045011,19
1500000US240317014153,19
1500000US240317039011,19
1500000US240317024012,19
1500000US240317035021,19
1500000US240317008321,18
1500000US240317023021,18
1500000US240317013071,18
1500000US240317040003,18
1500000US240317031004,18
1500000US240317023011,18
1500000US240317011023,18
1500000US240317011014,18
1500000US240317032201,18
1500000US240317013142,18
1500000US240317057011,18
1500000US240317033014,18
1500000US240317008262,18
1500000US240317007211,18
1500000US240317027004,18
1500000US240317032213,17
1500000US240317032062,17
1500000US240317033012,17
1500000US240317039013,17
1500000US240317032061,17
1500000US240317014144,17
1500000US240317008261,17
1500000US240317014081,17
1500000US240317040001,17
1500000US240317032022,17
1500000US240317020002,17
1500000US240317008184,17
1500000US240317032132,17
1500000US240317006134,17
1500000US240317036013,17
1500000US240317008341,17
1500000US240317006143,17
1500000US240317013031,16
1500000US240317008231,16
1500000US240317008291,16
1500000US240317014072,16
1500000US240317003083,16
1500000US240317056022,16
1500000US240317060073,16
1500000US240317045032,16
1500000US240317008152,16
1500000US240317006142,16
1500000US240317012142,16
1500000US240317039021,16
1500000US240317041003,16
1500000US240317041004,16
1500000US240317014174,16
1500000US240317032133,16
1500000US240317012052,16
1500000US240317044041,16
1500000US240317055023,16
1500000US240317032101,16
1500000US240317039012,16
1500000US240317034021,16
1500000US240317028003,16
1500000US240317002081,16
1500000US240317008331,16
1500000US240317010043,16
1500000US240317010072,16
1500000US240338052012,16
1500000US240317008194,15
1500000US240317005003,15
1500000US240317037021,15
1500000US240317014203,15
1500000US240317006131,15
1500000US240317007152,15
1500000US240317005001,15
1500000US240317050002,15
1500000US240317021013,15
1500000US240317007104,15
1500000US240317017013,15
1500000US240317008263,15
1500000US240317011015,15
1500000US240317010021,15
1500000US240317007062,15
1500000US240317032202,15
1500000US240317008113,15
1500000US240317010042,15
1500000US240317008183,15
1500000US240317046001,15
1500000US240317032151,15
1500000US240317035012,15
1500000US240317045031,14
1500000US240317003043,14
1500000US240317013032,14
1500000US240317008241,14
1500000US240317021014,14
1500000US240317052002,14
1500000US240317012061,14
1500000US240317003123,14
1500000US240317008133,14
1500000US240317034022,14
1500000US240317016021,14
1500000US240317036012,14
1500000US240317003122,14
1500000US240317008164,14
1500000US240317021011,14
1500000US240317060052,14
1500000US240317015082,14
1500000US240317002071,14
1500000US240317012011,14
1500000US240317014083,14
1500000US240317008172,14
1500000US240317008181,14
1500000US240317013131,14
1500000US240317043003,14
1500000US240317005002,14
1500000US240317015063,14
1500000US240317047001,14
1500000US240317007212,14
1500000US240317007041,13
1500000US240317035014,13
1500000US240317014101,13
1500000US240317022002,13
1500000US240317055021,13
1500000US240317011013,13
1500000US240317021023,13
1500000US240317016022,13
1500000US240317006132,13
1500000US240317044012,13
1500000US240317027002,13
1500000US240317013082,13
1500000US240317032182,13
1500000US240317057022,13
1500000US240317032092,13
1500000US240317008111,13
1500000US240317001053,13
1500000US240317001042,13
1500000US240317012131,13
1500000US240317012064,13
1500000US240317028002,13
1500000US240317021021,13
1500000US240317035022,13
1500000US240317014073,13
1500000US240317008151,13
1500000US240317003103,13
1500000US240317012212,13
1500000US240317052001,13
1500000US240317007101,12
1500000US240317030002,12
1500000US240317015071,12
1500000US240317030001,12
1500000US240317026022,12
1500000US240317012063,12
1500000US240317008163,12
1500000US240317010041,12
1500000US240317039023,12
1500000US240317013161,12
1500000US240317032212,12
1500000US240317051004,12
1500000US240317052003,12
1500000US240317008301,12
1500000US240317014084,12
1500000US240317022003,12
1500000US240317032143,12
1500000US240317014071,12
1500000US240317032083,12
1500000US240317010063,12
1500000US240317014154,12
1500000US240317048052,12
1500000US240317032093,12
1500000US240317037022,12
1500000US240317031002,12
1500000US240317059032,12
1500000US240317037023,12
1500000US240317043002,12
1500000US240317019003,12
1500000US240317011024,12
1500000US240317009052,12
1500000US240317059031,11
1500000US240317032203,11
1500000US240317043004,11
1500000US240317032084,11
1500000US240317060111,11
1500000US240317014231,11
1500000US240317032121,11
1500000US240317016023,11
1500000US240317014143,11
1500000US240317021022,11
1500000US240317013151,11
1500000US240317060093,11
1500000US240317040002,11
1500000US240317002082,11
1500000US240317023023,11
1500000US240317015031,11
1500000US240317057012,11
1500000US240317032023,11
1500000US240317032012,11
1500000US240317057023,11
1500000US240317013141,11
1500000US240317007133,11
1500000US240317050003,11
1500000US240317029003,11
1500000US240317012022,10
1500000US240317008352,10
1500000US240317059033,10
1500000US240317003084,10
1500000US240317029005,10
1500000US240317034041,10
1500000US240317029001,10
1500000US240317056011,10
1500000US240317011011,10
1500000US240317037012,10
1500000US240317060072,10
1500000US240317010061,10
1500000US240317056012,10
1500000US240317007131,10
1500000US240317032082,10
1500000US240317059021,10
1500000US240317012181,10
1500000US240317032211,10
1500000US240317024021,10
1500000US240317001031,10
1500000US240317058002,10
1500000US240317044043,10
1500000US240317010062,10
1500000US240317013124,10
1500000US240317036022,10
1500000US240317012051,9
1500000US240317032123,9
1500000US240317055012,9
1500000US240317010052,9
1500000US240317034012,9
1500000US240317006074,9
1500000US240317012102,9
1500000US240317013132,9
1500000US240317041001,9
1500000US240317012152,9
1500000US240317032102,9
1500000US240317015061,9
1500000US240317008112,9
1500000US240317007103,9
1500000US240317006041,9
1500000US240317014142,9
1500000US240317025003,9
1500000US240317007191,9
1500000US240317059013,9
1500000US240317034011,9
1500000US240317033013,9
1500000US240317013122,9
1500000US240317008191,9
1500000US240317014232,9
1500000US240317013043,9
1500000US240317059011,9
1500000US240317060132,9
1500000US240317043001,9
1500000US240317006101,9
1500000US240317013171,9
1500000US240317014171,9
1500000US240317054001,9
1500000US240317006082,9
1500000US240317051003,8
1500000US240317006163,8
1500000US240317007233,8
1500000US240317053001,8
1500000US240317013123,8
1500000US240317015032,8
1500000US240317021012,8
1500000US240317012153,8
1500000US240317006112,8
1500000US240317060113,8
1500000US240317034042,8
1500000US240317007154,8
1500000US240317032013,8
1500000US240317057014,8
1500000US240317013173,8
1500000US240317002041,8
1500000US240317007163,8
1500000US240317007113,8
1500000US240317037011,8
1500000US240317008153,8
1500000US240317033011,7
1500000US240317011025,7
1500000US240317006161,7
1500000US240317010022,7
1500000US240317010013,7
1500000US240317060101,7
1500000US240317014151,7
1500000US240317004001,7
1500000US240317006083,7
1500000US240317011021,7
1500000US240317008351,7
1500000US240317015072,7
1500000US240317014082,7
1500000US240317027003,7
1500000US240317006141,7
1500000US240317012101,7
1500000US240317015073,7
1500000US240317003063,7
1500000US240317041002,7
1500000US240317055022,7
1500000US240317033023,7
1500000US240317006044,7
1500000US240317022004,7
1500000US240317002042,6
1500000US240317059023,6
1500000US240317060071,6
1500000US240317012123,6
1500000US240317046004,6
1500000US240317001043,6
1500000US240317060081,6
1500000US240317046003,6
1500000US240317010023,6
1500000US240317008154,6
1500000US240317032091,6
1500000US240317002063,6
1500000US240317006111,6
1500000US240317044042,6
1500000US240317059022,6
1500000US240317013172,6
1500000US240317034032,6
1500000US240317012103,6
1500000US240317012054,5
1500000US240317003042,5
1500000US240317023022,5
1500000US240317014152,5
1500000US240317006071,5
1500000US240317034031,5
1500000US240317007102,5
1500000US240317013041,5
1500000US240317006063,5
1500000US240317012211,5
1500000US240317008232,5
1500000US240317019002,5
1500000US240317045022,5
1500000US240317001011,5
1500000US240317012133,5
1500000US240317003082,5
1500000US240317032081,5
1500000US240317060102,5
1500000US240317047002,5
1500000US240317047003,5
1500000US240317058001,5
1500000US240317045013,5
1500000US240317007201,4
1500000US240317033022,4
1500000US240317014091,4
1500000US240317003061,4
1500000US240317003081,4
1500000US240317045014,4
1500000US240317001032,4
1500000US240317037013,4
1500000US240317045012,4
1500000US240317060112,4
1500000US240317012062,4
1500000US240317012132,4
1500000US240317012121,4
1500000US240317013042,4
1500000US240317035013,4
1500000US240317034013,4
1500000US240317007043,4
1500000US240317037024,4
1500000US240317001012,4
1500000US240317035011,4
1500000US240317060051,4
1500000US240317055011,4
1500000US240317012201,4
1500000US240317012113,4
1500000US240317003112,4
1500000US240317032193,3
1500000US240317013062,3
1500000US240317060082,3
1500000US240317006072,3
1500000US240317002052,3
1500000US240317026011,3
1500000US240317003102,3
1500000US240317010044,3
1500000US240317058003,3
1500000US240317012122,3
1500000US240317013061,3
1500000US240317051001,3
1500000US240317012202,3
1500000US240317006151,3
1500000US240317006152,3
1500000US240317003104,2
1500000US240317008101,2
1500000US240317045021,2
1500000US240317036023,2
1500000US240317046002,2
1500000US240317001013,2
1500000US240317004002,2
1500000US240317015081,2
1500000US240317012164,2
1500000US240317007174,2
1500000US240317012154,2
1500000US240317006073,2
1500000US240317044031,2
1500000US240317002061,2
1500000US240317014202,2
1500000US240317006042,2
1500000US240317032163,2
1500000US240317013121,2
1500000US240338057001,2
1500000US240338059071,1
1500000US240317059012,1
1500000US240338073052,1
1500000US240317002062,1
1500000US240317044044,1
1500000US240317006062,1
1500000US240317032161,1
1500000US240317006081,1
1500000US240317009051,1
1500000US240317053002,1
1500000US240317012161,1
1500000US240317008192,1
1500000US240317060121,1
1500000US240317007105,1
1500000US240317032192,1
1500000US240317060131,1
1500000US240338059061,1
1500000US240317006133,1
1500000US240317057021,1
1500000US240317047004,1
1500000US240317032181,1
1500000US240317013044,1
1500000US240317006043,1
