AFFGEOID,count
1500000US240317038001,68
1500000US240317007132,36
1500000US240317025004,32
1500000US240317025001,29
1500000US240317003092,25
1500000US240317008173,25
1500000US240317032011,23
1500000US240317015052,18
1500000US240317024023,17
1500000US240317003111,15
1500000US240317034014,14
1500000US240317015083,14
1500000US240317008182,13
1500000US240317007221,12
1500000US240317008161,12
1500000US240317015092,12
1500000US240317014221,12
1500000US240317009011,12
1500000US240317001041,12
1500000US240317016011,12
1500000US240317007231,12
1500000US240317007061,11
1500000US240317008121,11
1500000US240317032162,11
1500000US240317036011,11
1500000US240317012111,11
1500000US240317009041,11
1500000US240317032072,11
1500000US240317008343,11
1500000US240317015093,11
1500000US240317037021,10
1500000US240317031001,10
1500000US240317032142,10
1500000US240317039022,10
1500000US240317032071,10
1500000US240317008183,10
1500000US240317003041,9
1500000US240317014233,9
1500000US240317014102,9
1500000US240317019001,9
1500000US240317017031,9
1500000US240317032151,9
1500000US240317006143,9
1500000US240317001033,9
1500000US240317020002,9
1500000US240317010072,9
1500000US240317007173,9
1500000US240317008111,9
1500000US240317008171,9
1500000US240317024022,8
1500000US240317012191,8
1500000US240317007181,8
1500000US240317007241,8
1500000US240317032141,8
1500000US240317008301,8
1500000US240317015033,8
1500000US240317034042,7
1500000US240317007172,7
1500000US240317017033,7
1500000US240317034033,7
1500000US240317008321,7
1500000US240317007131,7
1500000US240317008341,7
1500000US240317008332,7
1500000US240317020003,7
1500000US240317009021,7
1500000US240317014144,7
1500000US240317007133,7
1500000US240317060122,7
1500000US240317008152,7
1500000US240317033021,7
1500000US240317014093,7
1500000US240317007193,6
1500000US240317017012,6
1500000US240317014211,6
1500000US240317013081,6
1500000US240317001052,6
1500000US240317020001,6
1500000US240317010012,6
1500000US240317023012,6
1500000US240317011012,6
1500000US240317015034,6
1500000US240317003091,6
1500000US240317007104,6
1500000US240317008131,6
1500000US240317008221,6
1500000US240317017021,6
1500000US240317031004,6
1500000US240317021011,6
1500000US240317009012,6
1500000US240317048041,6
1500000US240317007111,6
1500000US240317009031,6
1500000US240317007211,5
1500000US240317034041,5
1500000US240317008201,5
1500000US240317008181,5
1500000US240317007202,5
1500000US240317013071,5
1500000US240317003113,5
1500000US240317007042,5
1500000US240317012162,5
1500000US240317014231,5
1500000US240317048061,5
1500000US240317009042,5
1500000US240317016021,5
1500000US240317026011,5
1500000US240317021014,5
1500000US240317032124,5
1500000US240317003044,5
1500000US240317014173,5
1500000US240317032093,5
1500000US240317007101,5
1500000US240317002051,5
1500000US240317012012,5
