AFFGEOID,count
1500000US220710134003,119
1500000US220710134001,86
1500000US220710134002,79
1500000US220710135001,70
1500000US220710017511,70
1500000US220710017472,58
1500000US220710039002,58
1500000US220710018002,49
1500000US220710017204,43
1500000US220710017502,38
1500000US220710135004,37
1500000US220710077001,36
1500000US220710034002,35
1500000US220710049002,34
1500000US220710060001,33
1500000US220710137004,32
1500000US220710017471,31
1500000US220710048001,28
1500000US220710135003,27
1500000US220710017351,27
1500000US220710017441,26
1500000US220710006133,26
1500000US220710040002,25
1500000US220710017443,25
1500000US220710017223,25
1500000US220710038002,25
1500000US220710011002,25
1500000US220710017431,23
1500000US220710038001,23
1500000US220710017362,23
1500000US220710026002,22
1500000US220710017371,21
1500000US220710017361,21
1500000US220710137001,21
1500000US220710017402,21
1500000US220710023005,21
1500000US220710017411,20
1500000US220710017022,19
1500000US220710039001,19
1500000US220710071012,19
1500000US220710017432,19
1500000US220710033042,19
1500000US220710033083,19
1500000US220710034001,19
1500000US220710024022,18
1500000US220710017252,18
1500000US220710017244,18
1500000US220710017463,18
1500000US220710011001,18
1500000US220710044022,17
1500000US220710017232,17
1500000US220710017451,17
1500000US220710018001,17
1500000US220710099001,16
1500000US220710017201,16
1500000US220710012002,16
1500000US220710017234,16
1500000US220710077002,15
1500000US220710015001,15
1500000US220710017501,15
1500000US220710029003,15
1500000US220710049003,15
1500000US220710017243,15
1500000US220710020001,15
1500000US220710078001,14
1500000US220710086001,14
1500000US220710017242,14
1500000US220710139002,14
1500000US220710017301,14
1500000US220710006132,14
1500000US220710041001,14
1500000US220710017254,14
1500000US220710025033,14
1500000US220710006152,13
1500000US220710028001,13
1500000US220710133021,13
1500000US220710045001,13
1500000US220710063001,13
1500000US220710030002,13
1500000US220710015002,13
1500000US220710017352,13
1500000US220710026001,13
1500000US220710036001,13
1500000US220710139001,13
1500000US220710140003,13
1500000US220710135002,13
1500000US220710019001,13
1500000US220710084001,13
1500000US220710099003,13
1500000US220710072003,13
1500000US220710129001,12
1500000US220710006171,12
1500000US220710017224,12
1500000US220710023003,12
1500000US220710006131,12
1500000US220710050002,12
1500000US220710027002,12
1500000US220710071011,12
1500000US220710072001,12
1500000US220710055002,12
1500000US220710017251,12
1500000US220710033031,11
1500000US220710017442,11
1500000US220710013011,11
1500000US220710044012,11
1500000US220710142001,11
1500000US220710137003,11
1500000US220710024023,11
1500000US220710017372,11
1500000US220710143002,11
1500000US220710046002,11
1500000US220710017202,11
1500000US220710028002,11
1500000US220710025011,10
1500000US220710017491,10
1500000US220710012001,10
1500000US220710017452,10
1500000US220710031002,10
1500000US220710140002,10
1500000US220710017391,10
1500000US220710082002,10
1500000US220710033022,10
1500000US220710017483,10
1500000US220710006182,10
1500000US220710101001,10
1500000US220710138001,10
1500000US220710017403,10
1500000US220710013013,10
1500000US220710006043,10
1500000US220710006172,10
1500000US220710027001,10
1500000US220719800001,10
1500000US220710054003,10
1500000US220710033082,10
1500000US220710028003,10
1500000US220710143001,9
1500000US220710037024,9
1500000US220710017462,9
1500000US220710044013,9
1500000US220710006042,9
1500000US220710017013,9
1500000US220710017225,9
1500000US220710033024,9
1500000US220710094004,9
1500000US220710019003,9
1500000US220710036002,9
1500000US220710021001,9
1500000US220710017203,9
1500000US220710065002,9
1500000US220710063003,9
1500000US220710094001,9
1500000US220710017503,9
1500000US220710097002,9
1500000US220710008002,9
1500000US220710017221,9
1500000US220710120001,9
1500000US220710024011,9
1500000US220710133022,9
1500000US220710006021,8
1500000US220710055003,8
1500000US220710017021,8
1500000US220710009041,8
1500000US220710020002,8
1500000US220710006063,8
1500000US220710092003,8
1500000US220710037022,8
1500000US220710007021,8
1500000US220710023004,8
1500000US220710129002,8
1500000US220710143003,8
1500000US220710014024,8
1500000US220710006073,8
1500000US220710100001,8
1500000US220710130003,8
1500000US220710024012,8
1500000US220710017023,8
1500000US220710045003,8
1500000US220710140004,8
1500000US220710037011,8
1500000US220710025044,8
1500000US220710017461,8
1500000US220710044021,8
1500000US220710037026,8
1500000US220710065001,8
1500000US220710088002,8
1500000US220710025043,7
1500000US220710102003,7
1500000US220710082001,7
1500000US220710027003,7
1500000US220710044011,7
1500000US220710046001,7
1500000US220710137002,7
1500000US220710037025,7
1500000US220710030001,7
1500000US220710006111,7
1500000US220710029002,7
1500000US220710017233,7
1500000US220710131002,7
1500000US220710049004,7
1500000US220710133011,7
1500000US220710133012,7
1500000US220710006162,7
1500000US220710006151,7
1500000US220710099002,7
1500000US220710144001,7
1500000US220710075023,7
1500000US220710006022,7
1500000US220710041002,7
1500000US220710049001,7
1500000US220710017231,7
1500000US220719801001,7
1500000US220710017253,7
1500000US220710013022,7
1500000US220710037023,7
1500000US220710013021,7
1500000US220710141003,7
1500000US220710112001,7
1500000US220710075021,7
1500000US220710133013,7
1500000US220710023002,7
1500000US220710033032,7
1500000US220710022001,6
1500000US220710006061,6
1500000US220710017341,6
1500000US220710006181,6
1500000US220710094003,6
1500000US220710088001,6
1500000US220710102001,6
1500000US220710076063,6
1500000US220710006011,6
1500000US220710014014,6
1500000US220710063002,6
1500000US220710121023,6
1500000US220710122001,6
1500000US220710122002,6
1500000US220710106001,6
1500000US220710103003,6
1500000US220710064001,6
1500000US220710017484,6
1500000US220710017401,6
1500000US220710141001,6
1500000US220710123002,6
1500000US220710056031,6
1500000US220710054001,6
1500000US220710017226,6
1500000US220710021002,6
1500000US220710035003,6
1500000US220710009032,6
1500000US220710065003,6
1500000US220710119002,6
1500000US220710013012,6
1500000US220710091004,6
1500000US220710127001,6
1500000US220710142002,6
1500000US220710003002,6
1500000US220710025031,6
1500000US220710091003,6
1500000US220710096001,6
1500000US220710017222,6
1500000US220710033041,5
1500000US220710035001,5
1500000US220710006023,5
1500000US220710121011,5
1500000US220710128003,5
1500000US220710022003,5
1500000US220710017482,5
1500000US220710033011,5
1500000US220710056023,5
1500000US220710126001,5
1500000US220710144002,5
1500000US220710121012,5
1500000US220710094002,5
1500000US220710128001,5
1500000US220710017241,5
1500000US220710004002,5
1500000US220710103002,5
1500000US220710084002,5
1500000US220710013014,5
1500000US220710092001,5
1500000US220710025023,5
1500000US220710136002,5
1500000US220710111002,5
1500000US220710132004,5
1500000US220710024024,5
1500000US220710083001,5
1500000US220710064004,5
