AFFGEOID,count
1500000US220710134003,1099
1500000US220710135001,536
1500000US220710134001,448
1500000US220710134002,414
1500000US220710017511,316
1500000US220710135003,304
1500000US220710017471,303
1500000US220710017472,277
1500000US220710077001,206
1500000US220710039002,191
1500000US220710071012,183
1500000US220710017351,175
1500000US220710060001,154
1500000US220710017204,154
1500000US220710034002,149
1500000US220710135004,144
1500000US220710137004,140
1500000US220710017362,140
1500000US220710049002,139
1500000US220710017402,139
1500000US220710038002,130
1500000US220710135002,121
1500000US220710017403,117
1500000US220710017502,115
1500000US220710026002,115
1500000US220710006133,110
1500000US220710017371,110
1500000US220710048001,110
1500000US220710139001,110
1500000US220710017431,107
1500000US220710040002,107
1500000US220710054003,105
1500000US220710023005,104
1500000US220710017251,103
1500000US220710017022,101
1500000US220710018002,99
1500000US220710017361,99
1500000US220710017401,98
1500000US220710026001,98
1500000US220710017451,96
1500000US220710017441,95
1500000US220710039001,95
1500000US220710139002,94
1500000US220710011002,92
1500000US220710018001,90
1500000US220710133021,89
1500000US220710017254,87
1500000US220710006132,86
1500000US220710006152,84
1500000US220710072001,84
1500000US220710017432,82
1500000US220710033082,82
1500000US220710031002,81
1500000US220710099001,80
1500000US220710017223,80
1500000US220710011001,79
1500000US220710084001,79
1500000US220710017452,79
1500000US220710017244,78
1500000US220710143003,76
1500000US220710086001,73
1500000US220710006042,72
1500000US220710038001,71
1500000US220710025033,70
1500000US220710017242,69
1500000US220710017252,69
1500000US220710015002,69
1500000US220710101001,68
1500000US220710017411,68
1500000US220710129001,67
1500000US220710120001,67
1500000US220710017391,67
1500000US220710077002,66
1500000US220710017491,65
1500000US220710017243,64
1500000US220710012002,64
1500000US220710027003,63
1500000US220710133022,63
1500000US220710078001,63
1500000US220710046002,62
1500000US220710012001,62
1500000US220719800001,62
1500000US220710025011,61
1500000US220710034001,61
1500000US220710019003,61
1500000US220710049004,61
1500000US220710094004,61
1500000US220710017463,61
1500000US220710140003,60
1500000US220710017232,60
1500000US220710017202,60
1500000US220710040001,60
1500000US220710017203,60
1500000US220710030002,60
1500000US220710017483,59
1500000US220710033083,59
1500000US220710017461,59
1500000US220710050002,59
1500000US220710063001,58
1500000US220710049001,58
1500000US220710041001,58
1500000US220710017231,58
1500000US220710049003,58
1500000US220710033042,58
1500000US220710050001,56
1500000US220710055003,56
1500000US220710071011,56
1500000US220710017503,56
1500000US220710082002,56
1500000US220710044013,55
1500000US220710017352,55
1500000US220710006043,54
