AFFGEOID,count
1500000US360610109001,1030
1500000US360810871002,468
1500000US360610139004,468
1500000US360610309001,459
1500000US360810683002,454
1500000US360610033003,439
1500000US360610064002,436
1500000US360610111001,409
1500000US360470011001,399
1500000US360610178003,381
1500000US360610120001,377
1500000US360050221013,318
1500000US360610013001,316
1500000US360471070001,313
1500000US360610100002,294
1500000US360610219004,262
1500000US360610104001,252
1500000US360850007004,251
1500000US360850303012,247
1500000US360610029003,244
1500000US360810334021,240
1500000US360610052001,234
1500000US360610029001,229
1500000US360610073001,228
1500000US360610101001,225
1500000US360810465002,224
1500000US360470101003,224
1500000US360470015001,220
1500000US360471164001,220
1500000US360610112011,216
1500000US360610114021,207
1500000US360610169004,207
1500000US360610031001,203
1500000US360810125001,200
1500000US360810351001,200
1500000US360810581001,200
1500000US360470776001,195
1500000US360050462011,191
1500000US360610115001,187
1500000US360470015003,181
1500000US360610038005,180
1500000US360610087005,179
1500000US360610029004,179
1500000US360810871001,178
1500000US360470561003,178
1500000US360050039003,178
1500000US360050216022,174
1500000US360610257001,174
1500000US360470511001,172
1500000US360810122001,166
1500000US360810460003,165
1500000US360810112002,159
1500000US360050424001,159
1500000US360470354002,154
1500000US360811227022,151
1500000US360810473002,146
1500000US360610012001,145
1500000US360610222002,141
1500000US360610049001,137
1500000US360610153004,137
1500000US360810560001,135
1500000US360470129021,135
1500000US360470263001,133
1500000US360470433002,130
1500000US360610148022,128
1500000US360850248001,128
1500000US360810007004,127
1500000US360610119001,125
1500000US360470698002,123
1500000US360470129011,120
1500000US360610092001,118
1500000US360050046001,117
1500000US360050381003,116
1500000US360610114012,115
1500000US360610076001,113
1500000US360470670002,113
1500000US360610119002,111
1500000US360470584002,111
1500000US360050425003,111
1500000US360810713052,109
1500000US360610050003,109
1500000US360610166002,106
1500000US360610228003,106
1500000US360050296002,106
1500000US360050071002,105
1500000US360050166001,105
1500000US360850277063,104
1500000US360050090002,102
1500000US360470397003,101
1500000US360470480001,98
1500000US360610253003,98
1500000US360050141003,97
1500000US360610189006,97
1500000US360811010014,94
1500000US360050165001,94
1500000US360470282002,94
1500000US360610265002,93
1500000US360050042006,93
1500000US360811471002,92
1500000US360610196002,92
1500000US360470018001,91
1500000US360470035001,91
1500000US360810717021,89
1500000US360470309002,89
1500000US360470740001,88
1500000US360470363001,86
1500000US360610087001,82
1500000US360050183021,82
1500000US360050287001,82
1500000US360810945002,79
1500000US360810446011,79
1500000US360050089002,76
1500000US360470824003,76
1500000US360471098002,74
