AFFGEOID,count
1500000US360471164001,623
1500000US360050039003,368
1500000US360050424001,351
1500000US360050425003,287
1500000US360050046001,285
1500000US360050089002,284
1500000US360810334021,279
1500000US360050221013,276
1500000US360470363001,261
1500000US360050381003,254
1500000US360850007004,246
1500000US360050141003,238
1500000US360810871002,233
1500000US360050165001,221
1500000US360810460003,217
1500000US360810560001,200
1500000US360610228003,198
1500000US360050296002,198
1500000US360470824003,198
1500000US360470263001,188
1500000US360810351001,185
1500000US360470433002,184
1500000US360811010014,180
1500000US360470511001,178
1500000US360810465002,176
1500000US360810125001,171
1500000US360811227022,167
1500000US360610166002,156
1500000US360470309002,155
1500000US360470397003,154
1500000US360470307003,144
1500000US360470101003,143
1500000US360470331003,140
1500000US360810122001,140
1500000US360810581001,138
1500000US360050166001,132
1500000US360470354002,132
1500000US360050127012,131
1500000US360610219004,127
1500000US360470480001,126
1500000US360810112002,123
1500000US360810711002,121
1500000US360470584002,118
1500000US360050093006,115
1500000US360610196002,115
1500000US360610271003,114
1500000US360610012001,114
1500000US360610029001,112
1500000US360610061003,112
1500000US360470282002,106
1500000US360610189006,105
1500000US360470015001,104
1500000US360470205003,103
1500000US360470350002,102
1500000US360610253003,99
1500000US360050287001,99
1500000US360610073001,98
1500000US360610064002,97
1500000US360610257001,94
1500000US360610235013,91
1500000US360470233002,89
1500000US360610038005,89
1500000US360471098002,88
1500000US360610139004,85
1500000US360610087005,84
1500000US360810007004,80
1500000US360470242001,77
1500000US360610120001,77
1500000US360610029003,76
1500000US360050183021,76
1500000US360850303012,75
1500000US360050220001,72
1500000US360610031001,72
1500000US360810942022,71
1500000US360610111001,70
1500000US360470740001,69
1500000US360470070001,64
1500000US360610182002,59
1500000US360610033003,56
1500000US360610196003,56
1500000US360050229011,55
1500000US360470041001,54
1500000US360610115001,50
1500000US360470129021,49
1500000US360470808001,46
1500000US360810757011,46
1500000US360050065002,44
1500000US360610169004,43
1500000US360470561003,38
1500000US360610240001,38
1500000US360850112021,36
1500000US360050284001,36
1500000US360470037001,36
1500000US360470924001,36
1500000US360470011001,35
1500000US360471164002,34
1500000US360811471002,34
1500000US360850021003,34
1500000US360610101001,34
1500000US360470063001,33
1500000US360050071002,32
1500000US360610029004,31
1500000US360050435001,29
1500000US360610100002,28
1500000US360610066008,27
1500000US360050069002,27
1500000US360810713052,26
1500000US360610243021,25
1500000US360050183022,25
1500000US360610194004,24
1500000US360610109001,24
1500000US360850003002,24
1500000US360470015002,23
1500000US360610251001,22
1500000US360610196001,22
1500000US360470433001,21
1500000US360050221011,21
1500000US360610186001,21
1500000US360610066009,21
1500000US360470389001,20
1500000US360810212001,20
1500000US360050065004,20
1500000US360810865001,20
1500000US360470084003,20
1500000US360810216001,20
1500000US360050399015,20
1500000US360610135002,19
1500000US360810405002,19
1500000US360810142021,19
1500000US360811032013,18
1500000US360470285021,18
1500000US360850006001,18
1500000US360810267002,18
1500000US360050051002,18
1500000US360610071005,18
1500000US360850248001,18
1500000US360050129012,17
1500000US360610259001,17
1500000US360610166005,17
1500000US360610092001,17
1500000US360610212002,17
1500000US360811032011,17
1500000US360811032024,17
1500000US360610119002,17
1500000US360610182003,17
1500000US360610182001,17
1500000US360050418001,17
1500000US360810446012,17
1500000US360810240002,17
1500000US360050219001,17
1500000US360811008021,17
1500000US360050065001,17
1500000US360050155002,16
1500000US360610090001,16
1500000US360810375002,16
1500000US360610121001,16
1500000US360810964002,16
1500000US360050177022,15
1500000US360610162003,15
1500000US360471134001,15
1500000US360470326003,15
1500000US360050027023,15
1500000US360050265001,15
1500000US360470255001,15
