AFFGEOID,count
1500000US060014073002,192
1500000US060014060001,180
1500000US060014090001,104
1500000US060014095001,79
1500000US060014094002,62
1500000US060014061003,59
1500000US060014060003,58
1500000US060014088002,58
1500000US060014090003,56
1500000US060014033001,56
1500000US060014090002,55
1500000US060014061002,53
1500000US060014105001,51
1500000US060014086001,50
1500000US060014059022,50
1500000US060014059011,50
1500000US060019832001,50
1500000US060014061001,49
1500000US060014093003,48
1500000US060014031001,48
1500000US060014093001,47
1500000US060014029001,45
1500000US060014089001,44
1500000US060014072001,42
1500000US060014101002,40
1500000US060014073001,39
1500000US060014088004,38
1500000US060014065003,38
1500000US060014089002,37
1500000US060014094003,36
1500000US060014061004,35
1500000US060014066021,35
1500000US060014060002,35
1500000US060014096004,35
1500000US060014054021,34
1500000US060014022003,33
1500000US060014017001,33
1500000US060014028002,32
1500000US060014096005,31
1500000US060014035011,31
1500000US060014104003,29
1500000US060014093004,28
1500000US060014079003,28
1500000US060014069003,28
1500000US060014035012,28
1500000US060014074002,27
1500000US060014072004,27
1500000US060014013001,27
1500000US060014103003,27
1500000US060014062023,27
1500000US060014016001,26
1500000US060014053021,26
1500000US060014072002,26
1500000US060014071024,26
1500000US060014067003,26
1500000US060014070005,25
1500000US060014101001,25
1500000US060014075002,25
1500000US060014098002,25
1500000US060014087004,25
1500000US060014097003,24
1500000US060014041012,24
1500000US060014017002,23
1500000US060014062022,23
1500000US060014071021,23
1500000US060014070003,23
1500000US060014103002,23
1500000US060014059012,23
1500000US060014081002,22
1500000US060014052003,22
1500000US060014048001,22
1500000US060014066022,22
1500000US060014059021,22
1500000US060014034001,22
1500000US060014087006,22
1500000US060014097002,22
1500000US060014076003,21
1500000US060014058001,21
1500000US060014052001,21
1500000US060014084001,21
1500000US060014097001,21
1500000US060014082001,21
1500000US060014088001,21
1500000US060014036001,21
1500000US060014057001,21
1500000US060014015001,20
1500000US060014102001,20
1500000US060014024001,20
1500000US060014085003,20
1500000US060014053012,20
1500000US060014083003,20
1500000US060014026001,20
1500000US060014103001,20
1500000US060014064002,19
1500000US060014074001,19
1500000US060014093002,19
1500000US060014076004,19
1500000US060014104001,19
1500000US060014075003,19
1500000US060014083004,19
1500000US060014035013,19
1500000US060014014003,19
1500000US060014054012,19
1500000US060014091001,19
1500000US060014054013,19
1500000US060014082002,18
1500000US060014056002,18
1500000US060014068004,18
1500000US060014076005,18
1500000US060014045024,18
1500000US060014100002,18
1500000US060014094001,18
1500000US060014092002,18
1500000US060014049002,17
1500000US060014065001,17
1500000US060014057003,17
1500000US060014095002,17
1500000US060014070002,17
1500000US060014050003,17
1500000US060014034002,17
1500000US060014071011,17
1500000US060014071012,17
1500000US060014040002,16
1500000US060014048002,16
1500000US060014052002,16
1500000US060014075001,16
1500000US060014066012,16
1500000US060014010003,16
1500000US060014014001,16
1500000US060014065002,16
1500000US060014087003,16
1500000US060014084002,16
1500000US060014028001,16
1500000US060014074003,16
1500000US060014087005,16
1500000US060014085002,16
1500000US060014076001,15
1500000US060014068003,15
1500000US060014053022,15
1500000US060014072003,15
1500000US060014036003,15
1500000US060014027002,15
1500000US060014013002,15
1500000US060014098003,15
1500000US060014058003,15
1500000US060014070001,15
1500000US060014087002,15
1500000US060014067001,14
1500000US060014086004,14
1500000US060014054022,14
1500000US060014062014,14
1500000US060014025001,14
1500000US060014035022,14
1500000US060014086002,14
1500000US060014096002,14
1500000US060014053011,14
1500000US060014070004,14
1500000US060014063003,14
1500000US060014054011,14
1500000US060014056003,14
1500000US060014033002,14
1500000US060014099001,14
1500000US060014010005,14
1500000US060014014002,14
1500000US060014056001,13
1500000US060014039003,13
1500000US060014044002,13
1500000US060014012001,13
1500000US060014076002,13
1500000US060014037022,13
1500000US060014079001,13
1500000US060014007001,13
1500000US060014091002,13
