AFFGEOID,count
1500000US060019832001,1239
1500000US060014090002,1090
1500000US060014029001,886
1500000US060014028002,843
1500000US060014060001,606
1500000US060014031001,575
1500000US060014035011,427
1500000US060014033001,381
1500000US060014013003,381
1500000US060014090003,369
1500000US060014073002,365
1500000US060014011001,351
1500000US060014038003,340
1500000US060014090001,321
1500000US060014030001,310
1500000US060014061001,305
1500000US060014011004,291
1500000US060014034001,265
1500000US060014030002,251
1500000US060014061002,240
1500000US060014105001,227
1500000US060014013001,222
1500000US060014041012,201
1500000US060014002001,194
1500000US060014003002,193
1500000US060014045024,191
1500000US060014088002,187
1500000US060014035012,176
1500000US060014060003,175
1500000US060014017001,174
1500000US060014012002,169
1500000US060014013002,168
1500000US060014086001,166
1500000US060014002002,165
1500000US060014095001,165
1500000US060014101002,162
1500000US060014040002,162
1500000US060014050003,155
1500000US060014066021,147
1500000US060014028001,144
1500000US060014012003,143
1500000US060014003001,136
1500000US060014061003,135
1500000US060014041022,135
1500000US060014017002,132
1500000US060014053021,132
1500000US060014022003,131
1500000US060014089001,125
1500000US060014089002,124
1500000US060014069003,122
1500000US060014033002,122
1500000US060014094002,117
1500000US060014046004,113
1500000US060014060002,113
1500000US060014034002,112
1500000US060014039002,105
1500000US060014078003,105
1500000US060014061004,104
1500000US060014041011,104
1500000US060014080002,104
1500000US060014048001,103
1500000US060014093003,103
1500000US060014012001,102
1500000US060014011002,102
1500000US060014042003,98
1500000US060014014003,98
1500000US060014014002,98
1500000US060014073001,98
1500000US060014101001,98
1500000US060014067003,98
1500000US060014081002,97
1500000US060014070001,97
1500000US060014037021,96
1500000US060014016001,95
1500000US060014104003,94
1500000US060014037022,93
1500000US060014059022,91
1500000US060014093001,90
1500000US060014022001,85
1500000US060014079003,85
1500000US060014011003,84
1500000US060014026001,81
1500000US060014072001,81
1500000US060014059011,79
1500000US060014065003,78
1500000US060014010005,76
1500000US060014054011,76
1500000US060014054021,75
1500000US060014052001,75
1500000US060014048002,74
1500000US060014036003,73
1500000US060014098002,73
1500000US060014088004,71
1500000US060014103003,70
1500000US060014096004,70
1500000US060014010004,70
1500000US060014035013,70
1500000US060014039001,69
1500000US060014052003,69
1500000US060014003004,69
1500000US060014004003,67
1500000US060014082002,67
1500000US060014057001,67
1500000US060014005001,66
1500000US060014024001,66
1500000US060014082001,66
1500000US060014035021,66
1500000US060014049002,65
1500000US060014015001,65
1500000US060014083003,64
1500000US060014010003,64
1500000US060014070005,63
1500000US060014062023,62
1500000US060014052004,62
1500000US060014094001,62
1500000US060014102001,61
1500000US060014053012,61
1500000US060014068004,60
1500000US060014054013,60
1500000US060014094003,60
1500000US060014059012,59
1500000US060019820001,59
1500000US060014053022,59
1500000US060014074002,58
1500000US060014078002,58
1500000US060014081001,58
1500000US060014057003,57
1500000US060014055004,57
1500000US060014090004,57
1500000US060014096005,57
1500000US060014027002,57
1500000US060014027001,57
1500000US060014041021,56
1500000US060014036001,56
1500000US060014072004,56
1500000US060014076003,55
1500000US060014053011,55
1500000US060014066013,55
1500000US060014093004,54
1500000US060014054012,54
1500000US060014014001,53
1500000US060014025001,52
1500000US060014064002,52
1500000US060014070002,52
1500000US060014075001,52
1500000US060014087002,52
1500000US060014097002,51
1500000US060014040001,51
1500000US060014018001,51
1500000US060014072002,50
1500000US060014071024,50
1500000US060014062022,50
1500000US060014087006,50
1500000US060014003003,49
1500000US060014103002,48
1500000US060014099003,48
1500000US060014068003,48
1500000US060014075002,48
1500000US060014093002,48
1500000US060014097001,48
1500000US060014018002,48
1500000US060014066011,48
1500000US060014066022,48
1500000US060014100002,47
1500000US060014008001,47
1500000US060014039003,47
1500000US060014088001,47
1500000US060014095002,46
1500000US060014062014,46
1500000US060014058003,46
1500000US060014085002,46
1500000US060014001001,46
1500000US060014087004,46
1500000US060014035022,45
1500000US060014097003,45
1500000US060014004002,45
1500000US060014052002,45
1500000US060014087001,45
1500000US060014016002,45
1500000US060014067001,45
1500000US060014044001,44
1500000US060014049004,44
1500000US060014059021,44
1500000US060014098001,44
1500000US060014015002,43
1500000US060014056003,43
1500000US060014070003,43
1500000US060014004001,43
1500000US060014083001,42
1500000US060014058001,42
1500000US060014074001,42
1500000US060014044002,42
1500000US060014066014,42
1500000US060014071021,42
1500000US060014015003,41
1500000US060014083004,41
1500000US060014079001,41
1500000US060014037012,41
1500000US060014084001,41
1500000US060014038004,40
1500000US060014096002,40
1500000US060014098003,40
1500000US060014082003,40
1500000US060014066012,40
1500000US060014092002,40
1500000US060014085003,40
1500000US060014056001,40
1500000US060014007002,39
1500000US060014097004,39
1500000US060014010006,39
1500000US060014009001,39
1500000US060014051003,39
1500000US060014044003,39
1500000US060014069002,39
1500000US060014007004,38
1500000US060014071011,38
1500000US060014025002,38
1500000US060014065002,38
1500000US060014065001,38
1500000US060014037011,38
1500000US060014056002,38
1500000US060014099001,38
1500000US060014074003,37
1500000US060014008003,37
1500000US060014054022,37
1500000US060014049003,37
1500000US060014075003,37
1500000US060014022002,37
1500000US060014045023,37
1500000US060014076004,37
1500000US060014071012,37
1500000US060014062013,36
1500000US060014087005,36
1500000US060014047002,36
1500000US060014102002,36
1500000US060014091001,36
1500000US060014077002,36
1500000US060014049001,35
1500000US060014086004,35
1500000US060014009002,35
1500000US060014100001,35
1500000US060014007001,35
1500000US060014076005,35
1500000US060014086002,34
1500000US060014070004,34
1500000US060014088003,34
1500000US060014043002,34
1500000US060014072003,34
1500000US060019819001,34
1500000US060014099002,33
1500000US060014043003,33
