AFFGEOID,count
1500000US060014060001,142
1500000US060014061001,138
1500000US060014031001,102
1500000US060014090001,87
1500000US060014086001,85
1500000US060014028002,82
1500000US060014029001,79
1500000US060014089002,75
1500000US060014105001,68
1500000US060014073002,61
1500000US060014059022,60
1500000US060014014003,56
1500000US060019832001,54
1500000US060014062023,53
1500000US060014030001,52
1500000US060014030002,52
1500000US060014095001,51
1500000US060014017001,50
1500000US060014094002,49
1500000US060014072004,48
1500000US060014090002,47
1500000US060014059011,47
1500000US060014088002,46
1500000US060014104003,46
1500000US060014034001,45
1500000US060014062022,42
1500000US060014074003,42
1500000US060014101002,41
1500000US060014060003,41
1500000US060014088004,41
1500000US060014096005,41
1500000US060014089001,41
1500000US060014065003,40
1500000US060014060002,40
1500000US060014088003,40
1500000US060014084001,38
1500000US060014093003,38
1500000US060014061002,38
1500000US060014094003,38
1500000US060014098002,38
1500000US060014093001,37
1500000US060014097002,37
1500000US060014088001,36
1500000US060014013001,35
1500000US060014095002,35
1500000US060014013002,34
1500000US060014090003,34
1500000US060014013003,34
1500000US060014087003,33
1500000US060014103001,33
1500000US060014072002,33
1500000US060014072001,33
1500000US060014057003,32
1500000US060014034002,32
1500000US060014093002,31
1500000US060014016001,31
1500000US060014035011,31
1500000US060014010004,31
1500000US060014066021,31
1500000US060014085002,31
1500000US060014086003,30
1500000US060014016002,30
1500000US060014022001,30
1500000US060014041012,29
1500000US060014025001,29
1500000US060014015001,29
1500000US060014033002,29
1500000US060014011004,29
1500000US060014053021,28
1500000US060014017002,28
1500000US060014054013,28
1500000US060014062014,28
1500000US060014091001,28
1500000US060014086004,28
1500000US060014018002,27
1500000US060014062013,27
1500000US060014079003,27
1500000US060014085005,27
1500000US060014102001,26
1500000US060014022003,26
1500000US060014070002,26
1500000US060014028001,26
1500000US060014025002,26
1500000US060014073001,26
1500000US060014085001,24
1500000US060014022002,24
1500000US060014059012,24
1500000US060014026001,24
1500000US060014010005,24
1500000US060014075003,24
1500000US060014087004,24
1500000US060014074002,23
1500000US060014103003,23
1500000US060014097003,23
1500000US060014010006,23
1500000US060014096002,23
1500000US060014087002,23
1500000US060014061004,22
1500000US060014083004,22
1500000US060014058001,22
1500000US060014027001,22
1500000US060014059021,22
1500000US060014035012,21
1500000US060014033001,21
1500000US060014097004,21
1500000US060014087005,21
1500000US060014061003,21
1500000US060014083005,21
1500000US060014082002,21
1500000US060014076004,20
1500000US060014082003,20
1500000US060014045024,19
1500000US060014064002,19
1500000US060014093004,19
1500000US060014071024,19
1500000US060014095003,19
1500000US060014069003,19
1500000US060014074001,19
1500000US060014085004,19
1500000US060014014001,19
1500000US060014014002,19
1500000US060014048001,18
1500000US060014037011,18
1500000US060014037022,18
1500000US060014092001,18
1500000US060014068004,17
1500000US060014003003,17
1500000US060014005001,17
1500000US060014038003,17
1500000US060014011003,17
1500000US060014036003,17
1500000US060014076003,17
1500000US060014076002,17
1500000US060014054022,17
1500000US060014053011,17
1500000US060014012003,16
1500000US060014087006,16
1500000US060014058002,16
1500000US060014086002,16
1500000US060014070003,16
1500000US060014096004,16
1500000US060014075002,16
1500000US060014037021,15
1500000US060014010003,15
1500000US060014103002,15
1500000US060014075001,15
1500000US060014002001,15
1500000US060014094001,15
1500000US060014101001,15
1500000US060014056002,15
1500000US060014084002,15
1500000US060014072003,14
1500000US060014067003,14
1500000US060014096003,14
1500000US060014011002,14
1500000US060014078002,14
1500000US060014066022,14
1500000US060014011001,14
1500000US060014102003,14
1500000US060014076005,13
1500000US060014063004,13
1500000US060014050003,13
1500000US060014064001,13
1500000US060014054011,13
1500000US060014039002,13
1500000US060014024001,13
1500000US060014056003,13
1500000US060014071021,13
1500000US060014054021,12
1500000US060014097001,12
1500000US060014003001,12
1500000US060014096001,12
1500000US060014062011,12
1500000US060014048002,12
1500000US060014078003,12
1500000US060014053022,12
1500000US060014042003,12
1500000US060014055004,12
1500000US060014008001,12
1500000US060014057001,12
1500000US060014070005,12
1500000US060014082001,11
1500000US060014018001,11
1500000US060014027002,11
1500000US060014010001,11
1500000US060014058003,11
1500000US060014015002,11
1500000US060014070001,11
1500000US060014077001,10
1500000US060014071011,10
1500000US060014092002,10
1500000US060014057002,10
1500000US060014007004,10
1500000US060014055002,10
1500000US060014063001,10
1500000US060014059013,10
1500000US060014038004,10
1500000US060014015003,10
1500000US060014004003,10
1500000US060014062012,10
1500000US060014068003,10
1500000US060014036002,9
