AFFGEOID,count
1500000US310550074093,40
1500000US310550031004,30
1500000US310550070031,24
1500000US310550005001,22
1500000US310550070032,21
1500000US310550067011,20
1500000US310550074361,19
1500000US310550059021,19
1500000US310550029004,17
1500000US310550032002,17
1500000US310550048002,16
1500000US310550074451,15
1500000US310550065043,15
1500000US310550057002,14
1500000US310550060004,13
1500000US310550070012,13
1500000US310550074363,13
1500000US310550073112,13
1500000US310550074342,13
1500000US310550018003,12
1500000US310550043001,12
1500000US310550062024,12
1500000US310550049003,12
1500000US310550062021,12
1500000US310550065044,12
1500000US310550070011,12
1500000US310550012003,12
1500000US310550074343,12
1500000US310550018002,11
1500000US310550030007,11
1500000US310550073101,11
1500000US310550063023,11
1500000US310550058001,11
1500000US310550073121,10
1500000US310550020002,10
1500000US310550049002,10
1500000US310550049001,9
1500000US310550063021,9
1500000US310550011003,9
1500000US310550061025,9
1500000US310550040003,9
1500000US310550040002,9
1500000US310550060002,9
1500000US310550074333,9
1500000US310550062025,9
1500000US310550059022,9
1500000US310550008001,8
1500000US310550063031,8
1500000US310550071021,8
1500000US310550057005,8
1500000US310550066031,8
1500000US310550073133,8
1500000US310550043002,8
1500000US310550059011,8
1500000US310550065062,8
1500000US310550073151,8
1500000US310550062023,8
1500000US310550056004,8
1500000US310550068062,8
1500000US310550074243,8
1500000US310550054004,8
1500000US310550051001,8
1500000US310550061011,8
1500000US310550016001,8
1500000US310550044001,7
1500000US310550068063,7
1500000US310550049004,7
1500000US310550046003,7
1500000US310550054001,7
1500000US310550003002,7
1500000US310550031003,7
1500000US310550061024,7
1500000US310550074666,7
1500000US310550061022,7
1500000US310550050002,7
1500000US310550069063,7
1500000US310550071012,7
1500000US310550042001,7
1500000US310550033001,7
1500000US310550038003,7
1500000US310550026001,7
1500000US310550069062,7
1500000US310550054003,7
1500000US310550053001,7
1500000US310550063024,6
1500000US310550008002,6
1500000US310550074353,6
1500000US310550033002,6
1500000US310550019001,6
1500000US310550054002,6
1500000US310550060003,6
1500000US310550060001,6
1500000US310550027001,6
1500000US310550021002,6
1500000US310550038001,6
1500000US310550051003,6
1500000US310550074573,6
1500000US310550074664,6
1500000US310550057003,6
1500000US310550058002,6
1500000US310550057004,5
1500000US310550075123,5
1500000US310550074442,5
1500000US310550020003,5
1500000US310550062022,5
1500000US310550034012,5
1500000US310550034014,5
1500000US310550027003,5
1500000US310550031001,5
1500000US310550061023,5
1500000US310550030001,5
1500000US310550052002,5
1500000US310550029001,5
1500000US310550069051,5
1500000US310550063013,5
1500000US310550058004,5
1500000US310550066025,5
1500000US310550021001,5
1500000US310550040001,5
