AFFGEOID,count
1500000US310550012003,36
1500000US310550032002,29
1500000US310550052002,28
1500000US310550040001,22
1500000US310550031004,22
1500000US310550059021,19
1500000US310550060003,18
1500000US310550060001,18
1500000US310550029004,17
1500000US310550011001,15
1500000US310550049003,14
1500000US310550011003,14
1500000US310550038003,14
1500000US310550058005,14
1500000US310550003002,13
1500000US310550012001,13
1500000US310550032001,12
1500000US310550073132,12
1500000US310550038002,12
1500000US310550065033,11
1500000US310550059012,11
1500000US310550019001,10
1500000US310550059022,10
1500000US310550049002,9
1500000US310550062025,9
1500000US310550074093,9
1500000US310550058001,9
1500000US310550059013,9
1500000US310550053001,9
1500000US310550049004,9
1500000US310550020001,9
1500000US310550061013,9
1500000US310550057002,9
1500000US310550044001,8
1500000US310550006001,8
1500000US310550063021,8
1500000US310550073133,8
1500000US310550067011,8
1500000US310550008002,7
1500000US310550063031,7
1500000US310550061022,7
1500000US310550033001,7
1500000US310550016001,7
1500000US310550036005,7
1500000US310550012002,7
1500000US310550048002,7
1500000US310550065061,7
1500000US310550062023,7
1500000US310550016002,7
1500000US310550071022,7
1500000US310550043001,7
1500000US310550059011,7
1500000US310550039002,7
1500000US310550062024,6
1500000US310550055001,6
1500000US310550003001,6
1500000US310550051003,6
1500000US310550070011,6
1500000US310550057003,6
1500000US310550060004,6
1500000US310550071012,6
1500000US310550003003,6
1500000US310550007001,6
1500000US310550070032,5
1500000US310550052001,5
1500000US310550057005,5
1500000US310550061024,5
1500000US310550058003,5
1500000US310550057004,5
1500000US310550061025,5
1500000US310550063011,5
1500000US310550002001,5
1500000US310550006002,5
1500000US310550029001,5
1500000US310550056001,5
1500000US310550074342,4
1500000US310550055006,4
1500000US310550065052,4
1500000US310550064002,4
1500000US310550060005,4
1500000US310550073041,4
1500000US310550062021,4
1500000US310550074633,4
1500000US310550074361,4
1500000US310550011002,4
1500000US310550069051,4
1500000US310550065044,4
1500000US310550061012,4
1500000US310550071011,4
1500000US310550049006,4
1500000US310550020002,4
1500000US310550030005,4
1500000US310550050002,4
1500000US310550026001,4
1500000US310550058002,4
1500000US310550042001,4
1500000US310550033002,4
1500000US310550063023,4
1500000US310550054003,4
1500000US310550038001,4
1500000US310550066025,3
1500000US310550074581,3
1500000US310550060002,3
1500000US310550043002,3
1500000US310550070031,3
1500000US310550029003,3
1500000US310550063024,3
1500000US310550008001,3
1500000US310550051001,3
1500000US310550019002,3
1500000US310550049001,3
1500000US310550054004,3
1500000US310550066031,3
1500000US310550054001,3
1500000US310550047002,3
1500000US310550024004,3
1500000US310550074644,3
1500000US310550029002,3
1500000US310550063032,3
1500000US310550002002,3
1500000US310550071024,3
1500000US310550074571,3
1500000US310550040002,3
1500000US310550074314,3
1500000US310550074343,3
1500000US310550073122,3
1500000US310550070012,3
1500000US310550074364,3
1500000US310550065062,3
1500000US310550073111,3
1500000US310550035001,3
1500000US310550056005,3
1500000US310550002003,3
1500000US310550073112,3
1500000US310550062022,3
1500000US310550068062,3
1500000US310550061023,3
1500000US310550075142,2
1500000US310550039001,2
1500000US310550074675,2
1500000US310550074542,2
1500000US310550048003,2
1500000US310550068063,2
1500000US310550036001,2
1500000US310550074333,2
1500000US310550074091,2
1500000US310550056004,2
1500000US310550069043,2
1500000US310550069032,2
1500000US310550073042,2
1500000US310550027001,2
1500000US310550068054,2
1500000US310550061021,2
1500000US310550053002,2
1500000US310550074451,2
1500000US310550030003,2
1500000US310550031001,2
1500000US310550025003,2
1500000US310550075133,2
1500000US310550073152,2
1500000US310550058004,2
1500000US310550074434,2
1500000US310550074243,2
1500000US310550074442,2
1500000US310550074312,2
1500000US310550067032,2
1500000US310550002004,2
1500000US310550030006,2
1500000US310550073101,2
1500000US310550050005,2
1500000US310550061011,2
1500000US310550067012,2
1500000US310550067031,2
1500000US310550066033,2
1500000US310550073031,2
1500000US310550063013,2
1500000US310550065042,2
1500000US310550030002,1
1500000US310550034012,1
1500000US310550074363,1
1500000US310550074634,1
1500000US310550074331,1
1500000US310550074441,1
1500000US310550028001,1
1500000US310550064004,1
1500000US310550050001,1
1500000US310550036004,1
1500000US310550040003,1
1500000US310550051002,1
1500000US310550074471,1
1500000US310550046002,1
1500000US310550074721,1
1500000US310550036003,1
1500000US310550050004,1
1500000US310550074532,1
1500000US310550066042,1
1500000US310550068061,1
1500000US310550073121,1
1500000US310550068032,1
1500000US310550063012,1
1500000US310550075121,1
1500000US310550057001,1
1500000US310550055002,1
1500000US310550074321,1
1500000US310550063022,1
1500000US310550074591,1
1500000US310550066032,1
1500000US310550074402,1
1500000US310550069063,1
1500000US310550074563,1
1500000US310550066021,1
1500000US310550030001,1
1500000US310550058006,1
1500000US310550056003,1
1500000US310550074583,1
1500000US310550054002,1
1500000US310550074472,1
1500000US310550074502,1
1500000US310550055004,1
1500000US310550069052,1
1500000US310550074061,1
1500000US310550074632,1
1500000US310550069042,1
1500000US310550074071,1
1500000US310550034013,1
1500000US310550064006,1
1500000US310550074625,1
1500000US310550074081,1
1500000US310550074483,1
1500000US310550066043,1
1500000US310550074511,1
1500000US310550074353,1
1500000US310550030004,1
1500000US310550075062,1
1500000US310550074623,1
1500000US310550071021,1
1500000US310550030007,1
1500000US310550035002,1
1500000US310550074665,1
1500000US310550074573,1
1500000US310550043003,1
1500000US310550074643,1
