AFFGEOID,count
1500000US421010005001,1369
1500000US421010007002,917
1500000US420912031053,763
1500000US421010004022,740
1500000US421010006001,413
1500000US421019809001,412
1500000US421019807001,388
1500000US421019800001,388
1500000US421010004011,322
1500000US421010382003,314
1500000US421010002001,312
1500000US421010144002,309
1500000US421010142002,280
1500000US421010001001,275
1500000US421010376002,266
1500000US421010363011,264
1500000US421010367001,243
1500000US421010010021,241
1500000US421010369003,237
1500000US421010302001,237
1500000US421010177012,233
1500000US421010003001,226
1500000US421010147002,222
1500000US421010153004,220
1500000US421010173002,219
1500000US421010111001,215
1500000US421010140001,210
1500000US421010203002,209
1500000US421010346001,204
1500000US421010038002,201
1500000US421010383001,195
1500000US421010334004,194
1500000US421010161001,187
1500000US421010201011,182
1500000US421019804001,176
1500000US421010366001,175
1500000US421019803001,171
1500000US421010125002,168
1500000US421010001002,168
1500000US421010009011,161
1500000US421010019003,158
1500000US421010360001,158
1500000US421010377001,156
1500000US421010390001,154
1500000US421010335002,154
1500000US421010133002,153
1500000US421010086021,153
1500000US421010008043,152
1500000US421010382001,151
1500000US421010170002,151
1500000US421010278004,146
1500000US421010314015,143
1500000US421010298004,141
1500000US421010008041,139
1500000US421010146001,139
1500000US421010084004,138
1500000US421010087021,138
1500000US421010138002,137
1500000US421010157003,135
1500000US421010379003,135
1500000US421010288003,132
1500000US421010102002,128
1500000US421010241001,128
1500000US421010200002,126
1500000US421010122031,125
1500000US421010201022,124
1500000US421010293002,123
1500000US421010205002,120
1500000US421010285001,119
1500000US421010163004,119
1500000US421010287001,118
1500000US421010107002,117
1500000US421010009012,117
1500000US421010104003,117
1500000US421010161002,117
1500000US421010300004,116
1500000US421010029003,113
1500000US421010190005,113
1500000US421010141001,113
1500000US421010281003,113
1500000US421010369001,112
1500000US421010282001,112
1500000US421010063004,112
1500000US421010088023,110
1500000US421010171003,110
1500000US421010203001,109
1500000US421010152002,109
1500000US421010139003,109
1500000US421010176013,108
1500000US421010013005,102
1500000US421010036003,102
1500000US421010140003,102
1500000US421010166001,102
1500000US421010125003,101
1500000US421010090004,101
1500000US421010282003,101
1500000US421010132002,100
1500000US421010291003,99
1500000US421010207004,99
1500000US421010141002,98
1500000US421010066004,97
1500000US421010092001,97
1500000US421010319002,96
1500000US421010192004,95
1500000US421019801001,95
1500000US421010206001,94
1500000US421010376001,94
1500000US421010133001,94
1500000US421010092002,94
1500000US421010091002,94
1500000US421010072006,93
1500000US421010135004,93
1500000US421010151023,92
1500000US421010177013,90
1500000US421010016001,90
1500000US421010248002,90
1500000US421010178005,90
1500000US421010280004,89
1500000US421010011021,89
1500000US421010149006,88
1500000US421010273002,88
1500000US421010291001,88
1500000US421010246003,88
1500000US421010151021,88
1500000US421010172011,87
1500000US421010085007,87
1500000US421010105002,85
1500000US421010033002,85
1500000US421010175006,84
1500000US421010022003,84
1500000US421010062004,84
1500000US421010316007,84
1500000US421010205001,84
1500000US421010321001,84
1500000US421010176014,84
1500000US421010165003,84
1500000US421010007003,83
1500000US421010169013,83
1500000US421010315021,83
1500000US421010152004,82
1500000US421010175003,82
1500000US421010014001,82
1500000US421010278003,81
1500000US421010169023,81
1500000US421010316003,80
1500000US421010377002,80
1500000US421010137005,80
1500000US421010167024,79
1500000US421010093004,79
1500000US421010325003,78
1500000US421010263024,78
1500000US421010083011,77
1500000US421010247002,77
1500000US421010088011,77
1500000US421010010012,77
1500000US421010177011,77
1500000US421010367002,76
1500000US421010167023,76
1500000US421010174002,76
1500000US421010178007,76
1500000US421010202005,76
1500000US421010174001,76
1500000US421010021002,75
1500000US421010191005,75
1500000US421010195011,74
1500000US421010015002,74
1500000US421010143001,74
1500000US421010153003,74
1500000US421010167013,73
1500000US421010083022,73
1500000US421010100001,73
1500000US421010300007,72
1500000US421010172022,72
1500000US421010137002,72
1500000US421010359001,72
1500000US421010292002,72
1500000US421010321003,71
1500000US421010204002,71
1500000US421010286001,71
1500000US421010173001,71
1500000US421010111004,71
1500000US421010289012,71
1500000US421010177025,71
1500000US421010147001,70
1500000US421010031006,70
1500000US421010325004,70
1500000US421010202001,69
1500000US421010290003,69
1500000US421010009022,69
1500000US421010301002,69
1500000US421010305024,69
1500000US421010190001,68
1500000US421010113002,68
1500000US421010020001,68
1500000US421010166002,68
1500000US421010031001,68
1500000US421010042022,68
1500000US421010082005,67
1500000US421010041021,67
1500000US421010093005,67
1500000US421010197001,67
1500000US421010024005,67
1500000US421010162002,67
1500000US421010171004,67
1500000US421010160003,66
1500000US421010175001,66
1500000US421010240001,66
1500000US421010096001,66
1500000US421010300006,66
1500000US421010088022,65
1500000US421010074004,65
1500000US421010238002,65
1500000US421010019002,64
1500000US421010014003,64
1500000US421010299004,64
1500000US421010125001,64
1500000US421010176023,64
1500000US421010176021,63
1500000US421010382002,63
1500000US421010039011,63
1500000US421010114001,63
1500000US421010179004,63
1500000US421010339002,63
1500000US421010323003,63
1500000US421010293001,62
1500000US421010201013,62
1500000US421010169021,62
1500000US421010268001,62
1500000US421010163001,62
1500000US421010024003,62
1500000US421010386001,62
1500000US421010148001,61
1500000US421010240002,61
1500000US421010003002,61
1500000US421010381002,61
1500000US421010094004,61
1500000US421010289011,61
1500000US421010245001,60
1500000US421010060001,60
1500000US421010161004,60
1500000US421010198001,60
1500000US421010119003,60
1500000US421010067004,60
1500000US421010015001,60
1500000US421010195021,60
1500000US421010369002,60
1500000US421010348013,59
1500000US421010177023,59
1500000US421010195022,59
1500000US421010199004,59
1500000US421010301005,59
1500000US421010080004,59
1500000US421010085005,58
1500000US421010195012,58
1500000US421010306001,58
1500000US421010139002,58
1500000US421010161003,58
1500000US421010188007,58
1500000US421010307002,58
1500000US421010156002,58
1500000US421010191004,58
1500000US421010288001,57
1500000US421010067007,57
1500000US421010286006,57
1500000US421010164003,57
1500000US421010108003,57
1500000US421010243002,57
1500000US421010244002,57
1500000US421010055001,57
1500000US421010066003,57
1500000US421010040014,57
1500000US421010272002,57
1500000US421010018002,56
1500000US421010064003,56
1500000US421010087012,56
1500000US421010192002,56
1500000US421010160006,56
1500000US421010157001,56
1500000US421010278002,56
1500000US421010177024,56
1500000US421010188005,56
1500000US421010083023,56
1500000US421010151022,56
1500000US421010192005,55
1500000US421010095004,55
1500000US421010278001,55
1500000US421010291002,55
1500000US421010294003,55
1500000US421019805001,54
1500000US421010071013,54
1500000US421010090003,54
1500000US421010101004,54
1500000US421010315012,54
1500000US421010276001,54
1500000US421010086011,54
1500000US421010169022,54
1500000US421010305011,54
1500000US421010318001,53
1500000US421010004021,53
1500000US421010384002,53
1500000US421010188003,53
1500000US421010337013,53
1500000US421010064001,53
1500000US421010188004,53
1500000US421010012013,53
1500000US421010283007,53
1500000US421010103001,53
1500000US420912043001,53
1500000US421010070003,53
1500000US421010169024,53
1500000US421010023002,53
1500000US421010332002,52
1500000US421010178006,52
1500000US421010281001,52
1500000US421010314011,52
1500000US421010275001,52
1500000US421010311022,52
1500000US421010178001,52
1500000US421010355003,51
1500000US421010140002,51
1500000US421010085006,51
1500000US421010275002,51
1500000US421010067005,51
1500000US421010106002,51
1500000US421010100004,51
1500000US421010283003,51
1500000US421010309003,50
1500000US421010199002,50
1500000US421010027021,50
1500000US421010198002,50
1500000US421010242002,50
1500000US421010167011,50
1500000US421010276004,50
1500000US421010210004,50
1500000US421010169011,50
1500000US421010378003,50
1500000US421010179002,50
1500000US421010108004,50
1500000US421010314023,50
1500000US421010215002,49
1500000US421010381001,49
1500000US421010056001,49
1500000US421010105003,49
1500000US421010172024,49
1500000US421010372004,49
1500000US421010220001,49
1500000US421010041014,49
1500000US421010273001,49
1500000US421010177022,49
1500000US421010114006,49
1500000US421010111003,48
1500000US421010111002,48
1500000US421010330005,48
1500000US421010216002,48
1500000US421010149001,48
1500000US421010176015,48
1500000US421010337022,48
1500000US421010292001,48
1500000US421010373002,48
1500000US421010088012,48
1500000US421010085001,48
1500000US421010313002,48
1500000US421010362013,48
1500000US421010144003,47
1500000US421010172012,47
1500000US421010054001,47
1500000US421010281002,47
1500000US421010201012,47
1500000US421010179005,47
1500000US421010104004,47
1500000US421010153001,47
1500000US421010081024,47
