AFFGEOID,count
1500000US421019809001,12.333333333333334
1500000US420912031053,8.666666666666666
1500000US421019800001,7.666666666666667
1500000US421010063004,4.333333333333333
1500000US421010140001,3.6666666666666665
1500000US421010144002,3.6666666666666665
1500000US421010056001,3.3333333333333335
1500000US421010170002,3.3333333333333335
1500000US421010092002,3.0
1500000US421010383001,3.0
1500000US421010366001,3.0
1500000US421010173002,3.0
1500000US421010263024,3.0
1500000US421010285001,2.6666666666666665
1500000US421010201011,2.6666666666666665
1500000US421010135004,2.6666666666666665
1500000US421010202005,2.3333333333333335
1500000US421010161001,2.3333333333333335
1500000US421010161002,2.3333333333333335
1500000US421010111002,2.0
1500000US421010142002,2.0
1500000US421010198001,2.0
1500000US421010203002,2.0
1500000US421010282002,2.0
1500000US421010114002,2.0
1500000US421010190001,2.0
1500000US421010288001,2.0
1500000US421010007002,2.0
1500000US421010119003,2.0
1500000US421010084004,2.0
1500000US421010001002,2.0
1500000US421010073004,2.0
1500000US421010177023,2.0
1500000US421010114006,2.0
1500000US421010249001,2.0
1500000US421010381002,2.0
1500000US421010243002,1.6666666666666667
1500000US421010283006,1.6666666666666667
1500000US421010033004,1.6666666666666667
1500000US421010311022,1.6666666666666667
1500000US421010382002,1.6666666666666667
1500000US421010033002,1.6666666666666667
1500000US421010177024,1.6666666666666667
1500000US421010192004,1.6666666666666667
1500000US421010266007,1.6666666666666667
1500000US421010067007,1.6666666666666667
1500000US421010379003,1.6666666666666667
1500000US421010036003,1.6666666666666667
1500000US421010171004,1.6666666666666667
1500000US421010351001,1.6666666666666667
1500000US421010060005,1.6666666666666667
1500000US421010167024,1.6666666666666667
1500000US421010175006,1.6666666666666667
1500000US421010191005,1.6666666666666667
1500000US421010382003,1.6666666666666667
1500000US421010082005,1.6666666666666667
1500000US421010151021,1.6666666666666667
1500000US421010305011,1.6666666666666667
1500000US421010305024,1.6666666666666667
1500000US421010111003,1.6666666666666667
1500000US421010160003,1.6666666666666667
1500000US421010377002,1.6666666666666667
1500000US421010036004,1.6666666666666667
1500000US421010167023,1.6666666666666667
1500000US421010201023,1.6666666666666667
1500000US421010147002,1.6666666666666667
1500000US421019807001,1.6666666666666667
1500000US421010286001,1.3333333333333333
1500000US421010367001,1.3333333333333333
1500000US421010179004,1.3333333333333333
1500000US421010309001,1.3333333333333333
1500000US421010165003,1.3333333333333333
1500000US421010289025,1.3333333333333333
1500000US421010192002,1.3333333333333333
1500000US421010300006,1.3333333333333333
1500000US421010367002,1.3333333333333333
1500000US421010330005,1.3333333333333333
1500000US421010197006,1.3333333333333333
1500000US421010141001,1.3333333333333333
1500000US421010205002,1.3333333333333333
1500000US421010267007,1.3333333333333333
1500000US421010280003,1.3333333333333333
1500000US421010300007,1.3333333333333333
1500000US421010245002,1.3333333333333333
1500000US421010054001,1.3333333333333333
1500000US421010038002,1.3333333333333333
1500000US421010013005,1.3333333333333333
1500000US421010144003,1.3333333333333333
1500000US421010092001,1.3333333333333333
1500000US421010253001,1.3333333333333333
1500000US421010172022,1.3333333333333333
1500000US421010177012,1.3333333333333333
1500000US421010021001,1.3333333333333333
1500000US421010018002,1.3333333333333333
1500000US421010157003,1.3333333333333333
1500000US421010188004,1.3333333333333333
1500000US421010333003,1.3333333333333333
1500000US421010287001,1.3333333333333333
1500000US421010382001,1.3333333333333333
1500000US421010203001,1.3333333333333333
1500000US421010242002,1.3333333333333333
1500000US421010321001,1.3333333333333333
1500000US421010289011,1.3333333333333333
1500000US421010086011,1.3333333333333333
1500000US421010278001,1.3333333333333333
1500000US421010253005,1.3333333333333333
1500000US421010190002,1.3333333333333333
1500000US421010325004,1.3333333333333333
1500000US421010190005,1.3333333333333333
1500000US421010330004,1.3333333333333333
1500000US421010312002,1.3333333333333333
1500000US421010071012,1.0
1500000US421010151012,1.0
1500000US421010376001,1.0
1500000US421010281002,1.0
1500000US421010171003,1.0
1500000US421010314013,1.0
1500000US421010289022,1.0
1500000US421010280002,1.0
1500000US421010169012,1.0
1500000US421010292003,1.0
1500000US421010212001,1.0
1500000US421010138002,1.0
1500000US421010378001,1.0
1500000US421010244002,1.0
1500000US421010330003,1.0
1500000US421010062004,1.0
1500000US421010347021,1.0
1500000US421010197001,1.0
1500000US421010095004,1.0
1500000US421010039012,1.0
1500000US421010143001,1.0
1500000US421010174001,1.0
1500000US421010372004,1.0
1500000US421010176023,1.0
1500000US421010111005,1.0
1500000US421010101006,1.0
1500000US421010309002,1.0
1500000US421010178003,1.0
1500000US421010067001,1.0
1500000US421010152002,1.0
1500000US421010376002,1.0
1500000US421010067006,1.0
1500000US421010110001,1.0
1500000US421010207004,1.0
1500000US421010093005,1.0
1500000US421010195011,1.0
1500000US421010151023,1.0
1500000US421010174002,1.0
1500000US421010133002,1.0
1500000US421010247004,1.0
1500000US421010353011,1.0
1500000US421010252005,1.0
1500000US421010302002,1.0
1500000US421010167013,1.0
1500000US421019803001,1.0
1500000US421010114001,1.0
1500000US421010246003,1.0
1500000US421010315021,1.0
1500000US421010003001,1.0
1500000US421010331024,1.0
1500000US421010133001,1.0
1500000US421010315023,1.0
1500000US421010070005,1.0
1500000US421010069003,1.0
1500000US421010379002,1.0
1500000US421010334004,1.0
1500000US421010156002,1.0
1500000US421010302003,1.0
1500000US421010360001,1.0
1500000US421010314015,1.0
1500000US421010198002,1.0
1500000US421010100004,1.0
1500000US421010083023,1.0
1500000US421010180023,1.0
1500000US421010349002,1.0
1500000US421010289012,1.0
1500000US421010241001,1.0
1500000US421010288002,1.0
1500000US421010180011,1.0
1500000US421010071023,1.0
1500000US421010067005,1.0
1500000US421010318002,1.0
1500000US421010337022,1.0
1500000US421010294003,1.0
1500000US421010373002,1.0
1500000US421010176013,1.0
1500000US421010329005,1.0
1500000US421010101005,1.0
1500000US421010332002,1.0
1500000US421010103001,1.0
1500000US421010083022,1.0
1500000US421010094002,1.0
1500000US421010266001,1.0
1500000US421010042011,1.0
1500000US421010183001,1.0
1500000US421010122042,1.0
1500000US421010195022,1.0
1500000US421010206001,1.0
1500000US421010023002,1.0
1500000US421010039024,1.0
1500000US421010119002,1.0
1500000US421010071022,1.0
1500000US421010102002,1.0
1500000US421010070003,1.0
1500000US421010064002,1.0
1500000US421010163004,1.0
1500000US421010083012,1.0
1500000US421010184001,1.0
1500000US421010157002,1.0
1500000US421010389001,1.0
1500000US421010001001,1.0
1500000US421010265006,1.0
1500000US421010346001,1.0
1500000US421010305021,0.6666666666666666
1500000US421010100001,0.6666666666666666
1500000US421010041022,0.6666666666666666
1500000US421010252007,0.6666666666666666
1500000US421010345023,0.6666666666666666
1500000US421010283003,0.6666666666666666
1500000US421010032004,0.6666666666666666
1500000US421010326001,0.6666666666666666
1500000US421010180024,0.6666666666666666
1500000US421010348021,0.6666666666666666
1500000US421010267001,0.6666666666666666
1500000US421010248001,0.6666666666666666
1500000US421010175002,0.6666666666666666
1500000US421010177013,0.6666666666666666
1500000US421010305013,0.6666666666666666
