AFFGEOID,count
1500000US420912031053,266
1500000US421010005001,178
1500000US421010004022,146
1500000US421010302001,89
1500000US421010201022,86
1500000US421010173002,86
1500000US421010177012,78
1500000US421010006001,71
1500000US421010203002,69
1500000US421010007002,67
1500000US421010383001,67
1500000US421010382003,66
1500000US421010177013,61
1500000US421010203001,60
1500000US421010140001,54
1500000US421010176013,54
1500000US421010152002,52
1500000US421010147002,51
1500000US421010192004,51
1500000US421010107002,49
1500000US421010176014,48
1500000US421010293002,46
1500000US421010036003,46
1500000US421010177011,46
1500000US421010282003,45
1500000US421010102002,44
1500000US421010169023,44
1500000US421010175006,43
1500000US421010153004,43
1500000US421019809001,42
1500000US421010002001,42
1500000US421010285001,41
1500000US421010104003,41
1500000US421010376002,41
1500000US421010092001,41
1500000US421010178007,41
1500000US421010205001,40
1500000US421010201011,40
1500000US421019800001,40
1500000US421010151021,40
1500000US421010113002,39
1500000US421010165003,39
1500000US421010280004,38
1500000US421010176023,38
1500000US421010288003,37
1500000US421010105002,37
1500000US421010287001,36
1500000US421010190005,36
1500000US421010278004,36
1500000US421010176021,35
1500000US421010335002,35
1500000US421010144002,35
1500000US421010278003,35
1500000US421010171003,35
1500000US421010167013,35
1500000US421010202005,35
1500000US421010175003,34
1500000US421010084004,34
1500000US421010300007,34
1500000US421010178001,34
1500000US421010174001,34
1500000US421010141001,34
1500000US421010111004,34
1500000US421010195012,33
1500000US421010093005,33
1500000US421010096001,32
1500000US421010172022,32
1500000US421010299004,32
1500000US421010157003,32
1500000US421010093004,32
1500000US421010063004,32
1500000US421010195013,32
1500000US421010192005,31
1500000US421010195022,31
1500000US421010301002,30
1500000US421010284001,30
1500000US421010300006,30
1500000US421010163001,30
1500000US421010085005,30
1500000US421010170002,30
1500000US421010188007,30
1500000US421010010021,29
1500000US421010174002,29
1500000US421010164003,29
1500000US421010172011,29
1500000US421010141002,29
1500000US421010175001,29
1500000US421010241001,29
1500000US421010382001,29
1500000US421010195023,29
1500000US421010177025,29
1500000US421010325003,29
1500000US421010178005,29
1500000US421010246003,29
1500000US421010151022,28
1500000US421010080004,28
1500000US421010293001,28
1500000US421010188003,28
1500000US421010163004,28
1500000US421019805001,28
1500000US421010151023,28
1500000US421010289011,28
1500000US421010074004,28
1500000US421010062004,27
1500000US421010009012,27
1500000US421010142002,27
1500000US421010330005,27
1500000US421010169021,27
1500000US421010162002,27
1500000US421010200002,27
1500000US421010169024,27
1500000US421010192002,27
1500000US421010041021,27
1500000US421019891001,26
1500000US421010177024,26
1500000US421010195021,26
1500000US421010276001,26
1500000US421010169013,26
1500000US421010094004,26
1500000US421010179004,26
1500000US421010015002,26
1500000US421010111001,26
1500000US421010133002,26
1500000US421010148001,26
1500000US421010177023,25
1500000US421010071013,25
1500000US421010201012,25
1500000US421010292002,25
1500000US421010167012,25
1500000US421010083023,25
1500000US421010149001,25
1500000US421010204002,25
1500000US421010201021,25
1500000US421010201013,25
1500000US421010004011,25
1500000US421010067004,24
1500000US421010172012,24
1500000US421010008043,24
1500000US421010199004,24
1500000US421010390001,24
1500000US421010171004,24
1500000US421010281002,24
1500000US421010166001,24
1500000US421010366001,24
1500000US421010003001,24
1500000US421010009011,24
1500000US421010001001,24
1500000US421010165001,24
1500000US421010190001,23
1500000US421010172024,23
1500000US421010188004,23
1500000US421010072006,23
1500000US421010041022,23
1500000US421010066004,23
1500000US421010321003,23
1500000US421010325004,23
1500000US421010283007,23
1500000US421010083011,23
1500000US421010083022,23
1500000US421010197006,23
1500000US421010066003,23
1500000US421010294003,23
1500000US421010205002,23
1500000US421010300004,22
1500000US421010199003,22
1500000US421010103001,22
1500000US421010094002,22
1500000US421010096002,22
1500000US421010033001,22
1500000US421010152004,22
1500000US421010188005,22
1500000US421010199002,22
1500000US421010292001,22
1500000US421010278001,22
1500000US421010069001,22
1500000US421010176012,22
1500000US421010176015,22
1500000US421010323003,22
1500000US421010165002,22
1500000US421010305024,21
1500000US421010178003,21
1500000US421010112007,21
1500000US421010086021,21
1500000US421010167011,21
1500000US421010248002,21
1500000US421010252006,21
1500000US421010195011,21
1500000US421010096003,21
1500000US421010085006,21
1500000US421010067005,21
1500000US421010147001,21
1500000US421010119003,21
1500000US421010286001,21
1500000US421010282001,21
1500000US421010198001,20
1500000US421010177021,20
1500000US421010188001,20
1500000US421010202001,20
1500000US421010281001,20
1500000US421010278002,20
1500000US421010346001,20
1500000US421010064001,20
1500000US421010166002,20
1500000US421010041014,20
1500000US421010169011,20
1500000US421010172021,20
1500000US421010175005,20
1500000US421010274024,20
1500000US421010279014,20
1500000US421010268001,20
1500000US421010167024,20
1500000US421010198005,20
1500000US421010163002,20
1500000US421010080003,20
1500000US421010191004,20
1500000US421010191005,20
1500000US421010287002,20
1500000US421010204004,19
1500000US421010060004,19
1500000US421010290003,19
1500000US421010164001,19
1500000US421010172013,19
1500000US421010198006,19
1500000US421010152005,19
1500000US421010138002,19
1500000US421010178006,19
1500000US421010132002,19
1500000US421010114001,19
1500000US421010201023,19
1500000US421010197002,19
1500000US421010096005,19
1500000US421010095004,19
1500000US421010177022,19
1500000US421010263022,19
1500000US421010291002,19
1500000US421010072001,19
1500000US421010179002,19
1500000US421010282002,19
1500000US421010332002,19
1500000US421010107004,19
1500000US421010091002,19
1500000US421010276003,19
1500000US421010280001,19
1500000US421010082003,19
1500000US421010198002,19
1500000US421010246002,19
1500000US421010244002,19
1500000US421010274023,18
1500000US421010263024,18
1500000US421010156002,18
1500000US421010064003,18
1500000US421010067007,18
1500000US421010242003,18
1500000US421010082005,18
1500000US421010291001,18
1500000US421010139002,18
1500000US421010167023,18
1500000US421010245003,18
1500000US421010197001,18
1500000US421010197005,18
1500000US421010245001,18
1500000US421010108003,18
1500000US421010247005,18
1500000US421010055001,18
1500000US421010321001,18
1500000US421010071012,18
1500000US421010083012,18
1500000US421010190004,18
1500000US421010085007,18
1500000US421010071022,18
1500000US421010279022,18
1500000US421010095003,17
1500000US421010151012,17
1500000US421010247004,17
1500000US421010202004,17
1500000US421010114003,17
1500000US421010175002,17
1500000US421010041012,17
1500000US421010085004,17
1500000US421019808001,17
1500000US421010038002,17
1500000US421010083021,17
1500000US421010300003,17
1500000US421010176022,17
1500000US421010381001,17
1500000US421010363011,17
1500000US421010275001,17
1500000US421010001002,17
1500000US421010275002,17
1500000US421010164004,17
1500000US421010108005,17
1500000US421010245004,17
1500000US421010122042,17
1500000US421010066001,17
1500000US421010033002,17
1500000US421010291003,17
1500000US421010094003,17
1500000US421010376001,17
1500000US421019807001,17
1500000US421010217003,17
1500000US421010315021,17
1500000US421010289022,17
1500000US421010133001,17
1500000US421010240002,16
1500000US421010246001,16
1500000US421010106002,16
1500000US421010172023,16
1500000US421010169012,16
1500000US421010140003,16
1500000US421010101004,16
1500000US421010108002,16
1500000US421010268003,16
1500000US421010169022,16
1500000US421010242002,16
1500000US421010082002,16
1500000US421010086023,16
1500000US421010161002,16
1500000US421010314023,16
1500000US421010280002,16
1500000US421010273001,16
1500000US421010188002,16
1500000US421010301001,16
1500000US421010110003,16
1500000US421010273002,16
1500000US421010286006,16
1500000US421010113003,16
1500000US421010192003,16
1500000US421010167022,16
1500000US421010071021,16
1500000US421010065003,16
1500000US421010377002,16
1500000US421010272002,15
1500000US421010369003,15
1500000US421010008041,15
1500000US421010111003,15
1500000US421010382002,15
1500000US421010247002,15
1500000US421010060001,15
1500000US421010197004,15
1500000US421010146001,15
1500000US421010119001,15
1500000US421010153003,15
1500000US421010204003,15
1500000US421010289012,15
1500000US421010152003,15
1500000US421010032003,15
1500000US421010267006,14
1500000US421010279021,14
1500000US421010289021,14
1500000US421010037014,14
1500000US421010022003,14
1500000US421010300002,14
1500000US421010104004,14
1500000US421010274012,14
1500000US421010112005,14
1500000US421010125001,14
1500000US421010083013,14
1500000US421010084002,14
1500000US421010168003,14
1500000US421010101006,14
1500000US421010290002,14
1500000US421010132001,14
1500000US421010173001,14
1500000US421010266001,14
1500000US421010301005,14
1500000US421010105003,14
1500000US421010315011,14
1500000US421010267005,14
1500000US421010310004,14
1500000US421010289023,14
1500000US421010080002,14
1500000US421010244003,14
1500000US421010114005,14
1500000US421010087021,14
1500000US421010357011,14
1500000US421010298004,14
1500000US421010108001,13
1500000US421010367001,13
1500000US421010096004,13
1500000US421010118003,13
1500000US421010299003,13
1500000US421010252007,13
1500000US421010067006,13
1500000US421010011013,13
1500000US421010315012,13
1500000US421010349001,13
1500000US421010284004,13
1500000US421010168006,13
1500000US421010191003,13
1500000US421010349004,13
1500000US421010143001,13
1500000US421010080001,13
1500000US421010110004,13
1500000US421010074005,13
1500000US421010202002,13
1500000US421010149003,13
1500000US421010070003,13
1500000US421010210004,13
1500000US421010302003,13
1500000US421010036004,13
1500000US421010318001,13
1500000US421010092002,13
1500000US421010202003,13
1500000US421010103002,13
1500000US421010170003,13
1500000US421010111002,13
1500000US421010114006,13
1500000US421010383003,12
1500000US421010040014,12
1500000US421010149002,12
1500000US421010138001,12
1500000US421010010012,12
1500000US421010389003,12
1500000US421010245002,12
1500000US421010389001,12
1500000US421010288001,12
1500000US421010332001,12
1500000US421010294002,12
1500000US421010041013,12
1500000US421010093002,12
1500000US421010063002,12
1500000US421010306001,12
1500000US421010270002,12
1500000US421010202006,12
1500000US421010277006,12
1500000US421010302004,12
1500000US421010100001,12
1500000US421019803001,12
1500000US421010153001,12
1500000US421010081024,12
1500000US421010125002,12
1500000US421010348013,12
1500000US421010301004,12
1500000US421010115003,12
1500000US421010201024,12
1500000US421010024005,12
1500000US421010086011,12
1500000US421010018002,12
1500000US421010029003,12
1500000US421010298005,12
1500000US421010379003,12
1500000US421010330004,12
1500000US421010249001,12
1500000US421010032005,11
1500000US421010027013,11
1500000US421010119002,11
1500000US421010338002,11
1500000US421010198004,11
1500000US421010311024,11
1500000US421010149006,11
1500000US421010306007,11
1500000US421010144003,11
1500000US421010028012,11
1500000US421010069002,11
1500000US421010279013,11
1500000US421010252003,11
1500000US421010265005,11
1500000US421010280003,11
1500000US421010178004,11
1500000US421010137005,11
1500000US421010316003,11
1500000US421010152001,11
1500000US421010313002,11
1500000US421010184002,11
1500000US421010179005,11
1500000US421010022001,11
1500000US421010082001,11
1500000US421010032006,11
1500000US421010115002,11
1500000US421010071011,11
1500000US421010390004,11
1500000US421010321002,11
1500000US421010286005,11
1500000US421010276004,11
1500000US421010019002,11
1500000US421010289024,11
1500000US421010190003,11
1500000US421010094001,11
1500000US421010084005,11
1500000US421010319005,11
1500000US421010390006,11
1500000US421010062002,11
1500000US421010314013,11
1500000US421010323002,11
1500000US421010031001,11
1500000US421010067001,11
1500000US421010163003,11
1500000US421010161001,11
1500000US421010171002,11
1500000US421010098022,11
1500000US421010069003,11
1500000US421010272003,11
1500000US421010085002,11
1500000US421010071025,11
1500000US421010192001,11
1500000US421010019003,10
1500000US421010065001,10
1500000US421010149004,10
1500000US421010300005,10
1500000US421010085001,10
1500000US421010171001,10
1500000US421010253001,10
1500000US421010249003,10
1500000US421010081023,10
1500000US421010037022,10
1500000US421010302005,10
1500000US421010283001,10
1500000US421010084006,10
1500000US421010151011,10
1500000US421010216002,10
1500000US421010109001,10
1500000US421010305013,10
1500000US421010254002,10
1500000US421010033004,10
1500000US421010311023,10
1500000US421010073004,10
1500000US421010377001,10
1500000US421010168005,10
1500000US421010074003,10
1500000US420912043001,10
1500000US421010061002,10
1500000US421010242001,10
1500000US421010065004,10
1500000US421010178002,10
1500000US421010041024,10
1500000US421010079003,10
1500000US421010175004,10
1500000US421010176011,10
1500000US421010153002,10
1500000US421010190002,10
1500000US421010083024,10
1500000US421010037015,10
1500000US421010283004,10
1500000US421010125003,10
1500000US421010017002,10
1500000US421010207004,10
1500000US421010139003,10
1500000US421010390008,10
1500000US421010252004,10
1500000US421010040022,10
1500000US421010281003,10
1500000US421010135004,10
1500000US421010191002,10
1500000US421010037013,10
1500000US421010325002,10
1500000US421010074002,10
1500000US421010317001,10
1500000US421010131001,10
1500000US421010028011,10
1500000US421010040013,10
1500000US421010109003,10
1500000US421010180011,10
1500000US421010111005,10
1500000US421010286002,10
1500000US421010028013,10
1500000US421010014003,10
1500000US421010316007,10
1500000US421010331011,9
1500000US421010331012,9
1500000US421010122031,9
1500000US421010277005,9
1500000US421010263021,9
1500000US421010065002,9
1500000US421010360001,9
1500000US421010390002,9
1500000US421010192006,9
1500000US421010086012,9
1500000US421010375001,9
1500000US421010274011,9
1500000US421010237002,9
1500000US421010079004,9
1500000US421010081011,9
1500000US421010277004,9
1500000US421010316002,9
1500000US421010211002,9
1500000US421010314015,9
1500000US421010188006,9
1500000US421010039021,9
1500000US421010312001,9
1500000US421010274025,9
1500000US421010117001,9
