AFFGEOID,count
1500000US371830501001,56
1500000US371830545002,42
1500000US371830509002,41
1500000US371830527073,34
1500000US371830509003,33
1500000US371830519001,32
1500000US371830520012,28
1500000US371830527041,27
1500000US371830503002,23
1500000US371830507003,23
1500000US371830540181,23
1500000US371830527061,22
1500000US371830527051,20
1500000US371830540013,19
1500000US371830540082,18
1500000US371830540141,18
1500000US371830507001,17
1500000US371830527013,17
1500000US371830521021,16
1500000US371830528064,16
1500000US371830524062,16
1500000US371830508002,16
1500000US371830545003,16
1500000US371830527052,16
1500000US371830505002,16
1500000US371830541052,15
1500000US371830509001,15
1500000US371830520024,15
1500000US371830527043,15
1500000US371830521011,14
1500000US371830527012,14
1500000US371830506002,14
1500000US371830540151,14
1500000US371830527063,14
1500000US371830520023,13
1500000US371830521012,13
1500000US371830519002,13
1500000US371830541061,12
1500000US371830521014,12
1500000US371830527071,12
1500000US371830528033,12
1500000US371830528061,11
1500000US371830520022,11
1500000US371830528062,11
1500000US371830507002,11
1500000US371830545001,10
1500000US371830511012,10
1500000US371830524081,10
1500000US371830521013,10
1500000US371830536101,10
1500000US371830540142,10
1500000US371830523023,9
1500000US371830524082,9
1500000US371830523013,9
1500000US371830508003,9
1500000US371830540083,8
1500000US371830520011,8
1500000US371830540182,8
1500000US371830525072,8
1500000US371830524072,7
1500000US371830537171,7
1500000US371830521022,7
1500000US371830523012,7
1500000US371830542071,7
1500000US371830527042,7
1500000US371830508001,6
1500000US371830527011,6
1500000US371830540084,6
1500000US371830540071,6
1500000US371830518003,6
1500000US371830545004,6
1500000US371830503001,6
1500000US371830541063,6
1500000US371830537261,6
1500000US371830514005,6
1500000US371830541041,6
1500000US371830525052,6
1500000US371830537162,6
1500000US371830505003,6
1500000US371830504001,6
1500000US371830530081,5
1500000US371830540061,5
1500000US371830541054,5
1500000US371830542081,5
1500000US371830506001,5
1500000US371830527072,5
1500000US371830506003,5
1500000US371830540143,5
1500000US371830524093,5
1500000US371830536102,5
1500000US371830524011,5
1500000US371830540011,5
1500000US371830523021,5
1500000US371830541042,5
1500000US371830520021,5
1500000US371830537113,4
1500000US371830524061,4
1500000US371830512003,4
1500000US371830540171,4
1500000US371830523022,4
1500000US371830524071,4
1500000US371830526022,4
1500000US371830537072,4
1500000US371830541043,4
1500000US371830524043,4
1500000US371830537092,3
1500000US371830540044,3
1500000US371830524063,3
1500000US371830540043,3
1500000US371830528072,3
1500000US371830511023,3
1500000US371830510002,3
1500000US371830525041,3
1500000US371830528071,3
1500000US371830540072,3
1500000US371830518001,3
1500000US371830537241,2
1500000US371830541053,2
1500000US371830540131,2
1500000US371830517003,2
1500000US371830541062,2
1500000US371830537143,2
1500000US371830540123,2
1500000US371830528063,2
1500000US371830537262,2
1500000US371830540062,2
1500000US371830537091,2
1500000US371830537161,2
1500000US371830511013,2
1500000US371830537073,2
1500000US371830540134,2
1500000US371830524091,2
1500000US371830541101,2
1500000US371830519003,2
1500000US371830540081,2
1500000US371830537093,2
1500000US371830538084,2
1500000US371830537251,2
1500000US371830541044,2
1500000US371830518002,2
1500000US371830512002,2
1500000US371830530031,1
1500000US371830537132,1
1500000US371830514001,1
1500000US371830523011,1
1500000US371830516001,1
1500000US371830516004,1
1500000US371830526021,1
1500000US371830528021,1
1500000US371830538071,1
1500000US371830541102,1
1500000US371830510001,1
1500000US371830524041,1
1500000US371830537141,1
1500000US371830541132,1
1500000US371830537181,1
1500000US371830541051,1
1500000US371830537131,1
1500000US371830540133,1
1500000US371830537151,1
1500000US371830540163,1
1500000US371830540122,1
1500000US371830525032,1
1500000US371830514004,1
1500000US371830537122,1
1500000US371830525043,1
1500000US371830525062,1
1500000US371830540132,1
1500000US371830542102,1
1500000US371830540121,1
1500000US371830542091,1
1500000US371830504002,1
