AFFGEOID,count
1500000US060759809001,121
1500000US060750180002,89
1500000US060750615001,61
1500000US060750607001,59
1500000US060750230011,58
1500000US060750177001,56
1500000US060759803001,54
1500000US060750122021,49
1500000US060750232002,46
1500000US060750233001,45
1500000US060750117002,43
1500000US060750177002,42
1500000US060750178021,41
1500000US060750176015,41
1500000US060750612001,37
1500000US060750228011,36
1500000US060750201001,36
1500000US060750176013,35
1500000US060750180001,35
1500000US060750234001,34
1500000US060750123011,33
1500000US060750159001,31
1500000US060750231032,30
1500000US060750160001,29
1500000US060750610001,29
1500000US060750178022,28
1500000US060750101002,27
1500000US060750612002,27
1500000US060750105002,26
1500000US060750479012,26
1500000US060750124022,26
1500000US060750176014,26
1500000US060750615003,25
1500000US060750251003,24
1500000US060750226002,24
1500000US060750101001,24
1500000US060750125022,24
1500000US060750234002,24
1500000US060750332031,23
1500000US060750122011,23
1500000US060750120002,23
1500000US060750206004,23
1500000US060750117001,22
1500000US060750227042,22
1500000US060750615002,22
1500000US060750176011,22
1500000US060750124023,22
1500000US060750231021,21
1500000US060750111002,21
1500000US060750111003,21
1500000US060750121001,21
1500000US060750611001,21
1500000US060750352021,20
1500000US060750164001,20
1500000US060750259002,20
1500000US060750232001,19
1500000US060750614002,19
1500000US060750169002,19
1500000US060750201003,19
1500000US060750610002,19
1500000US060750124011,19
1500000US060750257022,19
1500000US060750476001,19
1500000US060750614001,19
1500000US060750207001,18
1500000US060750257012,18
1500000US060750615004,18
1500000US060750201002,17
1500000US060750102001,17
1500000US060750230013,17
1500000US060750227021,17
1500000US060750231022,17
1500000US060750121002,17
1500000US060750251001,17
1500000US060750125012,16
1500000US060750208001,16
1500000US060750163003,16
1500000US060750125011,16
1500000US060750254032,16
1500000US060750216002,16
1500000US060750226001,16
1500000US060750252002,16
1500000US060750159002,15
1500000US060750254013,15
1500000US060750129023,15
1500000US060750206001,15
1500000US060750161001,15
1500000US060750228031,15
1500000US060750311002,15
1500000US060750162002,15
1500000US060750229032,15
