AFFGEOID,count
1500000US060750117002,205
1500000US060750615001,200
1500000US060750176015,178
1500000US060750125012,138
1500000US060750176013,123
1500000US060750208001,108
1500000US060750125022,101
1500000US060750176011,99
1500000US060750122021,93
1500000US060750180002,91
1500000US060759809001,88
1500000US060750177002,84
1500000US060750125011,80
1500000US060750201003,70
1500000US060750105002,69
1500000US060750124011,68
1500000US060750201004,67
1500000US060750209001,66
1500000US060750177001,65
1500000US060750123011,64
1500000US060750257022,59
1500000US060750178021,59
1500000US060750117001,58
1500000US060750231032,58
1500000US060750234001,57
1500000US060750124023,55
1500000US060750101001,53
1500000US060750180001,50
1500000US060750209004,50
1500000US060750206004,50
1500000US060750612001,48
1500000US060750607001,47
1500000US060750232003,46
1500000US060750263012,46
1500000US060750233001,43
1500000US060750208002,43
1500000US060750251003,42
1500000US060750120001,42
1500000US060750232001,42
1500000US060750201001,41
1500000US060750111003,40
1500000US060750124012,39
1500000US060750122011,38
1500000US060750124021,37
1500000US060750120002,37
1500000US060750232002,37
1500000US060750176014,36
1500000US060750230011,36
1500000US060750101002,35
1500000US060759803001,35
1500000US060750228031,35
1500000US060750123012,34
1500000US060750229032,34
1500000US060750208003,33
1500000US060750231021,32
1500000US060750610001,31
1500000US060750159001,31
1500000US060750158012,31
1500000US060750124022,30
1500000US060750206001,30
1500000US060750102001,30
1500000US060750169001,30
1500000US060750228011,29
1500000US060750614001,28
1500000US060750203001,28
1500000US060750253003,27
1500000US060750261001,27
1500000US060750111001,26
1500000US060750159002,25
1500000US060750178022,25
1500000US060750201002,25
1500000US060750260012,25
1500000US060750614002,24
1500000US060750178011,24
1500000US060750107003,24
1500000US060750208004,24
1500000US060750332011,24
1500000US060750229031,23
1500000US060750234002,23
1500000US060750164001,22
1500000US060750252001,22
1500000US060750202003,22
1500000US060750123022,21
1500000US060750160001,20
1500000US060750611002,20
1500000US060750168021,20
1500000US060750161004,20
1500000US060750168011,20
1500000US060750229011,19
1500000US060750615005,19
1500000US060750261004,19
1500000US060750122012,19
1500000US060750610002,19
1500000US060750228022,18
1500000US060750161001,18
1500000US060750205001,18
1500000US060750229021,17
1500000US060750328013,17
1500000US060750162002,17
1500000US060750255004,17
1500000US060750176012,17
1500000US060750260041,17
1500000US060750615003,17
1500000US060750479012,17
1500000US060750161003,16
1500000US060750611001,16
1500000US060750166002,15
1500000US060750611003,15
1500000US060750605022,15
1500000US060750165001,15
1500000US060750157001,15
1500000US060750209002,15
1500000US060750226002,15
1500000US060750152003,15
1500000US060750121002,15
1500000US060750253004,15
1500000US060750612002,15
1500000US060750264011,14
1500000US060750257021,14
1500000US060750203002,14
1500000US060750615006,14
1500000US060750106003,14
1500000US060750179021,14
1500000US060750607002,14
1500000US060750229013,14
1500000US060750452002,13
1500000US060750262004,13
1500000US060750110002,13
1500000US060750261003,13
1500000US060750231022,13
1500000US060750264031,13
1500000US060750168013,13
1500000US060750111002,12
1500000US060750166004,12
1500000US060750151002,12
1500000US060750107004,12
1500000US060759805011,12
1500000US060750155001,12
1500000US060750152001,12
1500000US060750130003,12
1500000US060750605023,12
1500000US060750125021,12
1500000US060750178012,12
1500000US060759806001,11
1500000US060750314003,11
1500000US060750210004,11
1500000US060750312012,11
1500000US060750202001,11
1500000US060750103001,11
1500000US060750309002,11
1500000US060750109003,11
1500000US060750163001,11
1500000US060750254011,11
1500000US060750264032,11
